B001AY18U6,"[0.296, 0.7574, 0.5719, 0.0]","[5, 5, 5, 5]","[[happy, fit], [perfect, need], [ok], [hubby, beat, keep, work]]","[[happy fit, 0.296, 5], [perfect need, 0.7574, 5], [ok, 0.5719, 5], [hubby beat keep work, 0.0, 5]]"
B00MV77FDA,"[0.9099, 0.5106, 0.4767]","[5, 5, 5]","[[case, lightperfect], [cell, phone, case, good, quality, fit, phone], [trust, product]]","[[case lightperfect, 0.9099, 5], [cell phone case good quality fit phone, 0.5106, 5], [trust product, 0.4767, 5]]"
B00MY7X2KM,[0.8555],[5],"[[pink, glitter, star, float, thick, sturdy, holder, love]]","[[pink glitter star float thick sturdy holder love, 0.8555, 5]]"
B00MZQQUJM,[0.4854],[1],"[[buy, birthday, gift, daughter, get, product, order, separate, frame, super, glue, case, make]]","[[buy birthday gift daughter get product order separate frame super glue case make, 0.4854, 1]]"
B00N16BFUO,[0.9458],[5],"[[cover, amaze, last, year, protect, phone, love, price]]","[[cover amaze last year protect phone love price, 0.9458, 5]]"
B00N1AFSE4,[0.0516],[5],"[[work, perfectlybr, lost, count, time, ive, drop, phone, case, keep, harmbr, recommend, ]]","[[work perfectlybr lost count time ive drop phone case keep harmbr recommend , 0.0516, 5]]"
B00N1CRWPK,[0.9468],[5],"[[case, unique, attractive, fit, phone, line, port, phone, wrist, strap, provide, add, security, wider, variety, color, design, order, reorder, color, please, purchase, recommend]]","[[case unique attractive fit phone line port phone wrist strap provide add security wider variety color design order reorder color please purchase recommend, 0.9468, 5]]"
B00N4DHU58,"[0.8271, 0.4404]","[5, 2]","[[case, review, receive, today, super, awesome, case, better, expect], [gift]]","[[case review receive today super awesome case better expect, 0.8271, 5], [gift, 0.4404, 2]]"
B00N4OFVDA,[0.0],[3],"[[push, air]]","[[push air, 0.0, 3]]"
B00N5T7NOY,"[-0.2417, 0.5106]","[3, 5]","[[enjoy, product], [expect, quality, price, dud, expect, finish, product, keep, break, causing, purse, fall, shoulder, time, inspection, notice, end, strap, tuck, fake, metal, clamp, glue, clamp, glue, strap, metal, clamp, problem, loose, purse, please, make, sure, product, finish, ship, customer, price]]","[[enjoy product, -0.2417, 3], [expect quality price dud expect finish product keep break causing purse fall shoulder time inspection notice end strap tuck fake metal clamp glue clamp glue strap metal clamp problem loose purse please make sure product finish ship customer price, 0.5106, 5]]"
B00N8J7SIM,"[0.4404, 0.6908, 0.7717, 0.2023, 0.0, 0.0, 0.0, 0.6249, 0.8949, 0.6369, 0.5719, 0.8271]","[4, 5, 5, 5, 4, 1, 1, 5, 5, 5, 4, 5]","[[work, fine], [happy, item, picture], [use, galaxy, great, take, picture, get, pauserecord, video, start, video, record, stop, record], [money, get, photo, do, photographer], [work, great], [work, great, release, camera, use, take, picture, camera, mount, telescope, please, see, photo, camera, gosky, universal, cell, phone, adapter, mount, vibration], [connect, samsung, g, phone, use, picture, test, connect, business, htc, phone, return], [itbr, use, iphone, work, issue], [work, set, problem, produce, video, content, business, regular, basis], [thing, look, cheap, work, android, phone, tablet, make, take, family, photo], [work, iphone, purchase], [samsung, galaxy, pair, remote]]","[[work fine, 0.4404, 4], [happy item picture, 0.6908, 5], [use galaxy great take picture get pauserecord video start video record stop record, 0.7717, 5], [money get photo do photographer, 0.2023, 5], [work great, 0.0, 4], [work great release camera use take picture camera mount telescope please see photo camera gosky universal cell phone adapter mount vibration, 0.0, 1], [connect samsung g phone use picture test connect business htc phone return, 0.0, 1], [itbr use iphone work issue, 0.6249, 5], [work set problem produce video content business regular basis, 0.8949, 5], [thing look cheap work android phone tablet make take family photo, 0.6369, 5], [work iphone purchase, 0.5719, 4], [samsung galaxy pair remote, 0.8271, 5]]"
B00N9QFOPI,"[0.6369, 0.0]","[5, 5]",[[golf]],"[[golf, 0.6369, 5], [, 0.0, 5]]"
B00NFDQ3G4,[0.6849],[4],"[[quality, well, anticipate, protection, think, offer, thats, case, mean, dont, know, kind, beat, stand, do, case, kind, rubber, harder, plastic, give, quite, happy, purchase]]","[[quality well anticipate protection think offer thats case mean dont know kind beat stand do case kind rubber harder plastic give quite happy purchase, 0.6849, 4]]"
B00NGR1OYA,[-0.4215],[1],"[[broke, st, week]]","[[broke st week, -0.4215, 1]]"
B00NH8MW76,[0.6124],[5],"[[case, cheap, price, nice, surprise, quality]]","[[case cheap price nice surprise quality, 0.6124, 5]]"
B00NHAS38G,[0.7717],[5],"[[advertise, fit, stay, look, purse, briefcase]]","[[advertise fit stay look purse briefcase, 0.7717, 5]]"
B00NK8OZEG,[0.7322],[5],"[[color, nice]]","[[color nice, 0.7322, 5]]"
B00NLRD86M,[0.5994],[5],[[love]],"[[love, 0.5994, 5]]"
B00NMVF4W8,[0.3818],[1],"[[phone, holder, work, expect, broke, purchase, onebr, br, thanks, askingbr, br, al]]","[[phone holder work expect broke purchase onebr br thanks askingbr br al, 0.3818, 1]]"
B00NMWP4C2,[0.4927],[5],"[[please, product, speedy, service]]","[[please product speedy service, 0.4927, 5]]"
B00NQQ88BS,[0.8934],[5],"[[fit, phone, value, price, pay]]","[[fit phone value price pay, 0.8934, 5]]"
B00NYVUUWA,[0.8316],[5],"[[wife, note, love, package]]","[[wife note love package, 0.8316, 5]]"
B00O1K7N8C,[0.2846],[5],"[[screen, protector, go, bubble, smudge, expect, glass]]","[[screen protector go bubble smudge expect glass, 0.2846, 5]]"
B00O8RCJDM,[0.7178],[5],"[[get, lot, compliment]]","[[get lot compliment, 0.7178, 5]]"
B00OIPPBZC,[0.7783],[5],"[[get, case, mom, love, seem, lot, case, prettier]]","[[get case mom love seem lot case prettier, 0.7783, 5]]"
B00OMWTRP6,[0.4215],[1],[[nice]],"[[nice, 0.4215, 1]]"
B00OZH3FMY,"[0.872, 0.8723]","[5, 5]","[[product, anti, glare, quality, view, online, video, recommend, apply, cell, phone, helpfulbr, bubble, fact, life, screen, protector, dont, get, remain, end, create, problem, scratch, screen, protector, apply, extra, tool, supply, think, make, application, include, dust, removal, application], [screen, protector, easy, watch, love, fact, nonglare, swipe, easier, screen, protector]]","[[product anti glare quality view online video recommend apply cell phone helpfulbr bubble fact life screen protector dont get remain end create problem scratch screen protector apply extra tool supply think make application include dust removal application, 0.872, 5], [screen protector easy watch love fact nonglare swipe easier screen protector, 0.8723, 5]]"
B00P0XSFB8,[0.5496],[5],"[[compliment, time, product, drop, phone, plenty, time, hasnt, break, product, youre, look, something, eyecatching, sturdy]]","[[compliment time product drop phone plenty time hasnt break product youre look something eyecatching sturdy, 0.5496, 5]]"
B00P815VG4,"[0.7138, 0.4404]","[4, 3]","[[get, wife, doesnt, feel, protect, see, happens, haha]]","[[get wife doesnt feel protect see happens haha, 0.7138, 4], [, 0.4404, 3]]"
B00PC86YSC,[0.9169],[5],"[[vibrant, color, use, great, fit, coverage, phone, purchase, color]]","[[vibrant color use great fit coverage phone purchase color, 0.9169, 5]]"
B00PGV3CQC,"[0.0, 0.1491]","[5, 3]","[[get, complimentsbr, front, lowerright, brand, label, thing, sticker, remove], [leather, color, choice, makewife]]","[[get complimentsbr front lowerright brand label thing sticker remove, 0.0, 5], [leather color choice makewife, 0.1491, 3]]"
B00PKXRX8E,[-0.8202],[2],"[[worth, money, limit, range, functioning, lose]]","[[worth money limit range functioning lose, -0.8202, 2]]"
B00PONS2NU,[-0.1406],[3],"[[ok, time, edge, fray, come, apart, trim, ill, find]]","[[ok time edge fray come apart trim ill find, -0.1406, 3]]"
B00PU8LSR6,[0.8519],[5],"[[buy, love, sound, hope, im, tire, buy, earphone, cord, time, buy, kind, earphone, delv, show]]","[[buy love sound hope im tire buy earphone cord time buy kind earphone delv show, 0.8519, 5]]"
B00PWG7JHO,"[0.7096, 0.9774]","[1, 5]","[[bargain, seem, quality, product, order, twice, htc, m, time, receive, screen, protector, m, package, label, m], [price, excellent, quality, easiest, screen, protector, love, come, pack, tool, screen, love, nice, box, store, extra, cover, tool, impress]]","[[bargain seem quality product order twice htc m time receive screen protector m package label m, 0.7096, 1], [price excellent quality easiest screen protector love come pack tool screen love nice box store extra cover tool impress, 0.9774, 5]]"
B00PYCQKOO,"[0.0, 0.0, 0.8633, -0.2411, 0.296, -0.6752, -0.2263, 0.0, -0.4215, 0.6249]","[5, 2, 5, 1, 2, 1, 1, 1, 1, 5]","[[week, thread], [return, itit, work, return], [work, inconsistency, useless], [stop, work, day], [seller], [cord, price, phone, come, time, tap, fold, paper, didnt, care, package, work, disappoint, week, work, champ, recommend, purchase, cord, doesnt, come, usb, wall, charger, state, cord, break, need, cord, need], [ok], [oem, charger, look, kind, examination, newest, version, apple, iphone, o, wont, charge, non, retail, packaging, apple, cable, stay], [product, need, price], [burn, wall, charger]]","[[week thread, 0.0, 5], [return itit work return, 0.0, 2], [work inconsistency useless, 0.8633, 5], [stop work day, -0.2411, 1], [seller, 0.296, 2], [cord price phone come time tap fold paper didnt care package work disappoint week work champ recommend purchase cord doesnt come usb wall charger state cord break need cord need, -0.6752, 1], [ok, -0.2263, 1], [oem charger look kind examination newest version apple iphone o wont charge non retail packaging apple cable stay, 0.0, 1], [product need price, -0.4215, 1], [burn wall charger, 0.6249, 5]]"
B00Q2FQR5O,[0.0],[1],"[[wont, stand, iphone]]","[[wont stand iphone, 0.0, 1]]"
B00Q5K9QNQ,[0.4767],[3],"[[didnt, come, sim, card, tool, put, gray, gold, battery, life, suck, otherwise, phone]]","[[didnt come sim card tool put gray gold battery life suck otherwise phone, 0.4767, 3]]"
B00QQU0R7O,[0.924],[5],"[[buy, case, price, use, day, love, switch, bc, case, summery, impress, ship, came, way, quicker, anticipate]]","[[buy case price use day love switch bc case summery impress ship came way quicker anticipate, 0.924, 5]]"
B00QSBYVF0,"[0.6369, 0.5095]","[5, 5]","[[iphone, accessory]]","[[iphone accessory, 0.6369, 5], [, 0.5095, 5]]"
B00QYO94N0,[-0.4391],[1],"[[upset, got, melt, couldnt, use]]","[[upset got melt couldnt use, -0.4391, 1]]"
B00R25GJJW,"[0.4754, 0.9363, 0.872]","[5, 5, 5]","[[work, great, fit, slot], [wasnt, sure, need, mean, insert, card, micro, slot, wonder, waste, cash, need, removal, tool, look, nothing, reinforce, paperclip, suffice, say, bought, remove, sim, card, slot, inserting, device, damaging, felt, part, delicate, brain, surgery, lot, info, card, didnt, want, lose, kit, make, feel, protect, mention, removal, tool, look, wasnt, relieve, scratch, card, paperclip, insert, sim, card, adapter, make, difference, money, lovelaughontheroadcom]]","[[work great fit slot, 0.4754, 5], [wasnt sure need mean insert card micro slot wonder waste cash need removal tool look nothing reinforce paperclip suffice say bought remove sim card slot inserting device damaging felt part delicate brain surgery lot info card didnt want lose kit make feel protect mention removal tool look wasnt relieve scratch card paperclip insert sim card adapter make difference money lovelaughontheroadcom, 0.9363, 5], [, 0.872, 5]]"
B00R27ZIWE,[0.4497],[2],"[[month, thing, band, hook, piece, keep, close, phone, keep, slide, case, weeks, awesome, wouldnt, buy]]","[[month thing band hook piece keep close phone keep slide case weeks awesome wouldnt buy, 0.4497, 2]]"
B00R6M5TT2,[0.5719],[5],"[[boyfriend, love]]","[[boyfriend love, 0.5719, 5]]"
B00RCC36SW,[0.6249],[5],"[[work, great]]","[[work great, 0.6249, 5]]"
B00RE6FNOQ,[0.969],[4],"[[screen, come, package, appear, secure, go, install, screen, find, instruction, come, item, look, youtube, install, screen, digitizer, find, video, appear, closest, end, take, screw, separate, screen, motherboard, come, find, didnt, need, screw, everything, include, connection, screen, connect, everything, reassemble, find, connection, screen, try, everything, knew, include, taking, reattaching, connector, avail, time, life, call, tech, support, representative, line, tell, connector, alcohol, tell, meant, instal, screen, installer, verse, didnt, see, need, get, involve, clean, connector, reconnected, everything, viola, work, came, time, secure, screen, body, phone, adhesive, come, apply, digitizer, quality, attach, screen, body, screen, secure, day, drop, phone, screen, come, fly, didnt, crack, come, fly, lack, proper, manufacturer, use, couple, drop, glue, spot, smartphone, wish, manufacturerseller, include, simple, instruction, product, use, better, adhesive, secure, screen, work, get]]","[[screen come package appear secure go install screen find instruction come item look youtube install screen digitizer find video appear closest end take screw separate screen motherboard come find didnt need screw everything include connection screen connect everything reassemble find connection screen try everything knew include taking reattaching connector avail time life call tech support representative line tell connector alcohol tell meant instal screen installer verse didnt see need get involve clean connector reconnected everything viola work came time secure screen body phone adhesive come apply digitizer quality attach screen body screen secure day drop phone screen come fly didnt crack come fly lack proper manufacturer use couple drop glue spot smartphone wish manufacturerseller include simple instruction product use better adhesive secure screen work get, 0.969, 4]]"
B00RLVE4OY,[0.9716],[5],"[[perfect, frame, hold, phone, soft, rubbery, side, button, toss, learn, curve, ill, get, closure, way, standfeature, great, there, bit, film, window, access, alert, button, window, talk, phone, open, case, folk, complain, gold, juicy, case, letter, cover, card, slot, look, intention, use, im, go, test, itbr, br, update, flash, rebound, case, cast, reddish, hue, flash, photo, dont, use, flash, take, notice, side, stick, phone, refrigerator]]","[[perfect frame hold phone soft rubbery side button toss learn curve ill get closure way standfeature great there bit film window access alert button window talk phone open case folk complain gold juicy case letter cover card slot look intention use im go test itbr br update flash rebound case cast reddish hue flash photo dont use flash take notice side stick phone refrigerator, 0.9716, 5]]"
B00RMY1DQ2,[0.6945],[3],"[[work, mirror, lcd, bit, dim, daytime, use, sure, adjusts, brightness]]","[[work mirror lcd bit dim daytime use sure adjusts brightness, 0.6945, 3]]"
B00RTMECM4,[0.7391],[4],"[[rd, order, work, kick, stand, break, month, use, price, continue, buy, lol]]","[[rd order work kick stand break month use price continue buy lol, 0.7391, 4]]"
B00RWZOKCA,[-0.0802],[3],"[[person, doesnt, fit, iphone, snap, face, thats, fun, use]]","[[person doesnt fit iphone snap face thats fun use, -0.0802, 3]]"
B00S5EHLMS,"[0.8074, -0.913, 0.7269, -0.0018]","[3, 1, 4, 1]","[[product, protect, phone, screw, start, fall, day, drop, screen, crack, disappoint, look, money, change], [case, damper, reception], [screen, phone, glass, broke, case, put, screw, inconvenient, paint, peel, case], [case, glass, broke, week, case, awesome]]","[[product protect phone screw start fall day drop screen crack disappoint look money change, 0.8074, 3], [case damper reception, -0.913, 1], [screen phone glass broke case put screw inconvenient paint peel case, 0.7269, 4], [case glass broke week case awesome, -0.0018, 1]]"
B00S5YD596,"[0.0, 0.0]","[3, 5]","[[kind, working], [battery, pack, appear, work, charging, iphone, use, time, lead, stop, turn, battery, pack, work, wont, hold, charge, week, lead, drain, battery]]","[[kind working, 0.0, 3], [battery pack appear work charging iphone use time lead stop turn battery pack work wont hold charge week lead drain battery, 0.0, 5]]"
B00S68D31G,"[0.6249, 0.546, -0.9354, 0.4404, -0.6103]","[5, 5, 1, 4, 1]","[[excite, get, case, disappoint, understatement, get, get, phone, force, think, go, end, ruin, phone, get, couldnt, get, end, pry, case, broke, difference, piece, complete, waste, money], [picture], [protect, phone, try, phone, couldnt, get, crack, waste, money], [case, make, happier]]","[[excite get case disappoint understatement get get phone force think go end ruin phone get couldnt get end pry case broke difference piece complete waste money, 0.6249, 5], [picture, 0.546, 5], [protect phone try phone couldnt get crack waste money, -0.9354, 1], [case make happier, 0.4404, 4], [, -0.6103, 1]]"
B00S73FE8A,"[0.6808, 0.0]","[5, 5]","[[work, champ], [expect]]","[[work champ, 0.6808, 5], [expect, 0.0, 5]]"
B00S8NGUPA,[0.6478],[5],"[[case, husband, htc, desire, smartphone, fast, opening, case, husband, belt, clip, case, cancel, call, answer, phone, slide, remove, wouldbr, answer, happy, case]]","[[case husband htc desire smartphone fast opening case husband belt clip case cancel call answer phone slide remove wouldbr answer happy case, 0.6478, 5]]"
B00S9WXY5O,[0.3716],[5],"[[buy, search, rightangle, cord, end, helmet, bank, setup, great, work, note, description, leftangle, cord]]","[[buy search rightangle cord end helmet bank setup great work note description leftangle cord, 0.3716, 5]]"
B00SAKP2ZA,[0.0],[5],"[[work, week]]","[[work week, 0.0, 5]]"
B00SF4K2KG,[0.9118],[5],"[[thing, work, love, fun, colour]]","[[thing work love fun colour, 0.9118, 5]]"
B00SI7HK1Y,[-0.4973],[1],"[[didnt, fit, suppose]]","[[didnt fit suppose, -0.4973, 1]]"
B00SUNA5J0,[0.6599],[4],"[[wish, cover, phone, wouldnt, crack, fall, case, doesnt, cover, top, bottom, phone, side, cute, case]]","[[wish cover phone wouldnt crack fall case doesnt cover top bottom phone side cute case, 0.6599, 4]]"
B00SV638ZE,[0.8519],[5],"[[case, slim, protect, phone, nice]]","[[case slim protect phone nice, 0.8519, 5]]"
B00SZEFJ5E,"[0.743, 0.4404]","[5, 5]","[[phone], [phone, expect, amazing, image, resolution]]","[[phone, 0.743, 5], [phone expect amazing image resolution, 0.4404, 5]]"
B00T1HKHEC,"[0.9398, 0.6369]","[1, 4]","[[case, split, time, slide, card, disappoint, love, color, case, fit, iphone, use, wont, hold, card]]","[[case split time slide card disappoint love color case fit iphone use wont hold card, 0.9398, 1], [, 0.6369, 4]]"
B00T34N858,[0.8481],[5],"[[product, great, customer, service]]","[[product great customer service, 0.8481, 5]]"
B00T5KRS1U,"[-0.6577, 0.6249]","[1, 5]","[[front, camera, work, annoy, consider, wait, week, use, front, camera, anything, pay, malfunction, screen, dont, recommend, boyfriend, replace, screen, took, multiple, time, unhook, connector, reattaching, work, line, go, screen]]","[[front camera work annoy consider wait week use front camera anything pay malfunction screen dont recommend boyfriend replace screen took multiple time unhook connector reattaching work line go screen, -0.6577, 1], [, 0.6249, 5]]"
B00TDGMI66,[0.5719],[5],"[[fine, product, price, speedy, delivery]]","[[fine product price speedy delivery, 0.5719, 5]]"
B00THHCSNE,[-0.6167],[1],"[[save, money, go, screen, protector]]","[[save money go screen protector, -0.6167, 1]]"
B00TRFO2EE,"[0.6115, 0.9169, 0.0, 0.4404, 0.3612]","[4, 4, 1, 3, 1]","[[seems, quality, product, fit, offer, add, protection, bulk, phone, case], [return, make, look, front, case], [crack, get], [update, prop, reach, resolve, thing, buck, deal, important, thing, protect, phoneupdatebr, ok, scratch, way, see, rainbow, effect, touch, glass, edge, protect], [think, case, look, thanks, proteccion]]","[[seems quality product fit offer add protection bulk phone case, 0.6115, 4], [return make look front case, 0.9169, 4], [crack get, 0.0, 1], [update prop reach resolve thing buck deal important thing protect phoneupdatebr ok scratch way see rainbow effect touch glass edge protect, 0.4404, 3], [think case look thanks proteccion, 0.3612, 1]]"
B00TXWSB3E,[0.4215],[4],"[[nice, case]]","[[nice case, 0.4215, 4]]"
B00U5BS3RG,[-0.0593],[4],"[[phone, case, money, option, use, bumper, gaurd, exoskelton, screen, protector, brand, swipe, phone]]","[[phone case money option use bumper gaurd exoskelton screen protector brand swipe phone, -0.0593, 4]]"
B00U7CVSI4,[0.4215],[5],"[[nice, product]]","[[nice product, 0.4215, 5]]"
B00UIYDBYK,[0.4404],[5],[[thanks]],"[[thanks, 0.4404, 5]]"
B00UJDS7K8,"[0.6111, 0.6249, -0.2263]","[4, 4, 2]","[[look], [want, good, cheap, smartwatch, good, option, wouldnt, recommend, iphone, doesnt, feature], [everything, think, wouldnt, pair, tone, back, scyn, phone, felt, lose, scyn, step, phone]]","[[look, 0.6111, 4], [want good cheap smartwatch good option wouldnt recommend iphone doesnt feature, 0.6249, 4], [everything think wouldnt pair tone back scyn phone felt lose scyn step phone, -0.2263, 2]]"
B00UTD4XV0,"[0.8357, 0.1531, 0.909, 0.8945, 0.0, 0.8957, 0.0, 0.8834, -0.1027, 0.9168, 0.836, 0.4939, 0.8513, 0.882, 0.714, 0.3612, -0.296, 0.653]","[5, 2, 5, 5, 1, 5, 1, 5, 3, 5, 5, 3, 5, 5, 4, 4, 2, 5]","[[buy, mom, handy, face, time, hand, ir, dont, want, hold, phone, great, kid, grandma, wont, fight, hold, phone, use, kitchen, talk, husband, hold, iphone, c, husband, iphone], [say, amaze, quality, cost, arm, table, clip, sturdy, hold, heaviest, phone, extend, suction, cup, mount, piece, smooth, plastic, tap, desk, device, clip, open, size, hold, samsung, bigger, phone, tablet], [year, work, want, use, windshiel, support, truck, race, car, travel, bus, train, tweezer, work, wont, break], [work, describe, look, job, please, quality, cheap, price], [arm, holder, reach, use, device, holder], [clamp, crack, use, plastic, make, buy], [work, couple, week, arm, holder, loosen, longer, stiff, weight, iphone, arm, maintain, position, phone, fall, ground], [weight, kindle, fire, reader, work, cell, phone], [thank], [duty, heavier, bulkier, expect, hold, ipod, classic, button, doesnt, move, sturdy, support, garmin, move, awesome, great, clip, tripod, table], [nice, setup, price, arm, stable, suction, cup, lock, solid, surface, complaint, get, clip, pack, buy, couple, clip, use, mine, hold, htc, m, case, open], [work, great, describe, take, minute, simple, use, zte, att, phone, work, recommend], [holder, fit, widest, device, move, house], [work, figure, set, video, tape, weight, camera, phone, make, set, maneuver, way, allow, balance, clip, work, thick, clip, table, edge, time, hold, edge, move, table, whole, thing, wobble, selfie, stick], [use], [cant, hold, weight, samsung, note, ], [perfect, hold, iphone, film, live, stream], [time, put, iphone, secure, desk, clip, use]]","[[buy mom handy face time hand ir dont want hold phone great kid grandma wont fight hold phone use kitchen talk husband hold iphone c husband iphone, 0.8357, 5], [say amaze quality cost arm table clip sturdy hold heaviest phone extend suction cup mount piece smooth plastic tap desk device clip open size hold samsung bigger phone tablet, 0.1531, 2], [year work want use windshiel support truck race car travel bus train tweezer work wont break, 0.909, 5], [work describe look job please quality cheap price, 0.8945, 5], [arm holder reach use device holder, 0.0, 1], [clamp crack use plastic make buy, 0.8957, 5], [work couple week arm holder loosen longer stiff weight iphone arm maintain position phone fall ground, 0.0, 1], [weight kindle fire reader work cell phone, 0.8834, 5], [thank, -0.1027, 3], [duty heavier bulkier expect hold ipod classic button doesnt move sturdy support garmin move awesome great clip tripod table, 0.9168, 5], [nice setup price arm stable suction cup lock solid surface complaint get clip pack buy couple clip use mine hold htc m case open, 0.836, 5], [work great describe take minute simple use zte att phone work recommend, 0.4939, 3], [holder fit widest device move house, 0.8513, 5], [work figure set video tape weight camera phone make set maneuver way allow balance clip work thick clip table edge time hold edge move table whole thing wobble selfie stick, 0.882, 5], [use, 0.714, 4], [cant hold weight samsung note , 0.3612, 4], [perfect hold iphone film live stream, -0.296, 2], [time put iphone secure desk clip use, 0.653, 5]]"
B00UZJY5GQ,"[0.5423, 0.9246, 0.0, 0.6808, -0.5382, -0.0129]","[5, 5, 5, 5, 5, 1]","[[love, phone, fall, doesnt, get, scratch], [case, difficult, empty, remove, phone, good, thing, phone, access, edge, screen, downfall, highlight, edge, work, temper, glass, screen, protector, price, gone, otter, box, want, pink, chose, instead, lesson, learn], [case, awesome, super, bulkybr, problem, texting, push, symbol, use, case, wideal, stop, happen, br, use, side, screen, great, effect, edge, offersbr, br, thing, make, screen, protector, come, anyway], [fit, great, look, seems, sturdy, case, otterbox, less], [wish, built, screen, protector], [muy, bueno]]","[[love phone fall doesnt get scratch, 0.5423, 5], [case difficult empty remove phone good thing phone access edge screen downfall highlight edge work temper glass screen protector price gone otter box want pink chose instead lesson learn, 0.9246, 5], [case awesome super bulkybr problem texting push symbol use case wideal stop happen br use side screen great effect edge offersbr br thing make screen protector come anyway, 0.0, 5], [fit great look seems sturdy case otterbox less, 0.6808, 5], [wish built screen protector, -0.5382, 5], [muy bueno, -0.0129, 1]]"
B00VSAOG1K,[0.0],[4],"[[come, information]]","[[come information, 0.0, 4]]"
B00VYDWBXG,[0.34],[1],"[[buy, phone, wait, month, phone, inscription, china, play, work, place, lenovo, store, chinese, telefon, send, china]]","[[buy phone wait month phone inscription china play work place lenovo store chinese telefon send china, 0.34, 1]]"
B00W7BZG8G,"[0.765, -0.4767]","[5, 1]","[[son, love, case, want, thanks], [case, phone]]","[[son love case want thanks, 0.765, 5], [case phone, -0.4767, 1]]"
B00WDUF99C,"[0.7218, 0.864]","[5, 4]","[[case, slick, hold, think, slicker, phone, case, make], [lightweight, protects, g]]","[[case slick hold think slicker phone case make, 0.7218, 5], [lightweight protects g, 0.864, 4]]"
B00WLRN4YO,"[-0.1513, 0.8537, 0.6249]","[2, 5, 5]","[[quality], [disappoint, zipper, wont, zip, anymore, month, nice, last], [wallet, iphone, fit, put, card, n, fill, zipper, separate, reduce, whats, inside, re, zip, zipper, ok, get, compliment]]","[[quality, -0.1513, 2], [disappoint zipper wont zip anymore month nice last, 0.8537, 5], [wallet iphone fit put card n fill zipper separate reduce whats inside re zip zipper ok get compliment, 0.6249, 5]]"
B00WMG4YZC,"[0.8225, 0.6369]","[5, 5]","[[perfect, love, case, color], [case, order]]","[[perfect love case color, 0.8225, 5], [case order, 0.6369, 5]]"
B00WP8ZBUE,[0.5672],[5],"[[rugged, way]]","[[rugged way, 0.5672, 5]]"
B00WTSFVMS,[0.7906],[5],"[[case, nice, design, describe]]","[[case nice design describe, 0.7906, 5]]"
B00WUAEFW2,"[-0.802, -0.2755, 0.6187, -0.0129, 0.4404, 0.8176, -0.425, 0.8554, 0.5719, 0.4767, 0.6369, -0.3071, -0.7906, -0.5256]","[1, 2, 1, 3, 1, 5, 5, 5, 5, 3, 5, 2, 1, 1]","[[receive, item, time, replace, screen], [starbr, br, hate, give, startook, phone, repair, story, sold, screen, request, refund], [product, arrive, install, problem, screen, work, display, screen, touch, work, return, fine, problem, peel, week, say, quality, issue, product], [say, get, describe, promisedbr, excellent, product, shipping, time, need], [fit, inside, frame], [screen, purchase, last, week, disappoint, dont, get, im, go, buy], [glad, order, break, glass, choicessend, repair, try, quicker, cheaper, order, pleasedit, come, direction, tool, need, look], [daughter, shatter, iphone, screen, check, apple, store, couple, place, replace, look, cost, decide, try, receive, product, cousin, go, replace, video, email, follow, help, make, connection, put, phone, work, daughter, happy, take, minute, go, route, need], [look, ok, arrive, instal, went, day, use, glue, hold, frame, glass, digitizer, release, glass, come, phone, item, oem, impersonation, oem], [sell, screen], [product, come, describe, work, person, instal, anything, help, give, star], [glass, become, separate, week, need, quality, item, need, refund, screen, asap], [simple, swap, example, samsung, note, screw, strip, way, end, void, warranty, phone, end, get, update, fail, apple, tell, mess, phone, owe, phone, bricked, software, issue, apple, wont, touch, apple, replace, screen, save, headache, apple], [replace, turn, phone, ok, part, dont, respond, touch, want, replace, suggest, let, apple, screw, phone]]","[[receive item time replace screen, -0.802, 1], [starbr br hate give startook phone repair story sold screen request refund, -0.2755, 2], [product arrive install problem screen work display screen touch work return fine problem peel week say quality issue product, 0.6187, 1], [say get describe promisedbr excellent product shipping time need, -0.0129, 3], [fit inside frame, 0.4404, 1], [screen purchase last week disappoint dont get im go buy, 0.8176, 5], [glad order break glass choicessend repair try quicker cheaper order pleasedit come direction tool need look, -0.425, 5], [daughter shatter iphone screen check apple store couple place replace look cost decide try receive product cousin go replace video email follow help make connection put phone work daughter happy take minute go route need, 0.8554, 5], [look ok arrive instal went day use glue hold frame glass digitizer release glass come phone item oem impersonation oem, 0.5719, 5], [sell screen, 0.4767, 3], [product come describe work person instal anything help give star, 0.6369, 5], [glass become separate week need quality item need refund screen asap, -0.3071, 2], [simple swap example samsung note screw strip way end void warranty phone end get update fail apple tell mess phone owe phone bricked software issue apple wont touch apple replace screen save headache apple, -0.7906, 1], [replace turn phone ok part dont respond touch want replace suggest let apple screw phone, -0.5256, 1]]"
B00X39FXAW,[-0.1979],[4],"[[case, soft, case, sticky, slippery, design, print, case, give, feel, problem, pull, phone, pocket, purse, case, complaint, design, center, case, center]]","[[case soft case sticky slippery design print case give feel problem pull phone pocket purse case complaint design center case center, -0.1979, 4]]"
B00XBAZ4S4,[0.0],[5],"[[tell, difference, original, come, bose, qc]]","[[tell difference original come bose qc, 0.0, 5]]"
B00XLC9D7A,"[0.0, 0.4215]","[1, 5]","[[satisfy], [work]]","[[satisfy, 0.0, 1], [work, 0.4215, 5]]"
B00XO395PG,[0.4404],[5],"[[delivery, product]]","[[delivery product, 0.4404, 5]]"
