B0009SUEX6,[0.5719],[5],"[[excellent, product]]","[[excellent product, 0.5719, 5]]"
B00W6GB2R6,"[0.5927, 0.2732, -0.5733, 0.6249, 0.4927, 0.3394, 0.6369, -0.3182, 0.9793, 0.5256, 0.5555]","[4, 4, 1, 5, 5, 3, 5, 1, 5, 5, 3]","[[crap, thing, doesnt, cigarette, lighter, car], [unit, well, others, impress, manifest, flaw, minute, plug, inbr, br, seem, thing, punch, sound, quality, great, tune, precise, signal, bleeds, frequency, blot, set, mhz, xm, radio, transmitter, set, thing, blot, xm, signal, unplug, want, listen, anything, mp, playerbr, br, stupid, cord, arrangement, there, universal, dock, job, usb, plug, lighter, socket, lighter, socket, recess, youve, get, array, socket, truck, usb, interferes, everything, pita, get, plug, youve, get, nothing, lighter, socket, shouldnt, dealbr, br, fragile, display, readout, tune, frequency, work, minute, force, require, push, plug, lighter, socket, display, read, work, way, know, set, worth, rest, device, disappointment, part, youd, want, press, install, weak, link, front, solve, thisbr, br, want, listen, prepare, gentle, room, stupid, usb, cord, hand, operation, get, phone, mount, strength, nice, blot, crappy, radio, good, youve, get, fm, device], [buy, try, price, review, year, car, manufacturer, radio, misfortune, cd, player, longer, work, wont, replace, dont, want, spend, unnecessary, money, car, anyhow, senbowe, product, iphone, an, spotify, senbowe, device, work, make, car, stereo, speaker, sound, well, sound, purchase, product, make, competitor, year, broke, didnt, sound, product, switch, onoff, great, allow, leave, plug, time, problem, get, radio, frequency, match, device, dont, hear, white, noise, fuzz, easy, use, sturdy, husband, sat, car, day, agree, car, stereo, sound, order, car, dont, hesitate, purchase], [setup, week, love, arrive, fast, undamaged], [sturdy, gooseneck, worn, concern, good, product, price, recommend, use, phone, gps, source], [get, switch, product], [unit, month, find, lot, unit, quality, relate, drawback, go, pro, con, pro, allinone, design, convenient, fm, transmitter, device, holder, power, sidemounting, clip, allows, different, device, mount, keep, port, transmitter, seem, work, fine, wish, broadcasting, power, detail, arm, unit, swivel, capability, hold, work, con, power, work, android, lg, g, phone, phone, display, warn, recognize, use, charge, phone, number, usb, cable, swap, work, fine, guess, poor, quality, cable, receive, unit, give, people, usb, cable, device, deduct, star, issue, annoy, resolve, fm, transmitter, underpowered, number, factor, cause, leakage, include, station, frequencies, vehicle, use, device, frequency, overhead, powerlines, spend, time, finetuning, frequency, find, something, work, fm, transmitter, car, experience, issue, guess, signal, strength, broadcast, unit, use, cigarette, lighter, port, draw, power, opportunity, compare, device, drop, star, perfect, work, pay, week, begin, problem, leave, channel, audio, drop, thought, stereo, speaker, determine, use, device, cell, phone, fiddle, determine, audio, cable, connect, phone, wire, head, connects, phone, loose, break, send, left, channel, fm, transmitter, twist, head, get, work, drop, look, quality, audio, cable, use, quality, issue, mine, drop, star, issue, audio, hard, wire, device, swap, something, make, unit, sleep, find, sleep, function, device, period, time, send, sound, transmitter, shuts, mean, forget, turn, unit, leave, car, use, battery, power, im, sure, go, sleep, minutes, pause, music, drive, get, blast, go, sleep, conclusion, device, get, price, appear, quality, component, use, cause, people, issue, part, surprise, people, issue, part, device, work, fine, catch, defect, ship, nice, unit, quality, problem, mean, recommend, update, contact, senbowe, ship, unit, day, response, swap, unit, ill, cover, unit, fare, issue, unit, unit, issue, usb, compatibility, issue, phone, fm, transmitter, louder, seem, less, issue, transmitter, overpower, source, sound, experience, issue, audio, unit, audio, unit, work, fine, see, hold, week], [wire, connection, come, causing, speaker, car, work], [work], [please], [work, great]]","[[crap thing doesnt cigarette lighter car, 0.5927, 4], [unit well others impress manifest flaw minute plug inbr br seem thing punch sound quality great tune precise signal bleeds frequency blot set mhz xm radio transmitter set thing blot xm signal unplug want listen anything mp playerbr br stupid cord arrangement there universal dock job usb plug lighter socket lighter socket recess youve get array socket truck usb interferes everything pita get plug youve get nothing lighter socket shouldnt dealbr br fragile display readout tune frequency work minute force require push plug lighter socket display read work way know set worth rest device disappointment part youd want press install weak link front solve thisbr br want listen prepare gentle room stupid usb cord hand operation get phone mount strength nice blot crappy radio good youve get fm device, 0.2732, 4], [buy try price review year car manufacturer radio misfortune cd player longer work wont replace dont want spend unnecessary money car anyhow senbowe product iphone an spotify senbowe device work make car stereo speaker sound well sound purchase product make competitor year broke didnt sound product switch onoff great allow leave plug time problem get radio frequency match device dont hear white noise fuzz easy use sturdy husband sat car day agree car stereo sound order car dont hesitate purchase, -0.5733, 1], [setup week love arrive fast undamaged, 0.6249, 5], [sturdy gooseneck worn concern good product price recommend use phone gps source, 0.4927, 5], [get switch product, 0.3394, 3], [unit month find lot unit quality relate drawback go pro con pro allinone design convenient fm transmitter device holder power sidemounting clip allows different device mount keep port transmitter seem work fine wish broadcasting power detail arm unit swivel capability hold work con power work android lg g phone phone display warn recognize use charge phone number usb cable swap work fine guess poor quality cable receive unit give people usb cable device deduct star issue annoy resolve fm transmitter underpowered number factor cause leakage include station frequencies vehicle use device frequency overhead powerlines spend time finetuning frequency find something work fm transmitter car experience issue guess signal strength broadcast unit use cigarette lighter port draw power opportunity compare device drop star perfect work pay week begin problem leave channel audio drop thought stereo speaker determine use device cell phone fiddle determine audio cable connect phone wire head connects phone loose break send left channel fm transmitter twist head get work drop look quality audio cable use quality issue mine drop star issue audio hard wire device swap something make unit sleep find sleep function device period time send sound transmitter shuts mean forget turn unit leave car use battery power im sure go sleep minutes pause music drive get blast go sleep conclusion device get price appear quality component use cause people issue part surprise people issue part device work fine catch defect ship nice unit quality problem mean recommend update contact senbowe ship unit day response swap unit ill cover unit fare issue unit unit issue usb compatibility issue phone fm transmitter louder seem less issue transmitter overpower source sound experience issue audio unit audio unit work fine see hold week, 0.6369, 5], [wire connection come causing speaker car work, -0.3182, 1], [work, 0.9793, 5], [please, 0.5256, 5], [work great, 0.5555, 3]]"
B00W6I0ORI,"[0.833, 0.2732]","[3, 5]","[[make, look], [case, add, phone, think, make, phone, run, according, review, appear, case, block, make, phone, work, harderhence, run, hot, never, iphones, run, put, case, ive, month, notice, phone, run, hotter, loose, charge, super, im, take, see, anything, change, ill, come, however, doesnt, potential, buyer, want, take, consideration, purchase, case, rise, gold, get, pop, case, scratch, mine, hasnt, scratch, consider, tear, fan, soybean, brand]]","[[make look, 0.833, 3], [case add phone think make phone run according review appear case block make phone work harderhence run hot never iphones run put case ive month notice phone run hotter loose charge super im take see anything change ill come however doesnt potential buyer want take consideration purchase case rise gold get pop case scratch mine hasnt scratch consider tear fan soybean brand, 0.2732, 5]]"
B00W74QGQO,[0.9884],[1],"[[design, software, interface, clunky, cause, issue, phone, app, require, per, qr, code, pamphlet, product, box, require, overwhelm, number, access, bt, phone, know, use, data, reason, permission, require, access, everything, type, phone, include, credit, card, information, detail, etc, say, excludes, password, trust, taking, wellbr, br, instruction, booklet, limit, tell, thing, factory, reset, watch, find, print, instruction, booklet, require, magnify, glass, readbr, br, touch, screen, sens, click, thing, click, thing, button, side, specify, detail, use, trial, errorbr, br, price, expect, well, product, design, lg, g, watch, get, forty, work, interface, use, trustworthy, etc, thing, doesnt, want, watch, heartbeat, heartbeat, part, turn, onoff, doesnt, stay, default, cant, imagine, battery, use, take, want, keep, heartbeat, monitoringbr, br, recommend]]","[[design software interface clunky cause issue phone app require per qr code pamphlet product box require overwhelm number access bt phone know use data reason permission require access everything type phone include credit card information detail etc say excludes password trust taking wellbr br instruction booklet limit tell thing factory reset watch find print instruction booklet require magnify glass readbr br touch screen sens click thing click thing button side specify detail use trial errorbr br price expect well product design lg g watch get forty work interface use trustworthy etc thing doesnt want watch heartbeat heartbeat part turn onoff doesnt stay default cant imagine battery use take want keep heartbeat monitoringbr br recommend, 0.9884, 1]]"
B00W9855W4,[0.8834],[5],"[[perfect, fit, product, allow, put, screen, protector, removing, case]]","[[perfect fit product allow put screen protector removing case, 0.8834, 5]]"
B00WF9BI50,[0.4215],[4],"[[work, greatbr, chain, nice, addition]]","[[work greatbr chain nice addition, 0.4215, 4]]"
B00WNXY06W,[-0.4215],[1],"[[buy, puretalk, prepay, sim, card, phone, phone, workconnect, network, lame]]","[[buy puretalk prepay sim card phone phone workconnect network lame, -0.4215, 1]]"
B00WU3ZTFG,[0.8709],[5],"[[case, satisfy, recommend]]","[[case satisfy recommend, 0.8709, 5]]"
B00WUZSAHI,"[0.1531, 0.4215, -0.2755, 0.0, -0.4767]","[5, 5, 1, 1, 1]","[[ok, doesnt, cover, wholeface, phone, ], [cover, screen, edge, edge], [nice], [size, phone], [edgethe, screen, protector, didnt, cant, review, item]]","[[ok doesnt cover wholeface phone , 0.1531, 5], [cover screen edge edge, 0.4215, 5], [nice, -0.2755, 1], [size phone, 0.0, 1], [edgethe screen protector didnt cant review item, -0.4767, 1]]"
B00WYQCH5Y,[-0.8011],[2],"[[disappoint, usb, adapter, cord, attache, tot, plug, loose, fall, time, super, frustrate, feel, make, replace, waste, money]]","[[disappoint usb adapter cord attache tot plug loose fall time super frustrate feel make replace waste money, -0.8011, 2]]"
B00X4MVUDM,"[0.9088, 0.6369, 0.9328]","[4, 3, 1]","[[case, cover, side, none, corner, peek, case, bumper, bite, thicker, bite, pad, edge, issue, case, rubber, part, doesnt, fit, hop, bottom, find, raise, concern, fit, cell, rubber, case], [idea, protection, piece, look, put, phone, compress, button, side, affect, sound, quality, open, side, button, phone, believe, review, post, one]]","[[case cover side none corner peek case bumper bite thicker bite pad edge issue case rubber part doesnt fit hop bottom find raise concern fit cell rubber case, 0.9088, 4], [idea protection piece look put phone compress button side affect sound quality open side button phone believe review post one, 0.6369, 3], [, 0.9328, 1]]"
B00XLN64IU,[0.5023],[4],"[[take, wiggle, slot, get, latch, catch]]","[[take wiggle slot get latch catch, 0.5023, 4]]"
B00XO07LA0,[0.8481],[5],"[[case, mine, month, look, performs]]","[[case mine month look performs, 0.8481, 5]]"
B00XQ9H3I4,[0.6901],[1],[[fit]],"[[fit, 0.6901, 1]]"
B00Y98OIP2,"[0.6697, 0.7906, 0.1935, 0.6249, 0.6534]","[5, 5, 5, 5, 5]","[[phone, price, need, work, configuration, use, ho, g, lte, network], [phone], [upgrade, lumia, br, everything, lumia, xl, bright, screen, use, gosmart, mobile, problem], [phone, beat, heck, phone, pay, gps, well, garmin, connects, honda, bluetooth], [love, phone, user, interface, sleek, design, battery, life, exceed, expectation]]","[[phone price need work configuration use ho g lte network, 0.6697, 5], [phone, 0.7906, 5], [upgrade lumia br everything lumia xl bright screen use gosmart mobile problem, 0.1935, 5], [phone beat heck phone pay gps well garmin connects honda bluetooth, 0.6249, 5], [love phone user interface sleek design battery life exceed expectation, 0.6534, 5]]"
B00YA5QDMK,"[0.743, 0.34]","[5, 5]","[[phone, work, country, korea, leather, side, scratch, get], [everything, alright, phone, camera]]","[[phone work country korea leather side scratch get, 0.743, 5], [everything alright phone camera, 0.34, 5]]"
B00YD6F700,[0.1531],[3],"[[ok, keep, hang, phone, call, alot]]","[[ok keep hang phone call alot, 0.1531, 3]]"
B00YMNI2JM,"[-0.4767, 0.7579]","[1, 4]","[[come, break, case, scratch], [design, isnt, cheap, feel, nice, snug, phone, perfect]]","[[come break case scratch, -0.4767, 1], [design isnt cheap feel nice snug phone perfect, 0.7579, 4]]"
B00YSAG1AG,[0.4404],[5],[[product]],"[[product, 0.4404, 5]]"
B00YUTPZ9S,[-0.7269],[1],"[[leather, dont, buy, damage, corner, leave, scratch, bit, leather, torn, put, case, break, side, try, take, phone, extra, battery, switch, use, leather, dont, buy, product, issue, charger, hit, miss, case, trouble, holding, charger, place]]","[[leather dont buy damage corner leave scratch bit leather torn put case break side try take phone extra battery switch use leather dont buy product issue charger hit miss case trouble holding charger place, -0.7269, 1]]"
B00Z5DN2Q6,[0.9851],[5],"[[dock, craft, sturdy, apple, watch, charger, fit, idid, take, watch, charger, use, thinner, strip, come, dock, perfect, fit, iphone, fit, deal, awesome, price, apple, watch, owner]]","[[dock craft sturdy apple watch charger fit idid take watch charger use thinner strip come dock perfect fit iphone fit deal awesome price apple watch owner, 0.9851, 5]]"
B00ZI909AO,"[0.5719, 0.3291]","[5, 4]","[[get, later, expect, worth, wait], [excellent, case]]","[[get later expect worth wait, 0.5719, 5], [excellent case, 0.3291, 4]]"
B00ZKFBWB6,[0.296],[5],"[[becasue, make, bambooit, light, charge, speed, ok]]","[[becasue make bambooit light charge speed ok, 0.296, 5]]"
B00ZO738NK,[-0.765],[1],"[[case, alright, holster, broke, day, screen, protector, cheap, piece, crap]]","[[case alright holster broke day screen protector cheap piece crap, -0.765, 1]]"
B010GQ5YNU,[0.4927],[5],"[[please, case, phone]]","[[please case phone, 0.4927, 5]]"
B010LTIRWC,[0.7956],[4],"[[nice, bite, bulk, protects]]","[[nice bite bulk protects, 0.7956, 4]]"
B0115ELOAE,[0.6249],[5],"[[work, great, want]]","[[work great want, 0.6249, 5]]"
B011I6TAVY,[0.7506],[5],"[[case, phone, fit, card, perfect, dl, credit, card, pocket, drop, time, day, curvature, slight, edge, bottom, glass, touch, make, phone, mad]]","[[case phone fit card perfect dl credit card pocket drop time day curvature slight edge bottom glass touch make phone mad, 0.7506, 5]]"
B011U0P62K,"[-0.6237, 0.9391, 0.9636, 0.9134, 0.7506]","[5, 5, 5, 5, 5]","[[band, take, sec, figure, trick, get, watch, slide, secondbottom, bracket, end, band, easy, magnet, band, feel, make, stainless, lug, band, watch, milanese, loop, ive], [substitute, overprice], [ordering, band, order, band, company, return, misrepresentation, watchband, everything, represent, picture, slide, place, gap, mention, review, product, arrive, promise, pack, happier, order, band, company, future], [money, magnet, wearing, couple, day, fit, apple, sport, watch], [recieved, today, say, wow, band, apple, product, happy, purchase]]","[[band take sec figure trick get watch slide secondbottom bracket end band easy magnet band feel make stainless lug band watch milanese loop ive, -0.6237, 5], [substitute overprice, 0.9391, 5], [ordering band order band company return misrepresentation watchband everything represent picture slide place gap mention review product arrive promise pack happier order band company future, 0.9636, 5], [money magnet wearing couple day fit apple sport watch, 0.9134, 5], [recieved today say wow band apple product happy purchase, 0.7506, 5]]"
B0128LUZ58,[0.9618],[5],"[[case, perfect, fit, great, material, great, price, look]]","[[case perfect fit great material great price look, 0.9618, 5]]"
B012S8IGSE,[0.5719],[5],"[[excellent, product]]","[[excellent product, 0.5719, 5]]"
B0135CDQ78,"[0.6369, 0.8798]","[5, 3]","[[star, tho, decent, case, expect, lime, picture, color, yellow, alright, prefer, color, shown, picture]]","[[star tho decent case expect lime picture color yellow alright prefer color shown picture, 0.6369, 5], [, 0.8798, 3]]"
B013I1IOKK,[0.836],[5],[[perfect]],"[[perfect, 0.836, 5]]"
B013IIU9GU,"[0.9676, 0.0]","[5, 3]","[[revise, reviewbr, br, rating, crystal, version, br, poor, fitment, slippery, collect, dust, issue, case, problem, rearthringke, take, care, get, colorbr, br, matte, versionbr, br, good, expect, fit, tighter, way, aside, color, wish, sapphire, color, phone], [case, add, bulkis, weight, fit, snuglybr, consbr, thing, know, screen, protector, casebr, case, slit, corner, see, picturesbr, screen, protector, taper, home, camera, opening, cover, lcd, screen, side]]","[[revise reviewbr br rating crystal version br poor fitment slippery collect dust issue case problem rearthringke take care get colorbr br matte versionbr br good expect fit tighter way aside color wish sapphire color phone, 0.9676, 5], [case add bulkis weight fit snuglybr consbr thing know screen protector casebr case slit corner see picturesbr screen protector taper home camera opening cover lcd screen side, 0.0, 3]]"
B013X0V4VM,[0.8485],[5],"[[activate, phone, att, work, strength, go, work, home, top, line, phone, price, everything, come]]","[[activate phone att work strength go work home top line phone price everything come, 0.8485, 5]]"
