B0007WRQOO,"[0.4404, 0.5719]","[5, 5]","[[work, perfect], [ship, install]]","[[work perfect, 0.4404, 5], [ship install, 0.5719, 5]]"
B00OQ1CY2Q,"[0.0, 0.6621, 0.296, 0.6369, 0.0, 0.659, 0.9381, 0.6249, 0.1531, 0.7579, 0.1531, 0.6249, 0.6249, 0.0, 0.6249, 0.6249, 0.6369, 0.6249, 0.4404, 0.3369, 0.6437]","[5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 4, 5, 5, 4, 5, 5, 4, 5, 5, 5, 5]","[[devicewe, device], [work, great, advertise], [ship, work, classroom, device], [handy, charge, multiple, phone, travel, family, appealing, design], [quality, design, usefulness, cable, attach, convenience, iphone, ipad, fitbit, port, item, need], [want, dont, know, put], [work, great, charge, phone, ecigs, problem], [get, rid, plug, phone, device, use, work, take, space, quick, charge, glad, buy], [work, great], [port, work, seem, everything, suppose], [port, awesome, phone, charge, never, phone, charge, fast, thing], [work, great], [work, device], [havent, use, feel, using, upcoming, trip], [charger, price], [product, make, compact, nice, look, work], [build, port, usb, power, adapter, come, handy, home, travel, working, problem], [star, charge, ipads, time, quit, charging, unplug, plug, get, start, charge], [work]]","[[devicewe device, 0.0, 5], [work great advertise, 0.6621, 4], [ship work classroom device, 0.296, 5], [handy charge multiple phone travel family appealing design, 0.6369, 5], [quality design usefulness cable attach convenience iphone ipad fitbit port item need, 0.0, 5], [want dont know put, 0.659, 5], [work great charge phone ecigs problem, 0.9381, 5], [get rid plug phone device use work take space quick charge glad buy, 0.6249, 5], [work great, 0.1531, 5], [port work seem everything suppose, 0.7579, 4], [port awesome phone charge never phone charge fast thing, 0.1531, 4], [work great, 0.6249, 5], [work device, 0.6249, 5], [havent use feel using upcoming trip, 0.0, 4], [charger price, 0.6249, 5], [product make compact nice look work, 0.6249, 5], [build port usb power adapter come handy home travel working problem, 0.6369, 4], [star charge ipads time quit charging unplug plug get start charge, 0.6249, 5], [work, 0.4404, 5], [, 0.3369, 5], [, 0.6437, 5]]"
B00OVYFN8U,[0.6908],[5],"[[nice, make, hook, pot, pan]]","[[nice make hook pot pan, 0.6908, 5]]"
B00PA2E3V0,[-0.0258],[3],"[[case, look, stun, come, texture, feel, cheap, distress, look, week, day, use, stylus, broke, day, avoid, decent, price, youre, look, something, cute, look]]","[[case look stun come texture feel cheap distress look week day use stylus broke day avoid decent price youre look something cute look, -0.0258, 3]]"
B00PGCPFC0,[0.9246],[3],"[[discover, card, holder, phone, case, go, purchase, product, twice, good, badbr, br, good, purchase, item, feel, doesnt, add, bulk, phone, colour, purchase, bold, dont, forget, countertop, overlook, grip, phone, card, holder, case, grip, well, take, case, take, slip, fall, offbr, br, tiny, peg, hold, case, place, seem, fragile, grant, time, broke, friend, open, case, wide, look, mirror, cause, bottom, peg, break, time, card, werent, place, broke, bottom, peg, love, case, dont, x, love, itbr, br, mirror, kinda, useless, case, fa, peg, break, see, preference, forego, mirror, card, slot]]","[[discover card holder phone case go purchase product twice good badbr br good purchase item feel doesnt add bulk phone colour purchase bold dont forget countertop overlook grip phone card holder case grip well take case take slip fall offbr br tiny peg hold case place seem fragile grant time broke friend open case wide look mirror cause bottom peg break time card werent place broke bottom peg love case dont x love itbr br mirror kinda useless case fa peg break see preference forego mirror card slot, 0.9246, 3]]"
B00PIVPGMI,[0.5994],[5],"[[daughter, love]]","[[daughter love, 0.5994, 5]]"
B00PO78HAE,[0.4404],[2],"[[fall, chevy, accessory, socket, change, faster, charger, use, moto, x, good, buy]]","[[fall chevy accessory socket change faster charger use moto x good buy, 0.4404, 2]]"
B00PV0C246,"[0.4754, 0.3891]","[5, 3]","[[nice], [case, loose, side, material, stretch, get, inside, case, get, replacement]]","[[nice, 0.4754, 5], [case loose side material stretch get inside case get replacement, 0.3891, 3]]"
B00Q27WE04,[0.6597],[4],"[[simple, solution, minimize, wallet, phone, size, lifeproof, case, galaxy, band, taking, pocket, band, slip, corner, dump, essential, floor]]","[[simple solution minimize wallet phone size lifeproof case galaxy band taking pocket band slip corner dump essential floor, 0.6597, 4]]"
B00Q5QJEEG,[0.0],[5],[[work]],"[[work, 0.0, 5]]"
B00Q5SW1QW,"[0.3919, 0.6249, 0.6249, 0.5936, -0.6757, 0.7264, 0.128, 0.8777]","[4, 5, 5, 4, 1, 5, 1, 5]","[[awesome], [fit, fine, material], [case, total, garbage, reccomend, buy, item, u, use, phone, alot, heat, battery, go, make, gold, cover, change, color, gold, black, white, heat, battery, purchase, month, week, return, pay, mine, brand, save, problem, throw, money, buy, product], [case], [case, fit, edge, screen, need, screen, protector, want, protection], [think, go, pocket, doesnt, work], [fit, phone, give, amount, protection, phone], [material, great, paint, fade, damage, phone, protect, phone, case, spend, money, damage, phone, funny]]","[[awesome, 0.3919, 4], [fit fine material, 0.6249, 5], [case total garbage reccomend buy item u use phone alot heat battery go make gold cover change color gold black white heat battery purchase month week return pay mine brand save problem throw money buy product, 0.6249, 5], [case, 0.5936, 4], [case fit edge screen need screen protector want protection, -0.6757, 1], [think go pocket doesnt work, 0.7264, 5], [fit phone give amount protection phone, 0.128, 1], [material great paint fade damage phone protect phone case spend money damage phone funny, 0.8777, 5]]"
B00Q62QB72,"[-0.3412, 0.8045]","[2, 4]","[[quality, good], [work, great, phone, fit, tight, card, stay, put, magnet, hold, thing, dont, wristlet, rub, black, ring, wrist, day, wear, come, annoy, love]]","[[quality good, -0.3412, 2], [work great phone fit tight card stay put magnet hold thing dont wristlet rub black ring wrist day wear come annoy love, 0.8045, 4]]"
B00Q79IBZY,"[0.7845, 0.6249, 0.9825]","[5, 5, 5]","[[galaxy, note, purchase, j, mobile, llc, phone, arrive, perfect, condition, buy, phone, hand, love, love, galaxy, note], [camera, feature, photo, take, w, phooe, clear, nice], [device, brand]]","[[galaxy note purchase j mobile llc phone arrive perfect condition buy phone hand love love galaxy note, 0.7845, 5], [camera feature photo take w phooe clear nice, 0.6249, 5], [device brand, 0.9825, 5]]"
B00Q9WPFLM,"[0.9497, 0.7003]","[5, 2]","[[think, color, case, cute, concept, nice, charge, dock, month, purchase, bottom, piece, chip, paint, beige, turn, kind, maroon], [case, own, protect, phone, break, shock, drop, phone, million, time, case, fail, keep, protect]]","[[think color case cute concept nice charge dock month purchase bottom piece chip paint beige turn kind maroon, 0.9497, 5], [case own protect phone break shock drop phone million time case fail keep protect, 0.7003, 2]]"
B00QHEI776,"[-0.5984, 0.3716]","[2, 4]","[[disappoint, stability, swivel, piece, cant, hold, phone, sideways, position, work, upright, ahead, kind, tilt, flop, buy], [iphone, tripod, step, get, work]]","[[disappoint stability swivel piece cant hold phone sideways position work upright ahead kind tilt flop buy, -0.5984, 2], [iphone tripod step get work, 0.3716, 4]]"
B00QKBMX4Y,[0.3612],[5],"[[cover, ok, phone, worck, day, lose, money, deal, cover, good]]","[[cover ok phone worck day lose money deal cover good, 0.3612, 5]]"
B00QP5QHO2,"[0.6249, 0.5994]","[5, 5]","[[god, bless, american]]","[[god bless american, 0.6249, 5], [, 0.5994, 5]]"
B00QSXYQC6,[0.0],[4],[[work]],"[[work, 0.0, 4]]"
B00QTH9X9W,[0.5719],[4],"[[go, bubble, remove, reason, remove, star, there, cut, camera, sensor]]","[[go bubble remove reason remove star there cut camera sensor, 0.5719, 4]]"
B00QU4QCQQ,"[0.6249, 0.9493, 0.4939, 0.6369, 0.7311]","[5, 4, 5, 5, 5]","[[get, phone, look], [case], [bulk, phone, protects, phone, damage, ive, drop, phone, multiple, time, case, shape], [looking, great, fit, case, maintains, slick, look, phone, provide, protection, access, port, device, reason, case, didnt, get, star, durability, side, plastic, tends, scratch], [look, fit, buy, camera]]","[[get phone look, 0.6249, 5], [case, 0.9493, 4], [bulk phone protects phone damage ive drop phone multiple time case shape, 0.4939, 5], [looking great fit case maintains slick look phone provide protection access port device reason case didnt get star durability side plastic tends scratch, 0.6369, 5], [look fit buy camera, 0.7311, 5]]"
B00QXZHNYC,"[0.5859, 0.5574, 0.9217, 0.4754]","[5, 5, 5, 3]","[[love, iphone, case, great, price, love, color], [set, granite, pick, ton, paint, scratch, disappoint, case, feel, hand], [light, weight, rich, color], [amaze, case, get, day]]","[[love iphone case great price love color, 0.5859, 5], [set granite pick ton paint scratch disappoint case feel hand, 0.5574, 5], [light weight rich color, 0.9217, 5], [amaze case get day, 0.4754, 3]]"
B00R0JH93U,"[0.9081, 0.9062]","[5, 5]","[[work, great, sound, use, beach, pool, go, camp, impress, crowd, cost], [buy, love, sound, amaze, flexibility, use, wherever, im, beach, garden]]","[[work great sound use beach pool go camp impress crowd cost, 0.9081, 5], [buy love sound amaze flexibility use wherever im beach garden, 0.9062, 5]]"
B00R55OOJG,[0.9882],[5],"[[case, case, find, iphone, fit, look, gopro, case, match, amaze, wood, winner, getting, compliment, got, say, doesnt, front, phone, get, wood, plus, glass, protector, frontbr, br, recommend, supporting, business, case, make, usa, get, case, br, br, thank, guy, create, something, look, time]]","[[case case find iphone fit look gopro case match amaze wood winner getting compliment got say doesnt front phone get wood plus glass protector frontbr br recommend supporting business case make usa get case br br thank guy create something look time, 0.9882, 5]]"
B00RB2EWZO,"[0.3612, 0.5267]","[3, 1]","[[connect, doesnt, connect, depend, device, sound, quality, good], [work, week, answer, phone, call, use, onboard, microphone, play, music, car, speaker, work, cut, longer, connect, phone, pair, anything]]","[[connect doesnt connect depend device sound quality good, 0.3612, 3], [work week answer phone call use onboard microphone play music car speaker work cut longer connect phone pair anything, 0.5267, 1]]"
B00RQY1PUM,[0.7469],[5],"[[cordbutton, work, android, work, use, timer, set, camera, super]]","[[cordbutton work android work use timer set camera super, 0.7469, 5]]"
B00RUKZMDS,[0.5719],[5],[[excellent]],"[[excellent, 0.5719, 5]]"
B00RW0AVHS,[-0.2748],[2],"[[review, recommendation, people, buy, disappoint, phone, clean, perfection, spot, refuse, stick, try, corner, didnt, stick, installation, end, went, spigen, screen, protector]]","[[review recommendation people buy disappoint phone clean perfection spot refuse stick try corner didnt stick installation end went spigen screen protector, -0.2748, 2]]"
B00RWE82C0,[0.8055],[5],"[[case, awesome, sleek, put]]","[[case awesome sleek put, 0.8055, 5]]"
B00S8NEDYK,[0.296],[5],[[ok]],"[[ok, 0.296, 5]]"
B00S8R1GD2,[0.0],[5],"[[place, find, time, flip, phone, ]]","[[place find time flip phone , 0.0, 5]]"
B00SA7BADG,[0.5719],[5],"[[product, excellent, phone]]","[[product excellent phone, 0.5719, 5]]"
B00SOXWQD4,[-0.6542],[2],"[[side, cute, im, afraid, drop, phone, case, ill, break]]","[[side cute im afraid drop phone case ill break, -0.6542, 2]]"
B00SRWHELQ,"[-0.1272, -0.6113, -0.6554]","[2, 1, 1]","[[zipper, tab, rattle, bump, iphone, case, plus], [doesnt, way, place, bike], [concept, good, idea, cheap, execution, flimsiness, stand, way, take, ride, today, manicure, trail, nothing, crazy, bmx, type, trail, lose, upper, case, upper, part, fit, ring, go, handle, bar, type, connector, car, vent, phone, holder, shock, bump, road, recommend, bike, purpose, get, return, sender]]","[[zipper tab rattle bump iphone case plus, -0.1272, 2], [doesnt way place bike, -0.6113, 1], [concept good idea cheap execution flimsiness stand way take ride today manicure trail nothing crazy bmx type trail lose upper case upper part fit ring go handle bar type connector car vent phone holder shock bump road recommend bike purpose get return sender, -0.6554, 1]]"
B00SYF29WA,[0.2023],[5],[[fine]],"[[fine, 0.2023, 5]]"
B00T2IRWYS,[0.0],[1],"[[work, week, doesnt, work]]","[[work week doesnt work, 0.0, 1]]"
B00T6Q2SYA,[-0.5823],[2],"[[wife, pick, day, cover, went, dislike, sure, reason]]","[[wife pick day cover went dislike sure reason, -0.5823, 2]]"
B00T93ZVJ4,"[0.4404, -0.4767, 0.0]","[5, 5, 1]","[[thanks], [privacy, advertise], [look, product, come, everything, intact, problem, get, screen, phone]]","[[thanks, 0.4404, 5], [privacy advertise, -0.4767, 5], [look product come everything intact problem get screen phone, 0.0, 1]]"
B00TFAVFKU,"[0.7351, 0.5719, 0.6249, 0.891, 0.9042]","[5, 5, 5, 1, 5]","[[budget, phonebr, br, amaze, buy, mom], [smartphone, work, venezuela, g, digitel, movistar, movilnet], [excellent], [moto, e, nd, generation, buy, get, parent, sister, law, amaze, price, get, way, expect, budget, phone, feature, knock, competition, performance], [phone, defective, e, love, think, yay, generation, phone, great, wont, keep, date, time, regardless, setting, u, pick, sends, multiple, message, unchecked, setting, buying, moto, e]]","[[budget phonebr br amaze buy mom, 0.7351, 5], [smartphone work venezuela g digitel movistar movilnet, 0.5719, 5], [excellent, 0.6249, 5], [moto e nd generation buy get parent sister law amaze price get way expect budget phone feature knock competition performance, 0.891, 1], [phone defective e love think yay generation phone great wont keep date time regardless setting u pick sends multiple message unchecked setting buying moto e, 0.9042, 5]]"
B00TI7TUCA,"[0.2486, 0.4404]","[1, 1]","[[work, fine, week, outlet, start, spark, receive, replacement, plug, doesnt, spark, plug, cord, stop, work, unit, week], [buy, love, day, die, love, day, die, hear, thing, friend, order, cord, nice, product]]","[[work fine week outlet start spark receive replacement plug doesnt spark plug cord stop work unit week, 0.2486, 1], [buy love day die love day die hear thing friend order cord nice product, 0.4404, 1]]"
B00TKMVH7O,"[0.9303, -0.4215]","[5, 1]","[[case, sturdy, fit, phone, case, doesnt, matter, purchase, amazon, apple, store, change, color, case, case, year, brand, thing, recommend], [dose, stay, phone, waste, money]]","[[case sturdy fit phone case doesnt matter purchase amazon apple store change color case case year brand thing recommend, 0.9303, 5], [dose stay phone waste money, -0.4215, 1]]"
B00TL4DWDS,[0.765],[5],"[[phone, unique, design, case, cover, phone, look, price, im, happy, bulky, youre, look, something, elaborate, case]]","[[phone unique design case cover phone look price im happy bulky youre look something elaborate case, 0.765, 5]]"
B00TQKIH7I,[0.9203],[2],"[[case, sturdy, kickstand, case, month, corner, bumper, crack, fell, didnt, drop, phone, give, wear, tear, felt, last, longer, luck]]","[[case sturdy kickstand case month corner bumper crack fell didnt drop phone give wear tear felt last longer luck, 0.9203, 2]]"
B00TT3FLR6,[-0.2755],[2],"[[case, bit, nokia, lumia, fit, flush, phone]]","[[case bit nokia lumia fit flush phone, -0.2755, 2]]"
B00TTB2P18,[-0.3596],[3],"[[case, accessory, arent, short, charger, doesnt, work]]","[[case accessory arent short charger doesnt work, -0.3596, 3]]"
B00TVACI5U,[0.0],[4],"[[activate, iwireless, service]]","[[activate iwireless service, 0.0, 4]]"
B00U0A4A56,[0.7351],[5],"[[case, feel, flimsy, buying, case, store, red, case, complement, style, phone]]","[[case feel flimsy buying case store red case complement style phone, 0.7351, 5]]"
B00U0WQ9G2,"[0.8399, -0.3818, 0.4019]","[5, 1, 5]","[[crap], [work, great, flip, touch, cushion, press, work], [samsung, galaxy, edge, others, replace, hardware, defect, armorsuit, militaryshield, suffice, say, screen, protector, easy, make, fix, mistake, come, application, process, protecting, screen, use, touch, screen, opening, place, case, ive, try, phone]]","[[crap, 0.8399, 5], [work great flip touch cushion press work, -0.3818, 1], [samsung galaxy edge others replace hardware defect armorsuit militaryshield suffice say screen protector easy make fix mistake come application process protecting screen use touch screen opening place case ive try phone, 0.4019, 5]]"
B00U2VLMR2,[0.2617],[2],"[[keep, look, stand, didnt, week, use, break, case]]","[[keep look stand didnt week use break case, 0.2617, 2]]"
B00U53BYYI,[0.6369],[5],"[[description, say]]","[[description say, 0.6369, 5]]"
B00U8ZXDB0,"[-0.4201, -0.1263]","[1, 2]","[[screen, crack, phone, week, drop, phone, case, itbr, disappoint], [screen, difficult, put, get, putting, screen, protector, crack]]","[[screen crack phone week drop phone case itbr disappoint, -0.4201, 1], [screen difficult put get putting screen protector crack, -0.1263, 2]]"
B00UHAOQX0,[0.7964],[5],"[[harry, potter, try, buy, product, relate, hope, add, stuff, collection]]","[[harry potter try buy product relate hope add stuff collection, 0.7964, 5]]"
B00UMWPM8G,[0.8735],[4],"[[handy, user, edge, deal, carry, cell, phone, clip, pocket, reach]]","[[handy user edge deal carry cell phone clip pocket reach, 0.8735, 4]]"
B00URI3DTK,[0.6749],[2],"[[heaver, expect, super, safe, realize, day, use, case, cover, charge, port, cant, use]]","[[heaver expect super safe realize day use case cover charge port cant use, 0.6749, 2]]"
B00UZ87CKS,[0.4019],[5],"[[charge, plugin, power, supply, seat, rail, mount, bracket, hold, nexus, santa, fe, perfect, use, sygic, gps, app, application, price, buy]]","[[charge plugin power supply seat rail mount bracket hold nexus santa fe perfect use sygic gps app application price buy, 0.4019, 5]]"
B00V44QMCG,[-0.5975],[1],"[[doesnt, charge, iphone, bose, speaker, work, playing, music, speaker, great]]","[[doesnt charge iphone bose speaker work playing music speaker great, -0.5975, 1]]"
B00V7ZPO12,[0.8074],[5],"[[installation, great, fit, bubble, inconsistency]]","[[installation great fit bubble inconsistency, 0.8074, 5]]"
B00VE96RC6,[0.2263],[3],[[okay]],"[[okay, 0.2263, 3]]"
B00VF1KXQ4,"[0.8119, 0.7302, 0.9603, 0.4588, 0.4404, -0.7351, 0.0]","[5, 5, 5, 5, 5, 2, 2]","[[dy, fast, charge, day, test, day, phone, charge, thing, die, iphone], [hold, charge, recharge, apple, iphone, ], [get, week, seem, work, perfect, size, great, price, couldnt, pas, suggest, buy, cord, phone, keep, device, dont, keep, unplug, charger, use, portable, charger, make, mistake, product, give, choice, buy], [product], [work, great, light, show, charge, leave, get, plug, phone, put, purse, complaint], [come, charge, perfect, size, throw, purse, day, need, emergency, delivery, make, charger], [wife, daughter, use, larger, battery, power, bank, charge, size, pain, lug, something, smaller, size, weight, good, charge, power, bank, fit, bill, put, use, couple, time, sightsee, smartphone, run, picture, google, map, us, recharge, satisfy]]","[[dy fast charge day test day phone charge thing die iphone, 0.8119, 5], [hold charge recharge apple iphone , 0.7302, 5], [get week seem work perfect size great price couldnt pas suggest buy cord phone keep device dont keep unplug charger use portable charger make mistake product give choice buy, 0.9603, 5], [product, 0.4588, 5], [work great light show charge leave get plug phone put purse complaint, 0.4404, 5], [come charge perfect size throw purse day need emergency delivery make charger, -0.7351, 2], [wife daughter use larger battery power bank charge size pain lug something smaller size weight good charge power bank fit bill put use couple time sightsee smartphone run picture google map us recharge satisfy, 0.0, 2]]"
B00VFL4GDU,[0.0],[4],[[sturdy]],"[[sturdy, 0.0, 4]]"
B00VHES6DQ,[-0.6608],[4],"[[part, dont, case, cover, charge, port, pain]]","[[part dont case cover charge port pain, -0.6608, 4]]"
B00VJCFVWA,"[0.6369, 0.0, 0.8176, 0.7391]","[4, 1, 5, 5]","[[wish, turn, spark, ok], [work, return], [work, great, im, enjoy]]","[[wish turn spark ok, 0.6369, 4], [work return, 0.0, 1], [work great im enjoy, 0.8176, 5], [, 0.7391, 5]]"
B00VL5W880,[0.7579],[1],"[[broke, day, get, need, concert, couldnt, use, want, love, tho, color, awesome]]","[[broke day get need concert couldnt use want love tho color awesome, 0.7579, 1]]"
B00VR23KR0,[0.8922],[3],"[[bit, let, tends, look, d, phone, cover, picture, case, protect, phone, drop, look, ok]]","[[bit let tends look d phone cover picture case protect phone drop look ok, 0.8922, 3]]"
B00VRMEIQ2,[0.8553],[5],"[[samsung, galaxy, tab, fit]]","[[samsung galaxy tab fit, 0.8553, 5]]"
B00VZ58PE2,[0.7425],[4],"[[product, quality, reason, wouldnt, give, tends, stick, clothes, alice, pocket, isnt]]","[[product quality reason wouldnt give tends stick clothes alice pocket isnt, 0.7425, 4]]"
B00VZ59OAG,[0.6249],[5],[[awesome]],"[[awesome, 0.6249, 5]]"
B00W17YNU8,"[0.6557, -0.5031]","[4, 4]","[[im, use, main, purse, think, cover, essential, want, put, phone, multiple, pocket, work], [look, purse, carry, phone, key, lipstick, money, perfect, size, doesnt, fit, galaxy, note, force, phone, compartment, difficult, get, return]]","[[im use main purse think cover essential want put phone multiple pocket work, 0.6557, 4], [look purse carry phone key lipstick money perfect size doesnt fit galaxy note force phone compartment difficult get return, -0.5031, 4]]"
B00W4BS9ZG,"[0.6115, 0.296]","[5, 5]","[[ok, delivery, product], [im, happy, phone]]","[[ok delivery product, 0.6115, 5], [im happy phone, 0.296, 5]]"
B00W74QGWI,[0.5859],[4],"[[watch, expect, pulse, rate, monitor, take, try, pulse, maybe, movement, side, light, interference, us, lead, read, pulse]]","[[watch expect pulse rate monitor take try pulse maybe movement side light interference us lead read pulse, 0.5859, 4]]"
B00W8J05YC,"[0.2732, -0.1583, 0.6369, -0.5994]","[5, 3, 4, 5]","[[family, bought, take, carribean, cruise, work, keep, iphones, experience, leak], [complaint, buy], [seems, watertight, longer, clear, work, take, picture, use, phone, case, yo, remove, case, samsung, galaxy, otterbox], [work, take, phone, underwater, work]]","[[family bought take carribean cruise work keep iphones experience leak, 0.2732, 5], [complaint buy, -0.1583, 3], [seems watertight longer clear work take picture use phone case yo remove case samsung galaxy otterbox, 0.6369, 4], [work take phone underwater work, -0.5994, 5]]"
B00WF4WCG4,[0.1406],[5],"[[sprint, felt, concern, ipod, fall, fit, skinny, arm, seem, stretch, lot]]","[[sprint felt concern ipod fall fit skinny arm seem stretch lot, 0.1406, 5]]"
B00WJWE7W4,[-0.7858],[3],"[[case, leave, room, see, phone, color, dont, look, together, think, wouldnt, see, look, color, go, together]]","[[case leave room see phone color dont look together think wouldnt see look color go together, -0.7858, 3]]"
B00WK94Q8Q,[0.6908],[5],"[[nice, light, rubber, case, make, handle]]","[[nice light rubber case make handle, 0.6908, 5]]"
B00WKASR12,[0.0],[5],[[hood]],"[[hood, 0.0, 5]]"
B00WKZ6LS8,"[0.8221, -0.6381]","[5, 1]","[[didnt, fit, phone, buy, advertise, product], [case, great, kickstand]]","[[didnt fit phone buy advertise product, 0.8221, 5], [case great kickstand, -0.6381, 1]]"
B00WL8J8CK,[0.1393],[5],"[[purchase, acepower, slider, case, simple, black, piece, slider, case, felt, line, inside, get, scratch, cut, out, slider, case, button, press, please, case, case, rigid, want, case, bendgate, story, case, give, peace, mind, purchase, case, casecrown, offer, protection, casecrown, case, sharp, cutout, bottom, button, press]]","[[purchase acepower slider case simple black piece slider case felt line inside get scratch cut out slider case button press please case case rigid want case bendgate story case give peace mind purchase case casecrown offer protection casecrown case sharp cutout bottom button press, 0.1393, 5]]"
B00WWET4WC,[0.5346],[4],"[[super, cute, come, scratch]]","[[super cute come scratch, 0.5346, 4]]"
B00WXI0CJQ,"[0.893, 0.6369]","[5, 5]","[[sturdy, case, im, happy, fit, protect, phone]]","[[sturdy case im happy fit protect phone, 0.893, 5], [, 0.6369, 5]]"
B00WZOOA4G,[0.0],[1],"[[piece, junk, transmits, faint]]","[[piece junk transmits faint, 0.0, 1]]"
B00X3YK5KK,[0.4215],[5],[[hop]],"[[hop, 0.4215, 5]]"
B00X57A38E,[0.6249],[5],[[phone]],"[[phone, 0.6249, 5]]"
B00XIBOJ78,"[0.6249, 0.8519]","[5, 5]","[[product, order, multiple, color, ship, price], [everything, look, awesome, price]]","[[product order multiple color ship price, 0.6249, 5], [everything look awesome price, 0.8519, 5]]"
B00YC2T3RS,[-0.296],[3],"[[print, bubble, spot, paperwork, make, return]]","[[print bubble spot paperwork make return, -0.296, 3]]"
B00YD53MHQ,"[0.0, 0.0]","[4, 1]","[[work], [applachian, wireless]]","[[work, 0.0, 4], [applachian wireless, 0.0, 1]]"
B00YFICQFU,[0.4404],[4],"[[price, good, buy]]","[[price good buy, 0.4404, 4]]"
B00YG6H4XA,"[0.0, 0.0, 0.7964, 0.6369, 0.8855, 0.5719, 0.5719, 0.7351, 0.4404, 0.6124, 0.5719, -0.3818, 0.6249, 0.4404]","[5, 4, 5, 4, 4, 5, 5, 5, 4, 5, 5, 1, 5, 5]","[[excellent, product], [perfect, take, couple, second, reinstall, everything, came, bag], [factory, replace, minute, well, shipping, samsung], [kit, eay, install], [match], [install, held, month, include, beach, trip], [work, thanks], [perfect, fit], [perfect], [advertise], [hour, phone, broke, save, money], [come, extra, piece, screw, hold, battery, door, phone, screwdriver, size, color, doesnt, gold, well, nothing, else, go, noticebr, br, gripe, screencleaning, cloth, flimsy, left, nasty, residue, phonebr, br, price, everything]]","[[excellent product, 0.0, 5], [perfect take couple second reinstall everything came bag, 0.0, 4], [factory replace minute well shipping samsung, 0.7964, 5], [kit eay install, 0.6369, 4], [match, 0.8855, 4], [install held month include beach trip, 0.5719, 5], [work thanks, 0.5719, 5], [perfect fit, 0.7351, 5], [perfect, 0.4404, 4], [advertise, 0.6124, 5], [hour phone broke save money, 0.5719, 5], [come extra piece screw hold battery door phone screwdriver size color doesnt gold well nothing else go noticebr br gripe screencleaning cloth flimsy left nasty residue phonebr br price everything, -0.3818, 1], [, 0.6249, 5], [, 0.4404, 5]]"
B00ZDRDORQ,[0.7438],[5],"[[purchase, couple, different, dash, mount, phone, holder, didnt, work, car, isnt, convenient, safe, spot, dashboard, use, glue, suction, base, phone, mount, air, vent, holder, better, think, position, vent, phone, accommodate, iphone, samsung, edge, zero, obstruction, direction, recommend]]","[[purchase couple different dash mount phone holder didnt work car isnt convenient safe spot dashboard use glue suction base phone mount air vent holder better think position vent phone accommodate iphone samsung edge zero obstruction direction recommend, 0.7438, 5]]"
B00ZDTYV8K,"[0.0, 0.6249]","[5, 4]","[[work, great], [cant, pricethank]]","[[work great, 0.0, 5], [cant pricethank, 0.6249, 4]]"
B00ZH6NEVY,"[0.9418, 0.4404]","[4, 5]","[[look, case, bit, smooth, love, look, fit], [work, good]]","[[look case bit smooth love look fit, 0.9418, 4], [work good, 0.4404, 5]]"
B00ZOTR9YM,[0.857],[5],"[[buy, love, fit, perfectim, bought]]","[[buy love fit perfectim bought, 0.857, 5]]"
B00ZP3DYSC,[0.5719],[5],[[excellent]],"[[excellent, 0.5719, 5]]"
B010FI3ESQ,[0.5994],[1],"[[color, chip]]","[[color chip, 0.5994, 1]]"
B010NMWP8O,"[-0.859, 0.9617, 0.7269]","[1, 5, 5]","[[nice, appreciate, go, mile], [buy, hold, watch, great, dangle, watch, strap, pop, watch, holder, place, design, improve, stress, put, charge, pop, design, channelits, worth, spent, edit, ive, drop, review, star, stand, review, product, watch, stand, combo, watchphone, stand, problem, whoever, sell, producttheyve, use, review, product, permission, theyve, list, verify, purchaser, product, insane, combo, dock, purchase, receive, say, product, feel, review, fraud, review, show, product, see, use, watch, stand, product, satisfactory, money, spent, see, review, product, safe, say, see, insane, watch, combo, product, please, consider, fraud, hesitate, trust, review, product, ive, notify, amazon, heard, week, im, assume, aware, kind, fraud, dont, want, alarm, mass, disappoint, review, fraud, feel, take, advantage, lead, assume, reading, false, verify, purchaser, review, amazon], [awesome, idea, take, space, counter, less, watch, lay, counter, charge, well, lay, watch, counter, charge, get, soak, spill, make, wrap, cord, part, stand, store, excess, screen, protecters, addon, work, great, watch, easy, install]]","[[nice appreciate go mile, -0.859, 1], [buy hold watch great dangle watch strap pop watch holder place design improve stress put charge pop design channelits worth spent edit ive drop review star stand review product watch stand combo watchphone stand problem whoever sell producttheyve use review product permission theyve list verify purchaser product insane combo dock purchase receive say product feel review fraud review show product see use watch stand product satisfactory money spent see review product safe say see insane watch combo product please consider fraud hesitate trust review product ive notify amazon heard week im assume aware kind fraud dont want alarm mass disappoint review fraud feel take advantage lead assume reading false verify purchaser review amazon, 0.9617, 5], [awesome idea take space counter less watch lay counter charge well lay watch counter charge get soak spill make wrap cord part stand store excess screen protecters addon work great watch easy install, 0.7269, 5]]"
