B0007L8BY4,[-0.3384],[1],"[[speaker, tear, apart, installation, speaker, sound, quality]]","[[speaker tear apart installation speaker sound quality, -0.3384, 1]]"
B00WJOST3A,[0.1596],[1],"[[didnt, fit, blame, nobody, amazon]]","[[didnt fit blame nobody amazon, 0.1596, 1]]"
B00WN07M9M,[0.6249],[5],"[[prompt, shipping, great, case]]","[[prompt shipping great case, 0.6249, 5]]"
B00WRG9E5M,[0.0],[1],"[[ear, bud, wide, talk, plug, phone]]","[[ear bud wide talk plug phone, 0.0, 1]]"
B00X0X32WM,[0.0516],[5],"[[installing, case, get, stuck, case, youre, plan, leave, case, phone, youll, fine]]","[[installing case get stuck case youre plan leave case phone youll fine, 0.0516, 5]]"
B00X4PE6RG,"[0.9476, 0.2732]","[5, 4]","[[receive, mail, fit, phone, talk, e, go, x, fit, im, excite, use, whenever, use, gps, phone, spot, glance, make, im, make, correct, turn, itll, need, safe, happy, customer], [work, vehicle]]","[[receive mail fit phone talk e go x fit im excite use whenever use gps phone spot glance make im make correct turn itll need safe happy customer, 0.9476, 5], [work vehicle, 0.2732, 4]]"
B00X7XTAJO,[-0.2222],[3],"[[case, wimpy, starry, night, case, want, sif, drop, phone, isnt, go, anything, help, look, cool, offer, protection]]","[[case wimpy starry night case want sif drop phone isnt go anything help look cool offer protection, -0.2222, 3]]"
B00XCEJ3R2,"[-0.5096, 0.4404, 0.7717, 0.8416, -0.7018, -0.6761, 0.5222, 0.937, -0.6412, 0.0, 0.0, -0.2263, -0.012, 0.0]","[3, 4, 5, 4, 1, 2, 2, 5, 1, 3, 5, 1, 1, 2]","[[volume, great, phone, person, side, cant, hear, hold, microphone, close, mouth], [main, issue, productbr, br, carry, phone, shirt, front, pocket, expect, anything, sound, start, cut, put, phone, pant, pocket, try, headphone, see, issue, phone, work, betterbr, br, battery, life, less, use, headphone, commute, work, make, end, daybr, br, broke, month, guess, get, pay, forbr, br, work, sound], [buy, le, wife, commute, alot, love, nice, battery, life, lightweight, compact], [beat, wireless, others, think, go, work, improve, sound, quality], [stop, work], [battery], [item, battery, doesnt, describe, phone, foot, headphone, itll, conection, dont, recommend, item, look, something], [quality, product, maybe, headphone, month, battery, life, doesnt, say, come, leave, earbud, basis, pick, headphone, go, part, amazon, prime, day, choice], [dont, waste, money, headphone, ever, use, sound, great, dont, move, buy, warn], [wish, read, review, bit, walk, device, pocket, sound, get, choppy, lot, skip, audio, make, point, bluetooth, headphone, enhance, mobility, listen, music, product, fails, area], [get, month, use, gym, week, sound, quality, great, fit, charge, price, seem, day, amazon, market, segment, recommend, headphone, anyone, replacement, wire], [battery, dy, hour, time, gym], [exelent, product], [sound, quality, amaze, price, problem, battery, life, good, get, purpose]]","[[volume great phone person side cant hear hold microphone close mouth, -0.5096, 3], [main issue productbr br carry phone shirt front pocket expect anything sound start cut put phone pant pocket try headphone see issue phone work betterbr br battery life less use headphone commute work make end daybr br broke month guess get pay forbr br work sound, 0.4404, 4], [buy le wife commute alot love nice battery life lightweight compact, 0.7717, 5], [beat wireless others think go work improve sound quality, 0.8416, 4], [stop work, -0.7018, 1], [battery, -0.6761, 2], [item battery doesnt describe phone foot headphone itll conection dont recommend item look something, 0.5222, 2], [quality product maybe headphone month battery life doesnt say come leave earbud basis pick headphone go part amazon prime day choice, 0.937, 5], [dont waste money headphone ever use sound great dont move buy warn, -0.6412, 1], [wish read review bit walk device pocket sound get choppy lot skip audio make point bluetooth headphone enhance mobility listen music product fails area, 0.0, 3], [get month use gym week sound quality great fit charge price seem day amazon market segment recommend headphone anyone replacement wire, 0.0, 5], [battery dy hour time gym, -0.2263, 1], [exelent product, -0.012, 1], [sound quality amaze price problem battery life good get purpose, 0.0, 2]]"
B00XIBU9EU,"[0.6249, 0.0, 0.796, 0.5719, 0.6115, 0.0]","[5, 2, 5, 3, 5, 5]","[[wife, phone, faster, expect, shipping], [perfect], [phone], [product, deliver, time, product, offer, page, product, work, expect], [doesnt, work, buy, usimed, iphone], [delivery, perfect, product, sale, rep]]","[[wife phone faster expect shipping, 0.6249, 5], [perfect, 0.0, 2], [phone, 0.796, 5], [product deliver time product offer page product work expect, 0.5719, 3], [doesnt work buy usimed iphone, 0.6115, 5], [delivery perfect product sale rep, 0.0, 5]]"
B00XK1KKS8,[0.9527],[5],"[[case, awesome, take, couple, time, mess, case, work, fine, charge, phone, couple, hour, customer, service, he, seller]]","[[case awesome take couple time mess case work fine charge phone couple hour customer service he seller, 0.9527, 5]]"
B00XMV7980,[0.6757],[5],"[[perfect, fit, look, need, come, kind, screen, protector, bulky]]","[[perfect fit look need come kind screen protector bulky, 0.6757, 5]]"
B00XNZFXQA,[-0.75],[2],"[[arrive, say, lot, movement, whole, thing, close, look, neat, front, cover, stay, close, magnet, flop, lot, look, bland, cheap, reason, send, dont, think, use, opt, iphone, case]]","[[arrive say lot movement whole thing close look neat front cover stay close magnet flop lot look bland cheap reason send dont think use opt iphone case, -0.75, 2]]"
B00XVU06T6,"[0.0, 0.7351]","[4, 1]","[[u, think], [buy, year, son, cable, last, month, know, bought, end, spectrum, figure, pack, last, month, game, guess, came, nice, ziploc, pouch, great, keep, cable, need, last, week, nd, cable, didnt, weekend, im, week, half, im, done, look, replacement, cable, break, neck, pin, connector, white, outer, sheath, pull, connector, wire, snap, get, son, expect, lifespan, buy]]","[[u think, 0.0, 4], [buy year son cable last month know bought end spectrum figure pack last month game guess came nice ziploc pouch great keep cable need last week nd cable didnt weekend im week half im done look replacement cable break neck pin connector white outer sheath pull connector wire snap get son expect lifespan buy, 0.7351, 1]]"
B00XZPPPG6,[0.9105],[5],"[[look, case, close, wont, disappoint, downfall, shipping, take, awhile, ]]","[[look case close wont disappoint downfall shipping take awhile , 0.9105, 5]]"
B00XZWJOWA,[-0.0258],[5],"[[thing, use, bluetooth, keyboard, laptop, dead, key, tablet]]","[[thing use bluetooth keyboard laptop dead key tablet, -0.0258, 5]]"
B00Y1MB52U,[0.8519],[5],"[[case, lime, awesome]]","[[case lime awesome, 0.8519, 5]]"
B00Y1R4WRK,[0.4404],[3],[[price]],"[[price, 0.4404, 3]]"
B00Y229N00,[-0.1027],[5],"[[handle, hard, nick]]","[[handle hard nick, -0.1027, 5]]"
B00Y7A8BK0,[0.7574],[5],"[[installation, smooth]]","[[installation smooth, 0.7574, 5]]"
B00YA7FF5O,"[-0.2259, 0.0, 0.4215, 0.0, 0.0, 0.2023, 0.6369, -0.4215, -0.2944]","[1, 2, 5, 1, 1, 5, 5, 1, 1]","[[doesnt, work, half, time], [work], [dont, buy, break], [buy, teenager, product, deliver, week, use, charger, week, stop, work, purchase, item], [surprise, everything, fall, fell, apart, le, day, happy, product, throw, serve, purpose, put], [broke, week, ], [nice], [work, fine, think, ship, take, week, get, custom, slip, price, come, state, time, frame], [buy, buy, day]]","[[doesnt work half time, -0.2259, 1], [work, 0.0, 2], [dont buy break, 0.4215, 5], [buy teenager product deliver week use charger week stop work purchase item, 0.0, 1], [surprise everything fall fell apart le day happy product throw serve purpose put, 0.0, 1], [broke week , 0.2023, 5], [nice, 0.6369, 5], [work fine think ship take week get custom slip price come state time frame, -0.4215, 1], [buy buy day, -0.2944, 1]]"
B00YEY7XOY,[0.9217],[5],"[[fit, phone, carry, debit, card, take, wallet, go, use, workout, get, comment, look, buy, color, scheme]]","[[fit phone carry debit card take wallet go use workout get comment look buy color scheme, 0.9217, 5]]"
B00YIZCYFW,[0.8702],[5],"[[case, buy, leather, tether, cord, better, place, bottom, wrap, wrist, use, phone]]","[[case buy leather tether cord better place bottom wrap wrist use phone, 0.8702, 5]]"
B00YU14SZI,[0.8481],[4],"[[awesome, product, great, customer, service]]","[[awesome product great customer service, 0.8481, 4]]"
B00YXEHZJI,[0.8074],[5],"[[let, go, aquacadets, need, case, vibrant, logo, blue, background, sturdy, backcovering, phone, case, iphone]]","[[let go aquacadets need case vibrant logo blue background sturdy backcovering phone case iphone, 0.8074, 5]]"
B00YYRHUO4,[0.9134],[4],"[[nice, pen, laser, pointer, pen, quality, look, nicer, pen, price, perfect, business]]","[[nice pen laser pointer pen quality look nicer pen price perfect business, 0.9134, 4]]"
B00ZFLJYHO,[0.93],[5],"[[look, work, charm, love, hold, iphone, ipad, air, portrait, style]]","[[look work charm love hold iphone ipad air portrait style, 0.93, 5]]"
B00ZQE0YPG,[0.4019],[5],"[[seem, solid, work]]","[[seem solid work, 0.4019, 5]]"
B00ZSSXW3Q,[-0.2732],[2],"[[clip, break, way, day, clip, phone, run]]","[[clip break way day clip phone run, -0.2732, 2]]"
B00ZV0ECSA,[0.6477],[1],"[[case, total, piece, advertise, waterproof, isnt, lg, g, size, tablet, bigger, note, giant, love, mei, engrave, side, youre, dude, wont, want, cant, listen, music, case, hole, plug, headphone, aux, plug, in, cant, take, case, apart, allen, wrench, good, thing, case, screen, protector, make, gorrila, glass, heavy, hell, phone, weighs, pound, take, week, deliver, cost, buy, wasting, money]]","[[case total piece advertise waterproof isnt lg g size tablet bigger note giant love mei engrave side youre dude wont want cant listen music case hole plug headphone aux plug in cant take case apart allen wrench good thing case screen protector make gorrila glass heavy hell phone weighs pound take week deliver cost buy wasting money, 0.6477, 1]]"
B0107QPIO4,"[0.0, -0.4215]","[1, 1]","[[clasp, come, apart, week], [watch, band, less, day, metal, clasp, broke]]","[[clasp come apart week, 0.0, 1], [watch band less day metal clasp broke, -0.4215, 1]]"
B010AA85X8,[-0.4973],[2],"[[cant, fit, iphone, take, otter, case, look, arm, pocket, fit, phone, otter, case]]","[[cant fit iphone take otter case look arm pocket fit phone otter case, -0.4973, 2]]"
B010CFN1J4,"[0.8442, 0.0947, 0.8969, 0.7042]","[3, 1, 5, 4]","[[case, drop, phone, time, hasnt, crack, shatter, provides, case, great, protection], [color, texture, soft, fit, thing, dont, gold, part, slide, snap, doesnt, touch], [color, case, fit, greatbr, br, case, look, use, monday, aug, br, br, email, company, question, email, answer, change, review], [reading, review, think, shot, price, receive, day, bottom, piece, fell, phone, lose, upper, case, attach, bottom, part, slide, bottom, way, slide, purchase, worth, risk, phone, matter, inexpensive, contact, seller, im, interest, replacement, spent, get, well, case, onepiece, look]]","[[case drop phone time hasnt crack shatter provides case great protection, 0.8442, 3], [color texture soft fit thing dont gold part slide snap doesnt touch, 0.0947, 1], [color case fit greatbr br case look use monday aug br br email company question email answer change review, 0.8969, 5], [reading review think shot price receive day bottom piece fell phone lose upper case attach bottom part slide bottom way slide purchase worth risk phone matter inexpensive contact seller im interest replacement spent get well case onepiece look, 0.7042, 4]]"
B010IHMGVK,[0.1531],[5],"[[ok, size, need]]","[[ok size need, 0.1531, 5]]"
B010ML557O,[-0.1695],[1],"[[worth, money]]","[[worth money, -0.1695, 1]]"
B010NZEVNS,"[0.0, 0.0]","[1, 1]","[[junk], [screen, pierce, receive, doesnt, seem]]","[[junk, 0.0, 1], [screen pierce receive doesnt seem, 0.0, 1]]"
B010R8CMAA,"[0.0, 0.9913, 0.4713]","[4, 3, 5]","[[prompt, delivery, product, description, accurate], [tpu, keep, phone, front, pocket, tpu, stick, say, phone, thats, get, casebr, br, didnt, use, screen, protector, buy, glass, instead, cant, comment, youre, get, case, screen, protector, price, complain, aboutbr, br, super, thin, doesnt, add, bulk, phone, fantasticbr, br, time, throw, boy, wall, see, goesbr, br, wish, luck], [update, switch, ringke, fusion, case, past, week, say, increase, size, worthwhile, tradeoff, extra, protection, grip, slim, feel, cheap, mean, fusion, feel, hand, polish, well, quality, product, update, take, star, didnt, think, gap, corner, use, case, week, cause, annoy, issue, doesnt, present, problem, provide, protection, gap, take, phone, pocket, corner, gap, catch, pocket, tug, notice, lint, collecting, inside, case, dealbreaker, find, annoy, accent, fact, case, difficult, remove, find, try, lint, decent, case, absolute, priority, profile, pro, quality, value, package, include, protective, film, front, use, front, dont, film, screen, slim, scratch, protection, fit, good, fit, loosen, bit, difficult, remove, plan, change, case, fit, cutout, perfect, camera, lens, raise, protection, screen, get, protection, raise, edge, con, grip, well, phone, back, attracts, lot, fingerprint, mention, collect, lint, back, drop, protection, speak, expect, kind, profile, case, anyways, raise, edge, make, contact, attract, bit, fingerprint, case, provide, grip, order, case, ringke, family, member, fusion, variety, feel, provide, im, look, term, grip, provide, protection, fusion, feel, quality, hand, slim, ordering, fusion, replace, slim, youre, look, slimmest, case, good, scratch, protection, slim, case]]","[[prompt delivery product description accurate, 0.0, 4], [tpu keep phone front pocket tpu stick say phone thats get casebr br didnt use screen protector buy glass instead cant comment youre get case screen protector price complain aboutbr br super thin doesnt add bulk phone fantasticbr br time throw boy wall see goesbr br wish luck, 0.9913, 3], [update switch ringke fusion case past week say increase size worthwhile tradeoff extra protection grip slim feel cheap mean fusion feel hand polish well quality product update take star didnt think gap corner use case week cause annoy issue doesnt present problem provide protection gap take phone pocket corner gap catch pocket tug notice lint collecting inside case dealbreaker find annoy accent fact case difficult remove find try lint decent case absolute priority profile pro quality value package include protective film front use front dont film screen slim scratch protection fit good fit loosen bit difficult remove plan change case fit cutout perfect camera lens raise protection screen get protection raise edge con grip well phone back attracts lot fingerprint mention collect lint back drop protection speak expect kind profile case anyways raise edge make contact attract bit fingerprint case provide grip order case ringke family member fusion variety feel provide im look term grip provide protection fusion feel quality hand slim ordering fusion replace slim youre look slimmest case good scratch protection slim case, 0.4713, 5]]"
B010SGQYQE,[0.9501],[5],"[[lot, protection, semi, light, weight, buck, beat, control, work, great, case, kick, stand, work, snap, access, reviewer, break, nail, charge, phone, use, wireless, chargerbr, br, update, decide, case, match, phone, star, do]]","[[lot protection semi light weight buck beat control work great case kick stand work snap access reviewer break nail charge phone use wireless chargerbr br update decide case match phone star do, 0.9501, 5]]"
B01161KNBC,[0.9394],[1],"[[update, device, stop, work, work, leave, charge, surge, protect, wall, plug, woke, dead, unit, whoever, read, please, dont, last, day, half, use, hour, use, get, headset, week, got, time, use, day, use, honest, review, hm, serve, buy, plantronics, ml, use, game, gear, im, disappoint, plantronics, atm, con, hour, use, find, pinpoint, perfect, spot, longer, duration, comfort, reason, work, call, push, audio, need, gps, direction, headset, audio, quality, company, make, game, gear, sub, par, pro, price, pay, cheap, shipment, come, time, short, us, battery, last, hr, say, expect, brand]]","[[update device stop work work leave charge surge protect wall plug woke dead unit whoever read please dont last day half use hour use get headset week got time use day use honest review hm serve buy plantronics ml use game gear im disappoint plantronics atm con hour use find pinpoint perfect spot longer duration comfort reason work call push audio need gps direction headset audio quality company make game gear sub par pro price pay cheap shipment come time short us battery last hr say expect brand, 0.9394, 1]]"
B01184JGYC,[0.9369],[5],"[[charging, station, retire, engineer, please, load, nook, ipads, smart, phone, charge, everything, half, hour, room, ambient, temperature, day, charge, device, month, problem, apple, charger, get, concern, start, fire, please, charger, recommend, friend]]","[[charging station retire engineer please load nook ipads smart phone charge everything half hour room ambient temperature day charge device month problem apple charger get concern start fire please charger recommend friend, 0.9369, 5]]"
B01198B91K,"[0.6573, 0.5719]","[5, 5]","[[compact, plenty, room, outlet, phone, v, ipad, charger, label, nice, touch], [appeal, usb, port, charge, buy, quality, product]]","[[compact plenty room outlet phone v ipad charger label nice touch, 0.6573, 5], [appeal usb port charge buy quality product, 0.5719, 5]]"
B011BFHMM6,"[-0.7964, -0.743, -0.8283, -0.3632, 0.4915, 0.2732, -0.6201, -0.5531, 0.4404, -0.4404, 0.6369, 0.2914, 0.6306, 0.0, -0.3859, 0.8247, 0.9099, -0.1275]","[1, 1, 1, 1, 1, 4, 1, 1, 5, 1, 5, 1, 4, 1, 2, 3, 5, 3]","[[stick, phone, cause, click, sound, time, screen, touch], [screen, stick, keep, lift, screen, compromise, frustrate, find, product], [fit, protection, tap, section], [waste, money, wish, keep, bb, packaging, use, edge, phone, mean, press, edge, part, screen, harder, decide, keep, part, come, phone], [product, bad, instal, use, instruction, package, touch, screen, work, product, twice, get, replacement, exact, thing, recommend], [screen, seems, curve, edge, perfect, enoungh, there, gap, phone, screen, glass, screen, make, bit], [remove, phone, doesnt, stick, phone, screen, protector, result, touch, respond, dont, buy, item, look, better, quality], [stick, phone, ones, put, anything, phone, press, time, get, pull, notification, screen, change, weather, city, try, app, total, crap, cant, give, star], [screen, protector, grid, dot, seller, meant, improve, response, touch, screen, didnt, get, use, hate, see, dot, quality, screen, colour, wish, know, buy], [look, great, apply, gold, gold, ok, thing, notice, sensitivity, curve, screen, edge, reduce, protector, rest, screen, fine, sensitivity], [fit, phonetakes, alot, force, tho, use, edge, contactsmust, swipe, hardbr, anything, leave, side, edge, phone, tap, swipe, hardet], [screen, protector, fit, edge, install], [fit, leave, screen, press, icon, remove, use, screen, protector], [hole, misalign, use, screen, time, un, screen, doesnt, stick, feel, fall], [drop, edge, morning, step, werent, hit, screen, shatter, put, protector, take, phone, box, sure, temper, glass, fuse, phone, glass, whole, purpose, buy, screen, protector, protection, screen, protector, phone, screen, damage, doesnt, work, anymore, im, get, phone, happy], [fit, leave, area, screen, response, perfect, fit, shame]]","[[stick phone cause click sound time screen touch, -0.7964, 1], [screen stick keep lift screen compromise frustrate find product, -0.743, 1], [fit protection tap section, -0.8283, 1], [waste money wish keep bb packaging use edge phone mean press edge part screen harder decide keep part come phone, -0.3632, 1], [product bad instal use instruction package touch screen work product twice get replacement exact thing recommend, 0.4915, 1], [screen seems curve edge perfect enoungh there gap phone screen glass screen make bit, 0.2732, 4], [remove phone doesnt stick phone screen protector result touch respond dont buy item look better quality, -0.6201, 1], [stick phone ones put anything phone press time get pull notification screen change weather city try app total crap cant give star, -0.5531, 1], [screen protector grid dot seller meant improve response touch screen didnt get use hate see dot quality screen colour wish know buy, 0.4404, 5], [look great apply gold gold ok thing notice sensitivity curve screen edge reduce protector rest screen fine sensitivity, -0.4404, 1], [fit phonetakes alot force tho use edge contactsmust swipe hardbr anything leave side edge phone tap swipe hardet, 0.6369, 5], [screen protector fit edge install, 0.2914, 1], [fit leave screen press icon remove use screen protector, 0.6306, 4], [hole misalign use screen time un screen doesnt stick feel fall, 0.0, 1], [drop edge morning step werent hit screen shatter put protector take phone box sure temper glass fuse phone glass whole purpose buy screen protector protection screen protector phone screen damage doesnt work anymore im get phone happy, -0.3859, 2], [fit leave area screen response perfect fit shame, 0.8247, 3], [, 0.9099, 5], [, -0.1275, 3]]"
B011Q54JK4,[-0.2755],[1],"[[case, make, phone, fell, pink, plastic, piece, go, bought, case, dont, recommend]]","[[case make phone fell pink plastic piece go bought case dont recommend, -0.2755, 1]]"
B011ZI00HS,[0.4404],[1],"[[doesnt, let, phone, good, signal]]","[[doesnt let phone good signal, 0.4404, 1]]"
