1061799832,[-0.296],[5],"[[work, advertise, issue]]","[[work advertise issue, -0.296, 5]]"
B00NXH3V9O,"[-0.4297, 0.7906]","[3, 4]","[[substitute, way, life, case, half, screen, cover, work, well, feel], [problem, case, couldnt, use, extra, iphone, charger, cord, iphone, charger, case, design, take, phone, case, charge, charge, cord, send, okay, short, message, display, iphone, say, accessory, support, iphone, take, case, time, start, crack, corner, piece, chip, result, cracking, go, use, float, trip, water, sport, occasion, fine, everyday, use]]","[[substitute way life case half screen cover work well feel, -0.4297, 3], [problem case couldnt use extra iphone charger cord iphone charger case design take phone case charge charge cord send okay short message display iphone say accessory support iphone take case time start crack corner piece chip result cracking go use float trip water sport occasion fine everyday use, 0.7906, 4]]"
B00NY87JXG,"[0.0, -0.3412]","[5, 3]","[[iphone, apple, case, fit, armband], [armband, run, think, woman, arm]]","[[iphone apple case fit armband, 0.0, 5], [armband run think woman arm, -0.3412, 3]]"
B00O6QNXH6,[0.2263],[3],"[[nice, simple, case, come, scratch, blemish, back]]","[[nice simple case come scratch blemish back, 0.2263, 3]]"
B00OAYSILU,[0.8481],[5],"[[case, great, price, receive]]","[[case great price receive, 0.8481, 5]]"
B00OR7ZBMO,[0.5267],[4],"[[im, enjoy]]","[[im enjoy, 0.5267, 4]]"
B00OXOCN54,[0.7964],[5],"[[look, good, love]]","[[look good love, 0.7964, 5]]"
B00OZ7QURG,[0.4927],[5],[[phone]],"[[phone, 0.4927, 5]]"
B00P0B3SSU,"[0.8258, 0.8957, -0.4585, 0.8555]","[5, 5, 1, 4]","[[band, get, night, morning, notice, turn, color, love, think, sending, get], [fit, watch, feel, look, buy, color], [item, arrive, discolor, look, beige, satisfy], [band, sport, band, get, price, consider, apple, sell, consider, band, one, apple, sell, purchase, plan, purchase, hope, provide, color, option, purchase]]","[[band get night morning notice turn color love think sending get, 0.8258, 5], [fit watch feel look buy color, 0.8957, 5], [item arrive discolor look beige satisfy, -0.4585, 1], [band sport band get price consider apple sell consider band one apple sell purchase plan purchase hope provide color option purchase, 0.8555, 4]]"
B00PBBGFV6,[0.9947],[5],"[[using, phone, week, switch, galaxy, love, g, showing, age, slow, tremendouslybr, br, lg, g, great, successor, vanilla, android, cool, feature, use, lotbr, br, tap, screen, turn, onoff, love, feel, power, button, press, camera, lens, downside, design, circular, power, button, circular, camera, smart, lgbr, time, setup, thing, use, nfc, pull, setting, apps, g, g, awesome, time, saver, do, androidbr, br, thing, look, phone, competitor, get, camera, android, phone, disappoint, take, crystal, clear, picture, camera, interface, use, hand, gesture, take, picture, make, take, selfie, baby, send, wife, snap, ha, get]]","[[using phone week switch galaxy love g showing age slow tremendouslybr br lg g great successor vanilla android cool feature use lotbr br tap screen turn onoff love feel power button press camera lens downside design circular power button circular camera smart lgbr time setup thing use nfc pull setting apps g g awesome time saver do androidbr br thing look phone competitor get camera android phone disappoint take crystal clear picture camera interface use hand gesture take picture make take selfie baby send wife snap ha get, 0.9947, 5]]"
B00PK0JCAE,[0.0],[1],"[[battery, wouldnt, hold, charge]]","[[battery wouldnt hold charge, 0.0, 1]]"
B00PKOOHPA,[0.25],[2],"[[garmin, show, distance, hole, way, get, shut, restart, start, proceed, button, push, work, buy, model]]","[[garmin show distance hole way get shut restart start proceed button push work buy model, 0.25, 2]]"
B00PP8V3GW,[0.0],[5],[[]],"[[, 0.0, 5]]"
B00Q2HW3BO,"[0.4215, 0.8573]","[1, 5]","[[picture, show, armband, wear, wrist, maybr, true, sumo, wrestler], [work, expect, wish, strap, length, slim, wrist, area, fit, iphone]]","[[picture show armband wear wrist maybr true sumo wrestler, 0.4215, 1], [work expect wish strap length slim wrist area fit iphone, 0.8573, 5]]"
B00Q8ESXT2,[0.9359],[5],"[[case, color, fit, recommend]]","[[case color fit recommend, 0.9359, 5]]"
B00QJQ9RR6,"[0.8852, 0.7351]","[3, 5]","[[arrive, upset, didnt, come, piece, week, chip, side, get, compliment, hop], [excellent, thank]]","[[arrive upset didnt come piece week chip side get compliment hop, 0.8852, 3], [excellent thank, 0.7351, 5]]"
B00QK2MARI,[0.296],[5],[[ok]],"[[ok, 0.296, 5]]"
B00QK7P08E,[0.6757],[4],"[[paint, come, protect, phone, oops]]","[[paint come protect phone oops, 0.6757, 4]]"
B00QQV22W6,"[-0.296, 0.7906]","[1, 5]","[[work, transaction], [instruction, send, change, battery]]","[[work transaction, -0.296, 1], [instruction send change battery, 0.7906, 5]]"
B00QY0G60I,[0.6369],[5],"[[ear, bud]]","[[ear bud, 0.6369, 5]]"
B00R8NLZNS,"[-0.8316, 0.7096, 0.6249, 0.6249, -0.1027]","[1, 5, 5, 5, 5]","[[need, get, galaxy, tab, charge, need, charger], [say, besides, mislead, appears, piece, say, buy, usb, charger, piece, read, review, think, get, charger, port, im, sure, know, deceive, quality, dont, know, im, piss, receive, piece], [product, bring, car, home, work], [yep, work, perfect], [seems, adapter, work, far, update, change]]","[[need get galaxy tab charge need charger, -0.8316, 1], [say besides mislead appears piece say buy usb charger piece read review think get charger port im sure know deceive quality dont know im piss receive piece, 0.7096, 5], [product bring car home work, 0.6249, 5], [yep work perfect, 0.6249, 5], [seems adapter work far update change, -0.1027, 5]]"
B00RBB1KGE,[0.7906],[4],"[[case, cover, sine, plug, well]]","[[case cover sine plug well, 0.7906, 4]]"
B00RCC5CMK,[0.4404],[1],"[[crack, month, gentle, use]]","[[crack month gentle use, 0.4404, 1]]"
B00RE313WK,[0.8519],[4],"[[nice, white, color, wont, close, put, credit, card, fact, take, phone, back]]","[[nice white color wont close put credit card fact take phone back, 0.8519, 4]]"
B00RJDXM5Q,[-0.4191],[3],"[[ok, thing, dont, open, headphone, charge, phone, plastic, piece, go, port]]","[[ok thing dont open headphone charge phone plastic piece go port, -0.4191, 3]]"
B00RJQB4IU,"[0.4767, -0.5413, 0.7911]","[5, 1, 4]","[[charger, thing, bit, heavy, side, worth, worry, battery, life, phone], [take, camping, trip, charge, phone, time, weekend], [stop, work, week, own, turn, minute, plug, something, kind, defeat, point, mah, charger]]","[[charger thing bit heavy side worth worry battery life phone, 0.4767, 5], [take camping trip charge phone time weekend, -0.5413, 1], [stop work week own turn minute plug something kind defeat point mah charger, 0.7911, 4]]"
B00S7IBDGW,"[-0.7956, -0.3506, 0.7249, 0.1761, 0.4404, 0.6682, 0.5106, -0.6808, 0.0, 0.6779, 0.0]","[5, 1, 5, 1, 5, 5, 4, 1, 1, 4, 4]","[[didnt, work, case, phone, try, came, charge, galaxy, interval], [work, advertise, galaxy, trouble, get, center, stand, change, notification, light, ou, see, base, stand, come, amp, house, charger, nice, charge, phone, case, isnt, fast, plug, thats, know, wireless, charging, slower, plug, work, phone, sits, angle, problem], [seems, work, ok, instruction, need, clearer, amp, power, supply, need, charger, performbr, br, charge, phone, position, advertise], [charge, convenient, love, phone, charge, upright, sideways, picture], [buy, nexus, work, month, working, charge, block, stop, work, week, buy, rd, party, replacement, amp, charge, block, wont, work, use, old, amp, charge, block, phone, wont, charge, amp, wireless, charger, cant, include, charge, block, longer, month, wireless, charger, buy], [thanks], [use, galaxy, spigen, case, get, work, least, charger, make, wireless, hotspot, work, device, contact, seller, determine, wasnt, use, swap, try, use, hook, seem, take, second, acknowledge, phone, stay, connect, remove, phone, put, connect, second, charger, keep, desk, work], [thing, change, way, use, phone, believe, notbr, br, use, charge, phone, nexus, chair, work, plug, phone, unplug, became, chore, lazy, say, phone, case, make, plug, bos, say, everyone, conference, room, dont, time, yank, need, calendar, work, emailbr, br, itian, fix, sit, set, phone, get, grab, think, phone, top, leave, desk, base, raise, see, screen, alert, etcbr, br, kind, suck, come, nexus, charging, basestand, meh, guess], [buy, note, didnt, charge, make, buzz, sound, charge, hit, miss, return], [product, charge, phone, say, wireless, charge, second, stop, charge, place, phone, charger, different, way, see, make, difference, didnt, make, difference, phone, fulay, chargedbr, br, return, product, purchase, samsung, brand, wireless, charger, isues, receive]]","[[didnt work case phone try came charge galaxy interval, -0.7956, 5], [work advertise galaxy trouble get center stand change notification light ou see base stand come amp house charger nice charge phone case isnt fast plug thats know wireless charging slower plug work phone sits angle problem, -0.3506, 1], [seems work ok instruction need clearer amp power supply need charger performbr br charge phone position advertise, 0.7249, 5], [charge convenient love phone charge upright sideways picture, 0.1761, 1], [buy nexus work month working charge block stop work week buy rd party replacement amp charge block wont work use old amp charge block phone wont charge amp wireless charger cant include charge block longer month wireless charger buy, 0.4404, 5], [thanks, 0.6682, 5], [use galaxy spigen case get work least charger make wireless hotspot work device contact seller determine wasnt use swap try use hook seem take second acknowledge phone stay connect remove phone put connect second charger keep desk work, 0.5106, 4], [thing change way use phone believe notbr br use charge phone nexus chair work plug phone unplug became chore lazy say phone case make plug bos say everyone conference room dont time yank need calendar work emailbr br itian fix sit set phone get grab think phone top leave desk base raise see screen alert etcbr br kind suck come nexus charging basestand meh guess, -0.6808, 1], [buy note didnt charge make buzz sound charge hit miss return, 0.0, 1], [product charge phone say wireless charge second stop charge place phone charger different way see make difference didnt make difference phone fulay chargedbr br return product purchase samsung brand wireless charger isues receive, 0.6779, 4], [, 0.0, 4]]"
B00S7YARJ0,[0.0],[5],[[excelente]],"[[excelente, 0.0, 5]]"
B00S8O93SU,[0.4754],[4],[[nice]],"[[nice, 0.4754, 4]]"
B00S8QR6MS,[-0.5423],[2],"[[product, pick, street, camera, doesnt, make, drive, state, trooper, main, reason, purchase, plan, return]]","[[product pick street camera doesnt make drive state trooper main reason purchase plan return, -0.5423, 2]]"
B00S8ZNQB4,"[0.4404, 0.0, 0.6249]","[5, 5, 5]","[[work, great], []]","[[work great, 0.4404, 5], [, 0.0, 5], [, 0.6249, 5]]"
B00SAY78RG,[0.9118],[5],"[[amaze, feature, take, get, use, excellent, subwoofer, control, seperate, output, mids, ampequalizer, great, bluetooth]]","[[amaze feature take get use excellent subwoofer control seperate output mids ampequalizer great bluetooth, 0.9118, 5]]"
B00SQQO31C,[0.6344],[4],"[[love, cheap]]","[[love cheap, 0.6344, 4]]"
B00SUI23JA,"[0.9239, 0.6808, 0.0772, 0.296, 0.7906, 0.4692, 0.6987, 0.0, 0.0]","[5, 5, 5, 5, 5, 4, 5, 5, 1]","[[product, charge, kindle, fire, hd, iphone, c, lg, viper, time, im, save, charger, backup, use], [build, port, usb, charger, replace, oem, apple, usb, charger, plug, extension, cord, nightstand, charge, iphone, usb, power, device, overnight, iq, technology, allow, plug, charge, think, charging, output, charger, make, life, product, anker], [charge, everything, tablet, wireless, mouse, set, computer, work, advertise, recommend, anyone, need, usb, port, charge], [convenient, good, way, organize, wire, clutter, work, ipad, iphone, laptop, connection, need], [update, work, fine, usb, lightening, bolt, fast, chargebr, br, apple, io, update, doesnt, work, error, message, wont, charge, return, apple, mfi, certify, ankler, ftm, premium, lighten, use, cable, compact, connector, head, iphone, ipod, ipad, purchase, doesnt, work, advertise], [charge, iphones, ipad, ipod, work, complaint, take, vacation, save, socket, space, perform, br, complaint, suppose, charging, point, apple, product, need], [handy, item, charge, device, time], [read, great, review, product, site, become, main, charge, hub, everyone, wherever, go, buy, usb, cable, go, detaches, power, adapter, leave, dangling, charge, base, im, sure, advantage, seem, pointless, hand, doesnt, detract, overall, functionality, perfect], [work, charge, cable]]","[[product charge kindle fire hd iphone c lg viper time im save charger backup use, 0.9239, 5], [build port usb charger replace oem apple usb charger plug extension cord nightstand charge iphone usb power device overnight iq technology allow plug charge think charging output charger make life product anker, 0.6808, 5], [charge everything tablet wireless mouse set computer work advertise recommend anyone need usb port charge, 0.0772, 5], [convenient good way organize wire clutter work ipad iphone laptop connection need, 0.296, 5], [update work fine usb lightening bolt fast chargebr br apple io update doesnt work error message wont charge return apple mfi certify ankler ftm premium lighten use cable compact connector head iphone ipod ipad purchase doesnt work advertise, 0.7906, 5], [charge iphones ipad ipod work complaint take vacation save socket space perform br complaint suppose charging point apple product need, 0.4692, 4], [handy item charge device time, 0.6987, 5], [read great review product site become main charge hub everyone wherever go buy usb cable go detaches power adapter leave dangling charge base im sure advantage seem pointless hand doesnt detract overall functionality perfect, 0.0, 5], [work charge cable, 0.0, 1]]"
B00SXLOKEA,[0.6908],[3],"[[fashion, case, nice, look, case, make, type, protection]]","[[fashion case nice look case make type protection, 0.6908, 3]]"
B00T2KFSWE,"[0.7351, -0.7616, 0.6249, -0.0129, 0.7501]","[5, 1, 5, 5, 5]","[[work, great], [charger, receive, didnt, backlight, didnt, light, charger, charge, smart, phonebr, purchase, charger, trip, take, failure, disappointing, purchasedbr, charger, walmart, work, fine, process, return, charger, amazon, andbr, get, money, buyer, beware], [excellent, charge, device, smartphones, tablet, laptop, travel, car], [product, recommend], [get, instal, use, today, light, see, car, stay, cigarette, outlet, dont, need, lighter, forget, car, charger, take, cord, come, usb, cord, phone, samsung, kindle, dont, know, charge, issue, cheap]]","[[work great, 0.7351, 5], [charger receive didnt backlight didnt light charger charge smart phonebr purchase charger trip take failure disappointing purchasedbr charger walmart work fine process return charger amazon andbr get money buyer beware, -0.7616, 1], [excellent charge device smartphones tablet laptop travel car, 0.6249, 5], [product recommend, -0.0129, 5], [get instal use today light see car stay cigarette outlet dont need lighter forget car charger take cord come usb cord phone samsung kindle dont know charge issue cheap, 0.7501, 5]]"
B00T3581TA,[0.4215],[5],[[nice]],"[[nice, 0.4215, 5]]"
B00T9Y9I9M,[0.6369],[5],[[phone]],"[[phone, 0.6369, 5]]"
B00TJCNBYC,[0.5719],[5],"[[excellent, case, arrive]]","[[excellent case arrive, 0.5719, 5]]"
B00TOZ9JGI,"[0.9441, 0.5719, 0.5994, 0.5413]","[5, 4, 5, 5]","[[excellent, choice, clean, cable, mess], [product, reduce, number, outlet, use, recharge, device], [excellent], [product, work, iphones, ipads, hook, sit, work, recommend, company, great, job, packaging, get, time, order, bedroom]]","[[excellent choice clean cable mess, 0.9441, 5], [product reduce number outlet use recharge device, 0.5719, 4], [excellent, 0.5994, 5], [product work iphones ipads hook sit work recommend company great job packaging get time order bedroom, 0.5413, 5]]"
B00TQYCBTE,"[0.6249, 0.9699, 0.0, 0.1901]","[5, 5, 5, 4]","[[work, great], [wow, perfect, upgrade, yearold, garmin, map, estimate, time, arrival, handy, icon, bank, restaurant, etc, route, say, make, uturn, make, uturn, variety, gps, unit, plot, route, traffic, rerouting, hate, sit, traffic, warns, condition, find, way, thembr, br, size, make, read, follow, customize, silver, coupe, route, help, button, help, dont, know, something, resorting, wellwritten, user], [work], [concern, battery, didnt, seem, charge, plug, car, power]]","[[work great, 0.6249, 5], [wow perfect upgrade yearold garmin map estimate time arrival handy icon bank restaurant etc route say make uturn make uturn variety gps unit plot route traffic rerouting hate sit traffic warns condition find way thembr br size make read follow customize silver coupe route help button help dont know something resorting wellwritten user, 0.9699, 5], [work, 0.0, 5], [concern battery didnt seem charge plug car power, 0.1901, 4]]"
B00TRQDGR2,[0.5647],[4],"[[set, quality, price]]","[[set quality price, 0.5647, 4]]"
B00U1DCAMM,[-0.7137],[1],"[[battery, fit, galaxy, battery, charger, come, instruction, useless, see, cost, return, usps, track, worthwhile]]","[[battery fit galaxy battery charger come instruction useless see cost return usps track worthwhile, -0.7137, 1]]"
B00U6E0WP8,[0.6219],[3],"[[doesnt, phone]]","[[doesnt phone, 0.6219, 3]]"
B00U8KSL3A,"[0.9196, 0.8439, 0.0]","[5, 5, 5]","[[perfect, product, arrive, time, phone], [brand, box, fast, delivery, work, fine, im, happy, phone, thanks, seller, samsung, edge], [expect]]","[[perfect product arrive time phone, 0.9196, 5], [brand box fast delivery work fine im happy phone thanks seller samsung edge, 0.8439, 5], [expect, 0.0, 5]]"
B00UF10CUW,[0.4671],[5],"[[look, tpu, case, sleek, elegant, thin, light, sacrificing, protection, hate, bulky, case, hate, break, chip, crack, glass, heck, case, thin, light, offer, protection, theyre, place, place, nice, balance, buy, heartbeat]]","[[look tpu case sleek elegant thin light sacrificing protection hate bulky case hate break chip crack glass heck case thin light offer protection theyre place place nice balance buy heartbeat, 0.4671, 5]]"
B00UGTAINO,[0.8779],[5],"[[get, sister, love, color, fit, iphone, c, guess, take, case, napkin, swim, napkin, dry, desert, hour, swim]]","[[get sister love color fit iphone c guess take case napkin swim napkin dry desert hour swim, 0.8779, 5]]"
B00UMYPZWW,[0.7],[3],"[[beboncool, usb, charging, cheap, alternative, genuine, sony, charge, dock, function, indicator, light, cable, seem, xperia, z, compact, charge, indicator, light, cover, tape, time, flicker, red, phone, nearing, complete, chargebr, br, cable, moderate, quality, retains, shape, packaging, difficult, route, desk, use, travel, genuine, sony, charge, dock, leaf, lot, desire, charger]]","[[beboncool usb charging cheap alternative genuine sony charge dock function indicator light cable seem xperia z compact charge indicator light cover tape time flicker red phone nearing complete chargebr br cable moderate quality retains shape packaging difficult route desk use travel genuine sony charge dock leaf lot desire charger, 0.7, 3]]"
B00UN18FX0,[0.1901],[1],"[[case, ton, start, fall, apart, thats, get, star]]","[[case ton start fall apart thats get star, 0.1901, 1]]"
B00UYG72M4,[0.2144],[4],"[[decent, case, wish, bigger, hole, headphone, jack, deal, use, headset, besides, look, picture, got, arrival, date]]","[[decent case wish bigger hole headphone jack deal use headset besides look picture got arrival date, 0.2144, 4]]"
B00V4LZ8Z6,[0.8717],[4],"[[installation, love, sound, quality, perfect, experience, unit, locking, occasion, instal, week, stop, respond, control, continues, play, change, track, im, change, track, handlebar, control, switch, source, ie, fm, try, switch, wont, radio, doesnt, see, unit, plug, turn, switch, switch, cd, control, unit, anyone, experience]]","[[installation love sound quality perfect experience unit locking occasion instal week stop respond control continues play change track im change track handlebar control switch source ie fm try switch wont radio doesnt see unit plug turn switch switch cd control unit anyone experience, 0.8717, 4]]"
B00V4S7PQE,[0.6369],[5],[[case]],"[[case, 0.6369, 5]]"
B00V961PDK,[0.8182],[4],"[[work, advertise, honda, civic, ex, specific, model, way, get, radio, pay, dealer, replace, digital, audio, display, radio, get, nifty, devicebr, br, instal, diy, project, recommend, take, car, audiostereo, shop, pay, install, hide, dashboard, evidence, antenna, usb, cable, tuck, noticeablebr, br, recommend, anyone, want, put, radio, car]]","[[work advertise honda civic ex specific model way get radio pay dealer replace digital audio display radio get nifty devicebr br instal diy project recommend take car audiostereo shop pay install hide dashboard evidence antenna usb cable tuck noticeablebr br recommend anyone want put radio car, 0.8182, 4]]"
B00VHEYQTY,[0.743],[5],"[[make, fit]]","[[make fit, 0.743, 5]]"
B00VHWBH02,[0.8168],[1],"[[dont, buy, speaker, college, professorbr, buy, device, hop, make, life, presentation, turn, problem, installation, computer, intuitive, advertise, second, get, use, end, pray, doesnt, unsynced, loose, focus, topicbr, congratulate, company, work, innovate, serius, presentation, want, fun, buy, want, conference, talk, sale, pitch, front, executive, product]]","[[dont buy speaker college professorbr buy device hop make life presentation turn problem installation computer intuitive advertise second get use end pray doesnt unsynced loose focus topicbr congratulate company work innovate serius presentation want fun buy want conference talk sale pitch front executive product, 0.8168, 1]]"
B00VLFD0V4,[-0.7101],[1],"[[work, hour, water, speaker, make, squeal, try, plug]]","[[work hour water speaker make squeal try plug, -0.7101, 1]]"
B00VQT1LR0,[0.0],[4],"[[item, advertise]]","[[item advertise, 0.0, 4]]"
B00VU17DXA,[0.8078],[2],"[[super, dissapointed, case, mind, front, whole, easier, take, picture, work, sview, window, samsung, case, order, sview, view, app, instal, sview, window, app, app, uninstalled, instal, korea, believe, information, recieved, shame, case, use, app, use]]","[[super dissapointed case mind front whole easier take picture work sview window samsung case order sview view app instal sview window app app uninstalled instal korea believe information recieved shame case use app use, 0.8078, 2]]"
B00VX4RVHC,[-0.6261],[1],"[[suck, didnt, phone, say]]","[[suck didnt phone say, -0.6261, 1]]"
B00VXTUE5I,[0.7351],[5],"[[work, great, hold]]","[[work great hold, 0.7351, 5]]"
B00W4QJUU4,[0.9405],[4],"[[nice, fit, thing, make, well, stand, great, fast, shipping]]","[[nice fit thing make well stand great fast shipping, 0.9405, 4]]"
B00W65W8OS,"[0.9726, 0.5719, 0.5719, 0.9109, 0.7506, 0.5574, 0.9899, 0.967, 0.5859, 0.9894, 0.9647, 0.6369]","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5]","[[amaze, case], [perfect], [light, weight, rubber, phone, case, ive, use, month, drop, phone, quit, edge, survive, buy], [case, fit, expectation, price, one, sell, kiosk, mall, open, ship, envelope, admit, caseology, exceed, expectation, case, fit, wait, say, care, box, phone, case, cool, style, classy, im, happy, quality, know, buy, phone, case, love, caseology, keep, work], [excellent, ], [product, work, delivery], [fckng, love, hahaha, case, want, look, feel, amaze, idea, happy, thanks, design], [case, fit, perfect, seem, scratch, lip, keep, whatever, place, dont, worry, take, advantage, edge, light, put, remove, overall, case], [case, tad, bulky, look, slim, case, great, grip, look, make, sure, buy, silver, edge, gold, platinum, gold, accent, case, different, phone, tone, chrome, trade, mine, silver], [case, wouldnt, say, offer, protection, offer, know, drop, phone, work, job, get, run, stomp, etc, box, phone, drop, car, pocket, case, hold, hole, cut, headphone, fit, ease, camera, heart, monitor, area, br, thats, reason, get, case, good, protection, nice, sleek, im, allow, feel, phone, case, lightweight, see, color, phone, put, phone, upside, table, something, edge, come, screen, isnt, touching, get, scratch, case, im, please, didnt, buy, phone, store, deal], [case, compliment, galaxy, design, fit, issue], [case]]","[[amaze case, 0.9726, 5], [perfect, 0.5719, 5], [light weight rubber phone case ive use month drop phone quit edge survive buy, 0.5719, 5], [case fit expectation price one sell kiosk mall open ship envelope admit caseology exceed expectation case fit wait say care box phone case cool style classy im happy quality know buy phone case love caseology keep work, 0.9109, 5], [excellent , 0.7506, 5], [product work delivery, 0.5574, 5], [fckng love hahaha case want look feel amaze idea happy thanks design, 0.9899, 5], [case fit perfect seem scratch lip keep whatever place dont worry take advantage edge light put remove overall case, 0.967, 5], [case tad bulky look slim case great grip look make sure buy silver edge gold platinum gold accent case different phone tone chrome trade mine silver, 0.5859, 5], [case wouldnt say offer protection offer know drop phone work job get run stomp etc box phone drop car pocket case hold hole cut headphone fit ease camera heart monitor area br thats reason get case good protection nice sleek im allow feel phone case lightweight see color phone put phone upside table something edge come screen isnt touching get scratch case im please didnt buy phone store deal, 0.9894, 5], [case compliment galaxy design fit issue, 0.9647, 4], [case, 0.6369, 5]]"
B00W6Y2BZA,[-0.7264],[1],"[[hate, loosen, matter]]","[[hate loosen matter, -0.7264, 1]]"
B00WFSFBRM,[-0.5106],[1],"[[doa, none, cord, pack, work]]","[[doa none cord pack work, -0.5106, 1]]"
B00WFSWNRS,[0.836],[4],"[[love, quality]]","[[love quality, 0.836, 4]]"
B00WS26Z4I,[0.8481],[5],"[[product, great, company]]","[[product great company, 0.8481, 5]]"
B00WVCLZKE,[0.9349],[3],"[[receive, case, haze, cover, portion, look, dirty, use, return, put, system, clean, fine, shouldnt, thoughbr, br, look, case, cutout, line, tpu, snug, phone]]","[[receive case haze cover portion look dirty use return put system clean fine shouldnt thoughbr br look case cutout line tpu snug phone, 0.9349, 3]]"
B00XHUN232,[0.8316],[5],"[[fit, phone, look]]","[[fit phone look, 0.8316, 5]]"
B00XIMCVHC,"[0.9068, 0.6249, -0.3612, -0.5122, 0.7351, -0.5187]","[4, 5, 5, 2, 4, 1]","[[price, want], [product, work, say, phone], [dont, cheap, slot, way, sealsecure], [buy, armband, put, iphone, cover, take, cover, phone, cover, get, fit, opening, headphone, top, accommodate, wide, range, smartphones, gripe, key, holder, use, lip, balm, side, leftie, wear, armband, ony, leave, arm, im, gym, reach, get, lip, balm, love], [velcro, strip, armband, hold, run, believe, run, underneath, belt, hole, appear, velcro, cover, velcro, strip, become, undone, awhile, poor, quality, get, pay], [hold, iphone, case, ivan, type, password, swipe, arm, put, forearm, problem, deliver, time]]","[[price want, 0.9068, 4], [product work say phone, 0.6249, 5], [dont cheap slot way sealsecure, -0.3612, 5], [buy armband put iphone cover take cover phone cover get fit opening headphone top accommodate wide range smartphones gripe key holder use lip balm side leftie wear armband ony leave arm im gym reach get lip balm love, -0.5122, 2], [velcro strip armband hold run believe run underneath belt hole appear velcro cover velcro strip become undone awhile poor quality get pay, 0.7351, 4], [hold iphone case ivan type password swipe arm put forearm problem deliver time, -0.5187, 1]]"
B00XKJP0YE,[0.6249],[5],"[[look, ]]","[[look , 0.6249, 5]]"
B00XM3O1OI,[0.5719],[5],"[[son, love]]","[[son love, 0.5719, 5]]"
