B00022OBOC,[0.6956],[5],"[[price, sound]]","[[price sound, 0.6956, 5]]"
B008CQUGD0,[-0.4767],[1],"[[receive, item, crack, screen, lcd, scratch, quality, company, part]]","[[receive item crack screen lcd scratch quality company part, -0.4767, 1]]"
B0093IHVL6,"[0.6249, 0.0, 0.4767]","[4, 5, 5]","[[awesome, ], [use, time], [awesome, width, device, drop, twice, bounce, came, face, plate, surprise, want]]","[[awesome , 0.6249, 4], [use time, 0.0, 5], [awesome width device drop twice bounce came face plate surprise want, 0.4767, 5]]"
B009E9ZVDE,"[-0.6259, 0.9041]","[1, 5]","[[fit, audi, happy], [set, sound, amaze]]","[[fit audi happy, -0.6259, 1], [set sound amaze, 0.9041, 5]]"
B009N5OX2E,[0.9371],[5],"[[perfect, fit, close, love, storage, credit, card, paper, thing]]","[[perfect fit close love storage credit card paper thing, 0.9371, 5]]"
B009NR5SJY,[0.9001],[5],"[[screen, protector, work, contractor, phone, drop, protect, screen, take, look, screen, brand, scratch, anything]]","[[screen protector work contractor phone drop protect screen take look screen brand scratch anything, 0.9001, 5]]"
B00A0YEU34,[0.8481],[5],"[[item, great, price, purchase]]","[[item great price purchase, 0.8481, 5]]"
B00A9H30LU,[0.6115],[5],"[[product, recommend]]","[[product recommend, 0.6115, 5]]"
B00A9SWUDI,[-0.4585],[3],"[[im, happy, cover, take, case, charge, phone]]","[[im happy cover take case charge phone, -0.4585, 3]]"
B00AOG9O2K,[0.0],[5],[[perfec]],"[[perfec, 0.0, 5]]"
B00B5WVA24,[0.9255],[5],"[[fit, iphone, stuff, toy, cute, wont, know, cellphone, case, seller, easy, talk, question, product]]","[[fit iphone stuff toy cute wont know cellphone case seller easy talk question product, 0.9255, 5]]"
B00B79WUAG,"[0.0, 0.4404]","[5, 5]",[[bueno]],"[[bueno, 0.0, 5], [, 0.4404, 5]]"
B00BQYEBBS,[0.3759],[3],"[[built, screen, protector, take, bit, get, use, case, close, screen, edge, bottom, button, push, option, button]]","[[built screen protector take bit get use case close screen edge bottom button push option button, 0.3759, 3]]"
B00C2ALRSU,[0.6249],[5],"[[sound, great, product]]","[[sound great product, 0.6249, 5]]"
B00CFS9YO8,"[0.8687, -0.4767]","[5, 2]","[[work, great, theiphone, control, track, pandora, youtube, amazon, music, radio, touching, phone, happy], [aux, contact, manufacture, response]]","[[work great theiphone control track pandora youtube amazon music radio touching phone happy, 0.8687, 5], [aux contact manufacture response, -0.4767, 2]]"
B00CTPM9Y4,[0.0],[1],"[[work, take, month, get, refund, return]]","[[work take month get refund return, 0.0, 1]]"
B00DEJYVJK,[-0.5405],[2],"[[attachment, fit, iphone, use, cord, make, work, doesnt, hold, charge]]","[[attachment fit iphone use cord make work doesnt hold charge, -0.5405, 2]]"
B00DEQ3AYK,[0.1513],[5],"[[grasp, difficult]]","[[grasp difficult, 0.1513, 5]]"
B00E579BFY,"[0.6249, 0.2263]","[5, 1]","[[work, great], [use, time, month, pull, plug, nothing, plug, usb, get, charge, half, speedbr, br, get, pay, buy]]","[[work great, 0.6249, 5], [use time month pull plug nothing plug usb get charge half speedbr br get pay buy, 0.2263, 1]]"
B00E9OOUT0,[0.6375],[4],"[[water, speaker, work, come, usb, charger, wall, charger, u, buy, problem]]","[[water speaker work come usb charger wall charger u buy problem, 0.6375, 4]]"
B00EHRYVUM,[0.7964],[3],"[[use, watch, tv, phone, clamp, slip, weight, phone, iphone, nicer, clamp, adjust, basebut, wasnt]]","[[use watch tv phone clamp slip weight phone iphone nicer clamp adjust basebut wasnt, 0.7964, 3]]"
B00EI3YK5G,"[0.9169, -0.3818, -0.9274, -0.4215, 0.4033, 0.0516, 0.4939, -0.2263]","[4, 1, 1, 5, 1, 5, 4, 1]","[[stop, work, day], [cable, make, tell, apart, use, speed, charge, station, thing, plug, oncebr, br, cable, work, fine, standard, android, device, problem, ive, use, phone, speaker, kindle, etc, everything, charge, usb, nowadays, handy], [buy, kid, last, month, kid, break, buy], [work, good, end, way, bright, cord, light, see, price, love, put, piece, black, tape, end, smiley, face, bright], [think, battery, die, decide, use, different, usb, notice, phone, lasting, day, usb, charge, phone, make, look, charge, make, phone, die, tell, pay, send, want, refund, worth, send, item, cheap, disappoint], [waste, money, amazon, isnt, product, charger, annoy, color, chang, cant, control, super, bright, buy], [lead, light, end, cord, went, day, use, charger, crap], [gret, kid, enjoy]]","[[stop work day, 0.9169, 4], [cable make tell apart use speed charge station thing plug oncebr br cable work fine standard android device problem ive use phone speaker kindle etc everything charge usb nowadays handy, -0.3818, 1], [buy kid last month kid break buy, -0.9274, 1], [work good end way bright cord light see price love put piece black tape end smiley face bright, -0.4215, 5], [think battery die decide use different usb notice phone lasting day usb charge phone make look charge make phone die tell pay send want refund worth send item cheap disappoint, 0.4033, 1], [waste money amazon isnt product charger annoy color chang cant control super bright buy, 0.0516, 5], [lead light end cord went day use charger crap, 0.4939, 4], [gret kid enjoy, -0.2263, 1]]"
B00ELLNUM4,[0.0],[5],[[look]],"[[look, 0.0, 5]]"
B00EMY297W,"[0.7906, 0.34, 0.0, 0.3612]","[5, 1, 2, 3]","[[product, time, order, receive, order, entire, month, order, ], [cheap, quality], [make, gift], [mine, look, someone, kick, floor, packaging, deep, scuff, black, case, bottom, door, cover, wont, stay]]","[[product time order receive order entire month order , 0.7906, 5], [cheap quality, 0.34, 1], [make gift, 0.0, 2], [mine look someone kick floor packaging deep scuff black case bottom door cover wont stay, 0.3612, 3]]"
B00FFAB2PW,[0.8316],[5],"[[use, work, ive, cord, headset, love]]","[[use work ive cord headset love, 0.8316, 5]]"
B00FH7ZGZA,[0.4404],[5],"[[thanks, skmauicom, mauistylealohacom]]","[[thanks skmauicom mauistylealohacom, 0.4404, 5]]"
B00FRB912U,[0.0],[5],"[[work, advertise]]","[[work advertise, 0.0, 5]]"
B00FWJW5S4,[0.2263],[1],[[okay]],"[[okay, 0.2263, 1]]"
B00G5IREO6,"[0.9294, 0.0772, 0.8463]","[5, 2, 5]","[[case, love, look, amaze, time, get, phone, buy], [case, sturdy, nice, bumper, front, im, worry, scratch, order, brand, ], [phone, fit, loose, week, rattle, case, put, scratch, phone, thing, suppose, protect]]","[[case love look amaze time get phone buy, 0.9294, 5], [case sturdy nice bumper front im worry scratch order brand , 0.0772, 2], [phone fit loose week rattle case put scratch phone thing suppose protect, 0.8463, 5]]"
B00GNLS1K6,[0.4019],[5],"[[yes, article, expectation]]","[[yes article expectation, 0.4019, 5]]"
B00GOHM2O0,[-0.2263],[1],"[[stop, work, day, piece, junk]]","[[stop work day piece junk, -0.2263, 1]]"
B00GQB1JM0,"[0.1901, -0.1496, -0.4404, 0.9682, 0.0364, -0.699]","[1, 1, 2, 5, 3, 3]","[[jawbone, im, trouble, disappoint], [band, use, monitor, sleep, wake, make, sure, get, move, version, jawbone, replacing, stop, work, company, great, product, buy, husband, father, super, complicate, use], [stop, work, month, disappoint, help, track, shed, pound], [accurate, fit, wrist, end, dont, charge, come, superglue], [abut, dissatisfy, jawbonebr, work, year, week, band, stop, work, take, charge, anymorebr, br, expect, work, couple, year], [idea, app, work, band, month, purchase, jawbone, replace, device, time, week, replacement, improve, version, call, last, week, br, longer, pair, iphone, waste, time, money]]","[[jawbone im trouble disappoint, 0.1901, 1], [band use monitor sleep wake make sure get move version jawbone replacing stop work company great product buy husband father super complicate use, -0.1496, 1], [stop work month disappoint help track shed pound, -0.4404, 2], [accurate fit wrist end dont charge come superglue, 0.9682, 5], [abut dissatisfy jawbonebr work year week band stop work take charge anymorebr br expect work couple year, 0.0364, 3], [idea app work band month purchase jawbone replace device time week replacement improve version call last week br longer pair iphone waste time money, -0.699, 3]]"
B00GQPKCW4,"[0.6124, 0.9081, 0.6369]","[3, 5, 5]","[[fit, glove, phone, purchase], [case, need], [bought, thor, hammerbr, br, super, heavy]]","[[fit glove phone purchase, 0.6124, 3], [case need, 0.9081, 5], [bought thor hammerbr br super heavy, 0.6369, 5]]"
B00GZGQBTM,[0.0],[1],"[[get, work]]","[[get work, 0.0, 1]]"
B00H2RXPDS,[0.9405],[5],"[[price, case, want, fit, x, protect, dont, drop, phone, seem]]","[[price case want fit x protect dont drop phone seem, 0.9405, 5]]"
B00H3LAWDY,[0.0],[1],"[[iphone, life, case]]","[[iphone life case, 0.0, 1]]"
B00HC2EY9W,[0.0],[5],"[[phone, house, steelie, mount]]","[[phone house steelie mount, 0.0, 5]]"
B00HPTMCRI,"[-0.5423, 0.5719, 0.0, 0.4404, 0.872, 0.6249, -0.7822, 0.9671, 0.4404, 0.4927, 0.218, -0.296, 0.765, 0.7351, 0.765, 0.9919, -0.5574, 0.4404, 0.5588, 0.2732, 0.7845, -0.1938, 0.8225, 0.8004, 0.8687]","[1, 4, 5, 5, 4, 5, 1, 2, 5, 5, 4, 1, 5, 5, 5, 5, 1, 4, 1, 2, 4, 5, 2, 5, 5]","[[excelente], [excellent, product, recommend], [excellent, item], [phone, touch, recieve, orden, touch, think, price, work, aplications, need, patient], [work, great], [issue, autofocus, focus, phone, texting, calling, phone, money], [aide, drop, broke, cellphone, research, price, feature, performance, buy, advance, unlock, cellphone, give, shes, gsm, quad, band, phone, give, freedom, move, carrier, replace, phone, size, weight, construction, wise, feel, solid, hand, outer, plastic, break, drop, dont, worry, include, silicon, case, dont, spend, money, case, fancier, dont, worry, buy, screen, protector, fit, phone, screen, protector, includedbr, br, camera, mp, front, camera, vga, quality, come, blu, think, resolution, selfie, selfie, lover, want, look, slot, sim, smaller, slot, put, phone, recognize, align, sim, phone, recognize, problem, yes, stay, place, done, mark, sim, sim, left, label, sim, leave, sim, see, image, go, mark, sim, slot, sim, slot, allow, phone, linesnumber, carrier, narco, dealer, sim, intimate, bff, micro, sd, slot, support, gbbr, br, issue, wifi, welldefined, character, set, wifi, ssid, manufacturer, implementation, say, character, ssid, seems, implementation, character, ssid, hikvision, security, camera, problem, blu, samsung, phone, accept, character, hide, forget, broadcast, wifi, ssid, secure, anyway, broadcast, blu, advance, notconnect, nonbroadcasting, ssid, cant, find, wifi, input, passphrase, blu, need, flaw, battery, drain, download, wifi, otherwise, battery, day, half, charge, use, hersbr, br, manufacturer, wifi, issue, base, price, feature, performance, rate, blu, advance, fivestar, buy], [work, ok, month, touch, screen, die, reason, use, anymore], [end, buying, phone, keep, drop, call, dont, buy, phone], [excellent], [reading, review, believe, hope, phone, receive, phone, learn, purchase, sim, card, phone, purchase, sim, card, online, reason, fedex, require, signature, sim, card, time, get, card, activate, service, phone, week, return, period, allow, daysbr, br, reviewer, glare, screen, didnt, think, deal, cant, use, phone, anythingbr, br, camera, qualitybr, br, cant, get, cell, service, make, call, send, text, message, work, build, get, cell, signal, switching, phone, tell, someone, try, call, phone, send, text, wellbr, br, try, phone, fair, shake, make, rash, judgement, result, miss, return, window, stuck, sub, par, product], [use, blu, phone, model, one, year, family, recommend, phone, others, blu, itbr, br, summer, like, make, unlock, phone, quality, price, range, device, option, usbased, company, real, usbased, customer, service, phone, arent, didnt, pay, sturdy, price, aspect, phone, people, dont, need, pay, highend, brand, name, enter, smartphone, worldbr, br, review, phone, site, praise, inexpensive, smartphone, option, sd, slot, sim, slot, business, line, come, lot, accessory, free, reception, speed, customizability, sturdier, smarter, nicer, think, price, like, drop, broke, year, use, buy, anotherbr, br, got, experience, company, spent, month, resolutionbr, br, initiate, case, online, wait, week, contact, get, send, replacement, dirty, use, replacement, different, imei, miss, backplate, call, say, sorry, theyd, resolve, case, file, delete, call, sent, email, ask, contact, tell, whats, device, call, tell, replacement, avenue, contact, escalate, claim, call, office, receptionist, hung, aftertelling, cant, tell, anything, call, recording, say, phone, line, longer, service, yikes, shock, company, go, length, avoid, customer, day, use, breakupbr, br, file, complaint, bbb, see, responds, customer, amazon, review, day, use, case, resolve, bbb, hope, care, customer, morebr, br, im, feel, phone, amazon, past, amaze, servicing, claim, take, route, post, reviewbr, br, im, sad, end, road, blu, use, quality, company, im, see, company, provide, muchneeded, unlock, smartphone, option, go, downhill, ], [get, tel, complain, change, direction, locker, thank], [excellent, product, thanks], [dw, need, phone, give, whirl, great, phone, partutilizes, androidbr, br, loses, star, limit, storage, spaceas, space, seem, phone, become], [phone], [phonemy, wife, love, buy, like], [item, fast, service, thank], [phone, working, condition, month], [gift], [nice, definition, picture], [work, month, freeze, reset, factory, default, setting], [front, face, camera]]","[[excelente, -0.5423, 1], [excellent product recommend, 0.5719, 4], [excellent item, 0.0, 5], [phone touch recieve orden touch think price work aplications need patient, 0.4404, 5], [work great, 0.872, 4], [issue autofocus focus phone texting calling phone money, 0.6249, 5], [aide drop broke cellphone research price feature performance buy advance unlock cellphone give shes gsm quad band phone give freedom move carrier replace phone size weight construction wise feel solid hand outer plastic break drop dont worry include silicon case dont spend money case fancier dont worry buy screen protector fit phone screen protector includedbr br camera mp front camera vga quality come blu think resolution selfie selfie lover want look slot sim smaller slot put phone recognize align sim phone recognize problem yes stay place done mark sim sim left label sim leave sim see image go mark sim slot sim slot allow phone linesnumber carrier narco dealer sim intimate bff micro sd slot support gbbr br issue wifi welldefined character set wifi ssid manufacturer implementation say character ssid seems implementation character ssid hikvision security camera problem blu samsung phone accept character hide forget broadcast wifi ssid secure anyway broadcast blu advance notconnect nonbroadcasting ssid cant find wifi input passphrase blu need flaw battery drain download wifi otherwise battery day half charge use hersbr br manufacturer wifi issue base price feature performance rate blu advance fivestar buy, -0.7822, 1], [work ok month touch screen die reason use anymore, 0.9671, 2], [end buying phone keep drop call dont buy phone, 0.4404, 5], [excellent, 0.4927, 5], [reading review believe hope phone receive phone learn purchase sim card phone purchase sim card online reason fedex require signature sim card time get card activate service phone week return period allow daysbr br reviewer glare screen didnt think deal cant use phone anythingbr br camera qualitybr br cant get cell service make call send text message work build get cell signal switching phone tell someone try call phone send text wellbr br try phone fair shake make rash judgement result miss return window stuck sub par product, 0.218, 4], [use blu phone model one year family recommend phone others blu itbr br summer like make unlock phone quality price range device option usbased company real usbased customer service phone arent didnt pay sturdy price aspect phone people dont need pay highend brand name enter smartphone worldbr br review phone site praise inexpensive smartphone option sd slot sim slot business line come lot accessory free reception speed customizability sturdier smarter nicer think price like drop broke year use buy anotherbr br got experience company spent month resolutionbr br initiate case online wait week contact get send replacement dirty use replacement different imei miss backplate call say sorry theyd resolve case file delete call sent email ask contact tell whats device call tell replacement avenue contact escalate claim call office receptionist hung aftertelling cant tell anything call recording say phone line longer service yikes shock company go length avoid customer day use breakupbr br file complaint bbb see responds customer amazon review day use case resolve bbb hope care customer morebr br im feel phone amazon past amaze servicing claim take route post reviewbr br im sad end road blu use quality company im see company provide muchneeded unlock smartphone option go downhill , -0.296, 1], [get tel complain change direction locker thank, 0.765, 5], [excellent product thanks, 0.7351, 5], [dw need phone give whirl great phone partutilizes androidbr br loses star limit storage spaceas space seem phone become, 0.765, 5], [phone, 0.9919, 5], [phonemy wife love buy like, -0.5574, 1], [item fast service thank, 0.4404, 4], [phone working condition month, 0.5588, 1], [gift, 0.2732, 2], [nice definition picture, 0.7845, 4], [work month freeze reset factory default setting, -0.1938, 5], [front face camera, 0.8225, 2], [, 0.8004, 5], [, 0.8687, 5]]"
B00I5RBHTI,[0.9886],[5],"[[tpu, case, see, quality, fit, awesome, tight, sturdy, bump, powervolume, bit, different, texture, super, nice, color, vibrant, make, whilte, color, phone, look, super, goodbr, br, recommend, case]]","[[tpu case see quality fit awesome tight sturdy bump powervolume bit different texture super nice color vibrant make whilte color phone look super goodbr br recommend case, 0.9886, 5]]"
B00I85ZAU4,"[0.4005, 0.3818]","[2, 1]","[[crack, crack, arrival, come], [buy, say, kickstand, slit, put, credit, card, make, phone, stand, look]]","[[crack crack arrival come, 0.4005, 2], [buy say kickstand slit put credit card make phone stand look, 0.3818, 1]]"
B00I8DJ05M,"[0.685, 0.6192]","[4, 5]","[[case, look, picture, wasnt, break, chip, got], [expect, drop, phone, drop, phone, case, anyway, case, work, fine, case, exact, shape, make, way, difference, design, take, case, color, start, corner, start, crack]]","[[case look picture wasnt break chip got, 0.685, 4], [expect drop phone drop phone case anyway case work fine case exact shape make way difference design take case color start corner start crack, 0.6192, 5]]"
B00I9ASJQ0,[0.8489],[5],"[[sound, looking, input, camera, buy, ur, money]]","[[sound looking input camera buy ur money, 0.8489, 5]]"
B00IAVS6MK,"[0.8533, 0.6369, 0.4404, -0.4215, 0.431]","[4, 5, 4, 1, 3]","[[service, great, job, product, great, fault, buy, cheap, get, cheap], [waste, money], [deal, buy, type]]","[[service great job product great fault buy cheap get cheap, 0.8533, 4], [waste money, 0.6369, 5], [deal buy type, 0.4404, 4], [, -0.4215, 1], [, 0.431, 3]]"
B00IJHVFXC,[0.8121],[3],"[[okay, case, discolor, lot, jean, pocket, done, job, keep, phone, safe]]","[[okay case discolor lot jean pocket done job keep phone safe, 0.8121, 3]]"
B00J3OF2XY,[0.0],[5],"[[met, expectation]]","[[met expectation, 0.0, 5]]"
B00JAY3BRQ,"[0.8519, 0.6249, 0.6869, -0.1154]","[5, 5, 3, 1]","[[cigarette, plug, car, camry, work, purchase, alternative, connect, mp, player, car, car, spit, time, determination, part, decide, play, eject, kind, annoy, nothing, say, done, try, get, cigarette, port, work, hold, happensbr, br, prosbr, connects, mp, car, well, nothingbr, come, adapter, smaller, size, headphone, jacksbr, mine, feedback, review, saybr, price, reasonablebr, br, consbr, mine, translate, song, bass, sound, system, sound, tinnybr, car, hate, tape, spit], [happy, item, month, cord, longer, ], [arrive, fast, work], [work, sound, however, something, didnt, know, start, get, put, phone, airplane, mode]]","[[cigarette plug car camry work purchase alternative connect mp player car car spit time determination part decide play eject kind annoy nothing say done try get cigarette port work hold happensbr br prosbr connects mp car well nothingbr come adapter smaller size headphone jacksbr mine feedback review saybr price reasonablebr br consbr mine translate song bass sound system sound tinnybr car hate tape spit, 0.8519, 5], [happy item month cord longer , 0.6249, 5], [arrive fast work, 0.6869, 3], [work sound however something didnt know start get put phone airplane mode, -0.1154, 1]]"
B00JH88PDA,"[0.6369, 0.6249]","[4, 5]","[[delivery, great, product], [case, great, month, get, dingy, floppy, use, plastic, case, part, poor, quality, case, fell, phone, screen, crack]]","[[delivery great product, 0.6369, 4], [case great month get dingy floppy use plastic case part poor quality case fell phone screen crack, 0.6249, 5]]"
B00JM5FP4U,"[0.94, 0.7559, 0.983]","[5, 5, 5]","[[im, happy, purchase, ipodipad, wire, stop, work, get, bent, shape, wire, tougher, im, hop, go, time, foot, length, better, short, one, apple, product, come, son, love, use, ipad, im, think, ordering], [work, charge, iphone, transfer, data, chord, find, help, control, chord, lay, well, chord, expect, quite, short, end, chord, end, connection, chord, bend, direction, degrees, storage, coil, come, coil, secure, rubber, band, save, rubber, band, store, way], [solid, chargingsynch, cord, wed, gone, multiple, cord, get, auction, site, last, month, die, cord, order, extra, length, key, feature, use, nightstands, charge, iphones]]","[[im happy purchase ipodipad wire stop work get bent shape wire tougher im hop go time foot length better short one apple product come son love use ipad im think ordering, 0.94, 5], [work charge iphone transfer data chord find help control chord lay well chord expect quite short end chord end connection chord bend direction degrees storage coil come coil secure rubber band save rubber band store way, 0.7559, 5], [solid chargingsynch cord wed gone multiple cord get auction site last month die cord order extra length key feature use nightstands charge iphones, 0.983, 5]]"
B00JQGWQGU,[0.6369],[5],"[[case, fit, devise]]","[[case fit devise, 0.6369, 5]]"
B00JUHWUF2,"[0.8999, 0.6115, 0.9526, 0.6249, 0.765]","[5, 5, 5, 5, 4]","[[fit], [case, cute, use, come, love, amazon], [wallet, nice, look, hold, cc, dollar, happy], [happy, purchase]]","[[fit, 0.8999, 5], [case cute use come love amazon, 0.6115, 5], [wallet nice look hold cc dollar happy, 0.9526, 5], [happy purchase, 0.6249, 5], [, 0.765, 4]]"
B00JX1Y0FI,"[0.2732, 0.0, 0.8316, 0.0]","[5, 3, 5, 5]","[[tks], [smudge], [work, great, excellent, price], [job]]","[[tks, 0.2732, 5], [smudge, 0.0, 3], [work great excellent price, 0.8316, 5], [job, 0.0, 5]]"
B00JXKWO34,[0.6249],[5],[[awesome]],"[[awesome, 0.6249, 5]]"
B00K01YOQ0,[0.5719],[4],"[[phone, volume, hope, fix]]","[[phone volume hope fix, 0.5719, 4]]"
B00K1W7C58,[0.8553],[5],"[[order, came, doa, hence, star, work, audio, quality, hr, im, update, review, star, seller, communication, outstanding, got, replacement]]","[[order came doa hence star work audio quality hr im update review star seller communication outstanding got replacement, 0.8553, 5]]"
B00K7HIVAW,[0.9186],[5],"[[case, perfect, great, quality]]","[[case perfect great quality, 0.9186, 5]]"
B00KNY504O,[0.5574],[5],"[[car, lock, key, trunk, key, stop, work, thought, replace, key, get, program, log, amazon, saw, order, remote, work]]","[[car lock key trunk key stop work thought replace key get program log amazon saw order remote work, 0.5574, 5]]"
B00KVU6C92,[0.4215],[5],"[[nice, case, arrive]]","[[nice case arrive, 0.4215, 5]]"
B00KWI87EQ,"[0.6369, 0.7906, 0.4404, 0.7579, -0.2755, 0.6249, 0.8074, 0.4215, 0.4404, 0.807]","[5, 5, 5, 5, 5, 5, 4, 5, 5, 5]","[[expect, cable], [fit, good, work], [week, fray, factory, cord], [usb, work, storage, fit, bag, pocket], [work, good, arrive, day], [charger, cable, keep, damage, breaking, base, assume, use, ive, use, foot, cable, week, notice, significant, speed, boost, cable, samsung, galaxy, appear, make, material, price, please], [look, cool]]","[[expect cable, 0.6369, 5], [fit good work, 0.7906, 5], [week fray factory cord, 0.4404, 5], [usb work storage fit bag pocket, 0.7579, 5], [work good arrive day, -0.2755, 5], [charger cable keep damage breaking base assume use ive use foot cable week notice significant speed boost cable samsung galaxy appear make material price please, 0.6249, 5], [look cool, 0.8074, 4], [, 0.4215, 5], [, 0.4404, 5], [, 0.807, 5]]"
B00KXEV13S,[0.4754],[5],"[[learn, effect, bought, notice, put, phone, light, produce, eye, doctor, suggest, get, lens, kid, occur, solution]]","[[learn effect bought notice put phone light produce eye doctor suggest get lens kid occur solution, 0.4754, 5]]"
B00L10INAM,[0.0],[5],[[cover]],"[[cover, 0.0, 5]]"
B00LPE300M,[0.6908],[5],"[[nice, product, good, price, quick, delivery]]","[[nice product good price quick delivery, 0.6908, 5]]"
B00LUNAA2O,[0.4404],[5],[[price]],"[[price, 0.4404, 5]]"
B00LXQSUP2,[0.8126],[5],"[[excellent, case, daughter, love]]","[[excellent case daughter love, 0.8126, 5]]"
B00M1I6SEQ,[0.6249],[4],"[[headphone, price, decent, sound, figment]]","[[headphone price decent sound figment, 0.6249, 4]]"
