B0002UPGOI,[0.0],[3],"[[ground, wire]]","[[ground wire, 0.0, 3]]"
B0007TJDFW,[-0.6604],[1],"[[cheap, flimsy, plastic, doesnt, work, speaker, advertise, there, gap, way, speaker, ruin, sound, isnt, seal, use, mount, alpine, type, r, speaker, sound, crap, pull, make, mdf, everything, peachy, toss, garbage]]","[[cheap flimsy plastic doesnt work speaker advertise there gap way speaker ruin sound isnt seal use mount alpine type r speaker sound crap pull make mdf everything peachy toss garbage, -0.6604, 1]]"
B001AV5ZHQ,[0.0],[5],"[[need, forget, install, remote, bass, level, us]]","[[need forget install remote bass level us, 0.0, 5]]"
B001B00JNQ,[0.0],[1],[[thumb]],"[[thumb, 0.0, 1]]"
B001ET5X9Y,[0.9611],[5],"[[motorola, razr, v, come, unlock, camera, video, player, menu, easy, understand, user, price, phone, quality, battery, life, good, great, pad, buying, choice]]","[[motorola razr v come unlock camera video player menu easy understand user price phone quality battery life good great pad buying choice, 0.9611, 5]]"
B001EWG0ES,[0.7003],[5],"[[price, product]]","[[price product, 0.7003, 5]]"
B001IVKZMS,[0.2732],[5],[[work]],"[[work, 0.2732, 5]]"
B001O86470,[0.0],[5],"[[work, wonderfull]]","[[work wonderfull, 0.0, 5]]"
B001OVN9AM,[0.2263],[2],"[[buy, month, work, perfect, month, go, unplug, wall, part, broke, outlet]]","[[buy month work perfect month go unplug wall part broke outlet, 0.2263, 2]]"
B002ED106Y,[0.296],[5],[[ok]],"[[ok, 0.296, 5]]"
B002KQLUVU,"[0.8481, 0.4404]","[5, 4]","[[phone], [product, great, vendor, shop]]","[[phone, 0.8481, 5], [product great vendor shop, 0.4404, 4]]"
B003B01AHS,[0.3612],[5],"[[recommend, seller, product, describe]]","[[recommend seller product describe, 0.3612, 5]]"
B003GD5BGQ,[0.7351],[5],"[[excellent, thank]]","[[excellent thank, 0.7351, 5]]"
B004B1H6NS,"[0.9585, -0.2024, 0.0]","[5, 2, 1]","[[accessory, owner, iphone, love, go, use, everything, promise, use, fit, case, brand, use, size, protects, phone, prevents, hit, darn, button, accident, look, feel, caseon, mention, main, reason, get, iti, go, whole, day, read, phone, make, day, booster, charge, device, phone, model, accessory, use, word, accessory, ne, nessisity, recommend, seek, power, make, fingerprint, size, real, easy, wallet, build, quality, lastand, look, goodmake, phone, look, well, add, protection, cant, go, seller, always, seller, amazon], [case, broke, charge, phone, promise, arent, clumsy, dont, want, spend, money, charging, case, work, stick, case], [order, got, black, onebr, whats, quality, control, unu]]","[[accessory owner iphone love go use everything promise use fit case brand use size protects phone prevents hit darn button accident look feel caseon mention main reason get iti go whole day read phone make day booster charge device phone model accessory use word accessory ne nessisity recommend seek power make fingerprint size real easy wallet build quality lastand look goodmake phone look well add protection cant go seller always seller amazon, 0.9585, 5], [case broke charge phone promise arent clumsy dont want spend money charging case work stick case, -0.2024, 2], [order got black onebr whats quality control unu, 0.0, 1]]"
