B00000J0IT,[0.6115],[5],"[[ship, happy]]","[[ship happy, 0.6115, 5]]"
B00A6DYZ5M,[0.0],[1],"[[work, week, nothing]]","[[work week nothing, 0.0, 1]]"
B00AO015DW,[0.6249],[5],"[[fit, great]]","[[fit great, 0.6249, 5]]"
B00AUJ5UIS,[0.296],[3],[[ok]],"[[ok, 0.296, 3]]"
B00BSK2DQK,"[0.6369, 0.8591]","[5, 5]","[[product, total, life, saver, road, trip, easy, put, take, good, quality, buy]]","[[product total life saver road trip easy put take good quality buy, 0.6369, 5], [, 0.8591, 5]]"
B00CTGPT1I,[0.6369],[5],"[[armband, light, weight]]","[[armband light weight, 0.6369, 5]]"
B00CXZI4WQ,[0.5829],[4],"[[get, white, case, get, bit, dirty, everything]]","[[get white case get bit dirty everything, 0.5829, 4]]"
B00D1DOR5M,"[0.7269, 0.6369, 0.4404]","[4, 5, 4]","[[week, work, connection, phone, charge], [product]]","[[week work connection phone charge, 0.7269, 4], [product, 0.6369, 5], [, 0.4404, 4]]"
B00D4ABOZS,"[0.8481, 0.7584, 0.0747]","[5, 5, 2]","[[product, great, service], [work, expect, nice, solid, iphone, doesnt, block, windscreen, idea, car, manufacturer, dont, build, thing, dash], [didnt, fit, cd, slot, give, effort, return]]","[[product great service, 0.8481, 5], [work expect nice solid iphone doesnt block windscreen idea car manufacturer dont build thing dash, 0.7584, 5], [didnt fit cd slot give effort return, 0.0747, 2]]"
B00D5VAYRU,"[0.8689, 0.6712, 0.7655]","[5, 1, 2]","[[disappoint, connect, charge, recommend, work, time, charge, hold, charge, repeat, step, time, work, refund, please], [charging, minute, die, call, customer, service, try, time, flash, second, return, good, customer, service, credit, manufactory], [device, put, plenty, stylish, carry, im, hop, battery, quality, stay, time, chose, brand]]","[[disappoint connect charge recommend work time charge hold charge repeat step time work refund please, 0.8689, 5], [charging minute die call customer service try time flash second return good customer service credit manufactory, 0.6712, 1], [device put plenty stylish carry im hop battery quality stay time chose brand, 0.7655, 2]]"
B00D9AVYBM,"[0.5719, 0.4927, -0.1027, 0.6369, 0.7579, 0.9001, 0.6369, 0.6369, 0.6369, 0.8779, 0.6249, 0.5719]","[5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5, 4]","[[deal, work, love, phone, ive, own], [phone, hour, freeze], [entire, family, boost, love, phone, smartphones, work, great], [phone], [please, product], [phone], [value, price], [technology, love], [excellent, condition, describe, delivery, expect], [phone, great], [brand, perfect, condition]]","[[deal work love phone ive own, 0.5719, 5], [phone hour freeze, 0.4927, 5], [entire family boost love phone smartphones work great, -0.1027, 2], [phone, 0.6369, 5], [please product, 0.7579, 5], [phone, 0.9001, 5], [value price, 0.6369, 5], [technology love, 0.6369, 5], [excellent condition describe delivery expect, 0.6369, 5], [phone great, 0.8779, 5], [brand perfect condition, 0.6249, 5], [, 0.5719, 4]]"
B00DEF4SHE,"[0.8442, 0.6249]","[4, 5]","[[nokia, lumia, phone, age, hardware, make, lot, sense, buy, accessory, laterbr, say, microsoft, claim, windows, run, phone, run, windows, phone, lumia, plan, keep, get, extra, batteriesbr, br, phone, day, dont, battery, device, battery, get, extra, battery, charger, charge, youre, go, hike, day, trip, access, chargersbr, br, youre, use, phone, gps, power, feature, battery, wont, day, extra, battery, usefulbr, br, quality, battery, came, phone, theyre, good, fact, look, cheap, knockoff], [service, price, product]]","[[nokia lumia phone age hardware make lot sense buy accessory laterbr say microsoft claim windows run phone run windows phone lumia plan keep get extra batteriesbr br phone day dont battery device battery get extra battery charger charge youre go hike day trip access chargersbr br youre use phone gps power feature battery wont day extra battery usefulbr br quality battery came phone theyre good fact look cheap knockoff, 0.8442, 4], [service price product, 0.6249, 5]]"
B00DM52HH4,[0.4754],[5],[[nice]],"[[nice, 0.4754, 5]]"
B00DQW0WTS,[0.0],[2],"[[didnt, month]]","[[didnt month, 0.0, 2]]"
B00DYA94R8,[0.7841],[5],"[[look, work]]","[[look work, 0.7841, 5]]"
B00DZXS8DK,"[0.0, 0.7351]","[4, 5]","[[perfect, fit], [work]]","[[perfect fit, 0.0, 4], [work, 0.7351, 5]]"
B00E7NWAKY,[-0.4215],[3],"[[broke, month]]","[[broke month, -0.4215, 3]]"
B00ET9XQQ8,"[0.4019, 0.0]","[4, 5]","[[phone, lock], [advertise, smart, phone]]","[[phone lock, 0.4019, 4], [advertise smart phone, 0.0, 5]]"
B00EZG3OGW,"[0.4215, 0.4404, 0.6249, -0.4964]","[5, 5, 5, 2]","[[nice], [work, far], [purchase, battery, hold, charge, hour, im]]","[[nice, 0.4215, 5], [work far, 0.4404, 5], [purchase battery hold charge hour im, 0.6249, 5], [, -0.4964, 2]]"
B00F0TKF1K,[0.5719],[5],"[[case, last]]","[[case last, 0.5719, 5]]"
B00F3J4ZA4,"[0.6369, -0.0864, -0.1027, 0.5719]","[5, 2, 1, 5]","[[bring, phone, amazon, wife, tell, trust, however, arrival, barbados, went, provider, document, put, sim, card, phone, work, upset, clue, good], [phone], [phone, unlock, pay, unlock], [get, perfect, condition, work, want]]","[[bring phone amazon wife tell trust however arrival barbados went provider document put sim card phone work upset clue good, 0.6369, 5], [phone, -0.0864, 2], [phone unlock pay unlock, -0.1027, 1], [get perfect condition work want, 0.5719, 5]]"
B00FGUSJIO,[0.7579],[5],"[[phone, dock, price]]","[[phone dock price, 0.7579, 5]]"
B00FXJ93HE,[-0.3071],[3],"[[look, cute, squeeze, card]]","[[look cute squeeze card, -0.3071, 3]]"
B00GMWCG3E,[0.0],[1],[[]],"[[, 0.0, 1]]"
B00GO4F41G,"[0.88, 0.4404]","[1, 5]","[[excite, receive, gear, excitement, short, live, day, test, run, setup, sound, came, caller, couldnt, end, time, call, id, disconnect, device, take, call, ve, couple, bluetooth, device, sure, suck], [work, good, listen, internet, radio, car]]","[[excite receive gear excitement short live day test run setup sound came caller couldnt end time call id disconnect device take call ve couple bluetooth device sure suck, 0.88, 1], [work good listen internet radio car, 0.4404, 5]]"
B00GU51B70,[0.5719],[5],"[[excellent, product]]","[[excellent product, 0.5719, 5]]"
B00GUXI6F2,[0.7574],[5],"[[work, great, hold, charge]]","[[work great hold charge, 0.7574, 5]]"
B00H013YIW,[-0.1419],[4],"[[decent, product, consider, price, membrane, doesnt, fit, tight, edge, brace, hold, everything, placeif, give, star]]","[[decent product consider price membrane doesnt fit tight edge brace hold everything placeif give star, -0.1419, 4]]"
B00H2IKY1I,[0.7991],[5],"[[work, great, iphone, regular, size, talk, use, keep, germ, bay, get, pick, door, recommend]]","[[work great iphone regular size talk use keep germ bay get pick door recommend, 0.7991, 5]]"
B00HFEBS8W,"[0.4404, 0.8934, -0.4767]","[5, 5, 1]","[[product, ship, fast, great, communication, thank], [break]]","[[product ship fast great communication thank, 0.4404, 5], [break, 0.8934, 5], [, -0.4767, 1]]"
B00HVZS8GU,[0.6249],[5],"[[work, great]]","[[work great, 0.6249, 5]]"
B00HYSFXN0,[0.3182],[5],"[[case, simple, protects, phone, need]]","[[case simple protects phone need, 0.3182, 5]]"
B00IEFS0LY,[0.0],[1],"[[cant, get, work]]","[[cant get work, 0.0, 1]]"
B00IELRKHI,"[0.0, 0.8731, 0.7351]","[4, 4, 5]","[[perfect, fit, ship], [fit, perfect], [describe, deliver, time]]","[[perfect fit ship, 0.0, 4], [fit perfect, 0.8731, 4], [describe deliver time, 0.7351, 5]]"
B00IWPQYFU,[0.8934],[5],"[[phone, case, take, beating, look, amaze, keep, phone, safe]]","[[phone case take beating look amaze keep phone safe, 0.8934, 5]]"
B00IWVC0MK,[0.2263],[3],"[[order, process, receive, get, work, phone, hear, make, call, hear, work, determine, wouldnt, work, phone, nice, headset]]","[[order process receive get work phone hear make call hear work determine wouldnt work phone nice headset, 0.2263, 3]]"
B00J331PBS,"[0.6249, 0.836, 0.836, 0.7184, -0.5942, -0.8677, 0.8402, 0.6249]","[5, 5, 5, 5, 1, 1, 5, 5]","[[pink, combination, perfect, college, environment], [work, great, use, vacation], [work], [work, dunk, water, chew, baby, drop, day, phone, perfect, shape, buy, type, case], [phone, case, throw, phone, house, fine], [month, piece, start, chip, clear, plastic, part, melt, worthless, buy, dont, review, recommend], [amaze, take, beach, phone, stay], [case, month, thin, piece, plastic, cover, home, button, broke, disappoint, consider, case, product, return, replacement, dont, waste, money, buy, something, warranty]]","[[pink combination perfect college environment, 0.6249, 5], [work great use vacation, 0.836, 5], [work, 0.836, 5], [work dunk water chew baby drop day phone perfect shape buy type case, 0.7184, 5], [phone case throw phone house fine, -0.5942, 1], [month piece start chip clear plastic part melt worthless buy dont review recommend, -0.8677, 1], [amaze take beach phone stay, 0.8402, 5], [case month thin piece plastic cover home button broke disappoint consider case product return replacement dont waste money buy something warranty, 0.6249, 5]]"
B00J9L2Q3K,"[0.9267, 0.9274]","[3, 5]","[[love, love, casedont, phone, anymore, phone, def, love], [super, cute, fit, pocket, perfect, material, pvc, tends, crack, love, design]]","[[love love casedont phone anymore phone def love, 0.9267, 3], [super cute fit pocket perfect material pvc tends crack love design, 0.9274, 5]]"
B00JUEDZ4U,[0.0],[2],"[[sound, muffle]]","[[sound muffle, 0.0, 2]]"
B00K5KZ2XU,[0.0],[5],"[[screen, protector]]","[[screen protector, 0.0, 5]]"
B00K77HUJU,[0.6245],[4],"[[case, slim, protects, htc, m, look, phone, feel, hand, silicone, piece, fit, made, side, issue]]","[[case slim protects htc m look phone feel hand silicone piece fit made side issue, 0.6245, 4]]"
B00K8BAN2G,[0.9201],[5],"[[case, awesome, feel, hand, super, drop, phone, time, nothing, happen]]","[[case awesome feel hand super drop phone time nothing happen, 0.9201, 5]]"
B00KEA9ZCK,[0.4749],[1],"[[case, phone, suppose, snap, fit, phone, crack, day, lead, believe, product, make]]","[[case phone suppose snap fit phone crack day lead believe product make, 0.4749, 1]]"
B00KGVS0ZU,"[-0.2732, 0.836]","[1, 5]","[[respond, way, suppose, last, month, quality, knock], [work, great, screen, id, recommend]]","[[respond way suppose last month quality knock, -0.2732, 1], [work great screen id recommend, 0.836, 5]]"
B00KHGMMLC,[0.4404],[3],"[[charger, anything, larger, nexus, slide]]","[[charger anything larger nexus slide, 0.4404, 3]]"
B00KTRBKCG,[0.4404],[4],"[[expect, everything]]","[[expect everything, 0.4404, 4]]"
B00L14P7P2,[0.8885],[5],"[[wife, love, look, case, fast, service, issue]]","[[wife love look case fast service issue, 0.8885, 5]]"
B00L4YK0AQ,[-0.4019],[2],"[[problem, none, product, piece, work]]","[[problem none product piece work, -0.4019, 2]]"
B00L7F3CIY,[0.634],[5],"[[want, trust]]","[[want trust, 0.634, 5]]"
B00LBERUWU,[0.9072],[5],"[[case, smooth, clean, sleek, n, yes, u, get, case, n, get, exact, thing]]","[[case smooth clean sleek n yes u get case n get exact thing, 0.9072, 5]]"
B00LI624YK,[0.8822],[5],"[[work, say, gps, position, spot, secure, well, windshield, mount, come, garmin, nuvi, ]]","[[work say gps position spot secure well windshield mount come garmin nuvi , 0.8822, 5]]"
B00LOWR49I,[0.9477],[4],"[[case, price, use, month, purchase, design, accessorize, nice, cute, work, protection, change, style, think, case, year]]","[[case price use month purchase design accessorize nice cute work protection change style think case year, 0.9477, 4]]"
B00LTR5HP6,"[0.4585, 0.8807]","[3, 4]","[[screen, lock, samsung, help, factory, reset, watch, exceed, expectation, entry, smart, watch, market], [impress, either]]","[[screen lock samsung help factory reset watch exceed expectation entry smart watch market, 0.4585, 3], [impress either, 0.8807, 4]]"
B00LU2A0ZW,[0.7184],[5],"[[apply, work, downside, however, find, use, mirror, pinch]]","[[apply work downside however find use mirror pinch, 0.7184, 5]]"
B00LVTCQCY,"[0.836, 0.872, -0.6808]","[5, 5, 5]","[[item, replace, break, sent, seller, get, arrive, day, expect, tool, size, job, problem, instal, screen, break, tablet, event, child, drop, tablet, purchase, screen, dazone, excellent, customer, service, solid, product], [solution, fix, crack, screen, everything, go, smooth, recommend, buy, need], [install, quick, search, youtube, product, work, price, thank]]","[[item replace break sent seller get arrive day expect tool size job problem instal screen break tablet event child drop tablet purchase screen dazone excellent customer service solid product, 0.836, 5], [solution fix crack screen everything go smooth recommend buy need, 0.872, 5], [install quick search youtube product work price thank, -0.6808, 5]]"
B00LWMT3OE,"[0.3612, -0.6359]","[1, 2]","[[case, doesnt, fit, keep, try, work, doesnt, fit, good, side, black, wont, come, rubber, side, volume, control, side, work, say, protect, fall, clip, portion, slide, suppose, slide, face, phone, make, mess, fit, rest, phone], [black, hard, part, touch, volume, button, cant, use, thought, fit, good, doesnt]]","[[case doesnt fit keep try work doesnt fit good side black wont come rubber side volume control side work say protect fall clip portion slide suppose slide face phone make mess fit rest phone, 0.3612, 1], [black hard part touch volume button cant use thought fit good doesnt, -0.6359, 2]]"
B00LXGNRD2,"[-0.5267, 0.0, 0.6249, -0.6486, 0.1027, 0.8316, 0.0, -0.7579, 0.3401, -0.4215, -0.2411, 0.4404, 0.3384, 0.4404]","[1, 3, 5, 5, 1, 5, 2, 1, 1, 1, 2, 5, 5, 5]","[[charger, buy, backup, need, replacement], [get, hot, charge, pad, phone, time, asume, design], [issue, phone], [charger, buy, amazon, work, bought, month], [work, fine, week, begin, malfunction, charge, sometimesi, get, charge, jiggle, connection, point, doesnt, work], [charger, charge, phone, twice, fast, replace], [item, work, dissatisfy], [product, longer, charge, iphone, hour, receive, work, minute], [charge, charge, damage, battery, life], [say, charge, iphone, ipad, phone, work, ipad], [metal, case, cover, tip, charger, broke, inside, phone, make], [loose, connection, flimsy, quality, charger, continue, drop]]","[[charger buy backup need replacement, -0.5267, 1], [get hot charge pad phone time asume design, 0.0, 3], [issue phone, 0.6249, 5], [charger buy amazon work bought month, -0.6486, 5], [work fine week begin malfunction charge sometimesi get charge jiggle connection point doesnt work, 0.1027, 1], [charger charge phone twice fast replace, 0.8316, 5], [item work dissatisfy, 0.0, 2], [product longer charge iphone hour receive work minute, -0.7579, 1], [charge charge damage battery life, 0.3401, 1], [say charge iphone ipad phone work ipad, -0.4215, 1], [metal case cover tip charger broke inside phone make, -0.2411, 2], [loose connection flimsy quality charger continue drop, 0.4404, 5], [, 0.3384, 5], [, 0.4404, 5]]"
B00LXX0756,[0.8658],[5],"[[thing, package, come, put, try]]","[[thing package come put try, 0.8658, 5]]"
B00M0RDH6U,"[0.924, 0.6369, 0.4215, 0.9333]","[5, 5, 5, 5]","[[case], [amaze, show, time, describe, ad, happy, install, screen, protector, doesnt, make, type, like, order, wife, light, weight], [nice, case], [product, detail, protection, iphone, enjoy, glad, bring, brand]]","[[case, 0.924, 5], [amaze show time describe ad happy install screen protector doesnt make type like order wife light weight, 0.6369, 5], [nice case, 0.4215, 5], [product detail protection iphone enjoy glad bring brand, 0.9333, 5]]"
B00M1O8EE2,[0.4915],[4],"[[present, buy, boyfriend, love, take, work, work, shift, keep, iphone, charge, say, work, iphone, say, charge, phone, time, need, recharge, battery]]","[[present buy boyfriend love take work work shift keep iphone charge say work iphone say charge phone time need recharge battery, 0.4915, 4]]"
B00M38N46O,[0.4501],[3],"[[dont, earphone, love, texture, tho, card, case, hold, worry, pop, tho, card, order, use, need, carry, card]]","[[dont earphone love texture tho card case hold worry pop tho card order use need carry card, 0.4501, 3]]"
B00M7UHEA0,[0.4404],[4],[[use]],"[[use, 0.4404, 4]]"
B00M9CJIAA,[0.6705],[3],"[[soundlight, weightand, easy, pop, book, bag, charge, batter, expect]]","[[soundlight weightand easy pop book bag charge batter expect, 0.6705, 3]]"
B00MBUUZZM,[-0.6975],[1],[[order]],"[[order, -0.6975, 1]]"
B00MC0L1YU,"[0.7506, 0.4215]","[5, 3]","[[nice, snug, fit, phone, work], [quality, look, ok]]","[[nice snug fit phone work, 0.7506, 5], [quality look ok, 0.4215, 3]]"
B00MG21LX0,[-0.3612],[1],"[[pull, part, change, battery]]","[[pull part change battery, -0.3612, 1]]"
B00MHV8F4I,[0.749],[5],"[[excellent, feeling, case, shade, pink, fun, order, case, go, pro, lighter, color, show, dirt]]","[[excellent feeling case shade pink fun order case go pro lighter color show dirt, 0.749, 5]]"
