B002F5XSDY,[0.0],[5],"[[want, delivery]]","[[want delivery, 0.0, 5]]"
B002R0DWT2,[0.7778],[4],"[[look, car, make, front, look, aftermarket, trim, recommend, anyone, look, upgrade, stereo]]","[[look car make front look aftermarket trim recommend anyone look upgrade stereo, 0.7778, 4]]"
B003XII7PQ,[0.6705],[5],"[[recommend, excellent]]","[[recommend excellent, 0.6705, 5]]"
B0041OODRM,[0.0],[5],"[[need, install]]","[[need install, 0.0, 5]]"
B004UFHXOM,[0.0],[1],"[[blow, day]]","[[blow day, 0.0, 1]]"
B0058DUKYU,[0.6597],[5],"[[product, recommend]]","[[product recommend, 0.6597, 5]]"
B0058F1GFU,[0.6249],[5],[[case]],"[[case, 0.6249, 5]]"
B005IMB5NG,"[0.4404, 0.6369, 0.0, 0.5969, 0.7783, -0.5221, 0.471, 0.0, 0.6801, 0.8268, -0.8201, 0.6249, 0.8946, -0.3378, 0.6369, 0.4404, 0.7474, -0.2263, 0.7778, 0.4404, 0.5789, 0.8957, 0.6249, 0.0, 0.7753, 0.6369, 0.4404, 0.6249, 0.4404, 0.8995, 0.7717, 0.1027]","[5, 5, 5, 5, 4, 5, 5, 4, 5, 5, 2, 5, 5, 3, 5, 3, 5, 1, 5, 5, 4, 5, 5, 2, 5, 5, 5, 5, 4, 5, 5, 5]","[[product, im, please, selection, amazon, send], [excellent, product, satisfy], [ear, piece, purchase], [work, good], [buy, bluetooth, give, ghost, sound, quality, great, hold, charge, bluetooth, ear, go, buy, nd, backup, price, double, price, go, buy, otherwise, ill, happy, use], [bluetooth, ive, consider, get, lose, disappear, somehow, surprise, find, unit, cost, well], [bluetooth, ive, buy, last, hour, u, dont, feel], [watch, video, listen, piece, great], [excelente], [bluetooth, headset, none, work, talk, people, use, know, set, stream, iphone, battery, life, keep, go, day, phone, battery, life, good, cell, signal, poor, wear, glass, feel, clip, press, ear, way, wish, make, material, last, glass, piece, go, issue, lightweight, volume, loud, hear, loud, noisesbr, br, expect, fidelity, music, stream, provide, play, suppose, playing, work, lead, streaming, music, bonusbr, br, think, lose, price, go, buy, price, drop, back], [buy, present, product], [blutooth], [wear, day, way, bluetooth, fit, lost], [work], [stop, work, month, purchase, function, product, consider, durablebr, br, use, involve, walking, business, orientate, call, nyc, bluetooth, pocket, whenever, lunch, nonappropriate, situation, believe, cause, bluetooth, damage, device, store, pocket], [dont, work, month], [sound, volume, control, easy, use, bother, inside, ear, wear, hour, fit, fall, hair, get, stick, arm, loop, sometimes, told, sound, im, underwater, person, say, time], [stop, work, day, use], [order, son, take, work, sound, listen, music, undetected], [product], [use, day, nothing, worse, try, hold, phone, make, dinner, laundry, etc, feel, need, handdo, favor, get], [battery, life, great], [buy, work, lose, put, wash, machine, ill, repurchase], [work, great, own, year, work], [time, good, connect, phonemaybe, phone, wrks, exel], [lose, device, miss, wasnt, work], [wish, headset, support, platronics, app, use, locate, lose, rd, headset, lose, fell, pant, pocket], [order, find, consider, returning, find, however, talk, feature, make, call], [recommend, battery, conversation], [comfy, switch, ear, ear, easy, use, control, use, iphone, day]]","[[product im please selection amazon send, 0.4404, 5], [excellent product satisfy, 0.6369, 5], [ear piece purchase, 0.0, 5], [work good, 0.5969, 5], [buy bluetooth give ghost sound quality great hold charge bluetooth ear go buy nd backup price double price go buy otherwise ill happy use, 0.7783, 4], [bluetooth ive consider get lose disappear somehow surprise find unit cost well, -0.5221, 5], [bluetooth ive buy last hour u dont feel, 0.471, 5], [watch video listen piece great, 0.0, 4], [excelente, 0.6801, 5], [bluetooth headset none work talk people use know set stream iphone battery life keep go day phone battery life good cell signal poor wear glass feel clip press ear way wish make material last glass piece go issue lightweight volume loud hear loud noisesbr br expect fidelity music stream provide play suppose playing work lead streaming music bonusbr br think lose price go buy price drop back, 0.8268, 5], [buy present product, -0.8201, 2], [blutooth, 0.6249, 5], [wear day way bluetooth fit lost, 0.8946, 5], [work, -0.3378, 3], [stop work month purchase function product consider durablebr br use involve walking business orientate call nyc bluetooth pocket whenever lunch nonappropriate situation believe cause bluetooth damage device store pocket, 0.6369, 5], [dont work month, 0.4404, 3], [sound volume control easy use bother inside ear wear hour fit fall hair get stick arm loop sometimes told sound im underwater person say time, 0.7474, 5], [stop work day use, -0.2263, 1], [order son take work sound listen music undetected, 0.7778, 5], [product, 0.4404, 5], [use day nothing worse try hold phone make dinner laundry etc feel need handdo favor get, 0.5789, 4], [battery life great, 0.8957, 5], [buy work lose put wash machine ill repurchase, 0.6249, 5], [work great own year work, 0.0, 2], [time good connect phonemaybe phone wrks exel, 0.7753, 5], [lose device miss wasnt work, 0.6369, 5], [wish headset support platronics app use locate lose rd headset lose fell pant pocket, 0.4404, 5], [order find consider returning find however talk feature make call, 0.6249, 5], [recommend battery conversation, 0.4404, 4], [comfy switch ear ear easy use control use iphone day, 0.8995, 5], [, 0.7717, 5], [, 0.1027, 5]]"
B005JS4U0O,[0.6369],[5],"[[case, ard]]","[[case ard, 0.6369, 5]]"
B00607N8VA,[0.7035],[2],"[[unit, roller, clamp, look, intent, roller, ease, installment, gps, cradle, prevent, cradle, scratch, gps, case, time, instal, gps, ram, cradle, roller, pop, reinstall, try, disappoint, ram, product, ram, need, design, roller, careful, pressure, apply, roller, come]]","[[unit roller clamp look intent roller ease installment gps cradle prevent cradle scratch gps case time instal gps ram cradle roller pop reinstall try disappoint ram product ram need design roller careful pressure apply roller come, 0.7035, 2]]"
B007WPDBWU,[-0.6818],[1],"[[fit, phone]]","[[fit phone, -0.6818, 1]]"
