1059241536,[-0.7559],[1],"[[poor, break, day]]","[[poor break day, -0.7559, 1]]"
B00O7EQIZ6,"[0.2023, 0.4754, 0.8312, -0.3091, 0.836, 0.8979, -0.395, 0.9778]","[5, 5, 5, 4, 5, 4, 4, 3]","[[nice], [case, hard, get, day, come, happy, wait, get, opend, put, case, struggle, get, get, look, realize, forgot, clean, screen, instal, take, wich, love, case, give, protection, get], [quick, delivery, cheap, case, price, screen, protector, case], [happy, speedy, delivery, case, price, range, slim, design, like, case, kick, stand, hip, holder], [work, fine], [love, color, love, fit, watch, video, putting, issue, thick, protection, cover, come, include, make, screen, sensitivity, take, peel, part, phone, temper, glass, add, protection, anyway], [sturdy, use, year, find, crack, cornersbetter, case, crack, phone, dont, idea, replace], [case, great, fit, phone, nice, tight, issue, button, plug, in, rubber, side, square, side, feel, beetle, grip, phone, case, felt, smooth, phone, slip, hand]]","[[nice, 0.2023, 5], [case hard get day come happy wait get opend put case struggle get get look realize forgot clean screen instal take wich love case give protection get, 0.4754, 5], [quick delivery cheap case price screen protector case, 0.8312, 5], [happy speedy delivery case price range slim design like case kick stand hip holder, -0.3091, 4], [work fine, 0.836, 5], [love color love fit watch video putting issue thick protection cover come include make screen sensitivity take peel part phone temper glass add protection anyway, 0.8979, 4], [sturdy use year find crack cornersbetter case crack phone dont idea replace, -0.395, 4], [case great fit phone nice tight issue button plug in rubber side square side feel beetle grip phone case felt smooth phone slip hand, 0.9778, 3]]"
B00O7RDN3I,[0.0],[2],"[[color, different, picturesbr, connecting, part, cover, design]]","[[color different picturesbr connecting part cover design, 0.0, 2]]"
B00OBHEV4E,[0.952],[5],"[[band, add, include, extension, allow, fit, estimate, inch, circumference, wrist, subtract, inch, dont, use, extension, link, clasp, firm, recess, band, isnt, problem, band, let, pinch, skin, yank, arm, hair, look, stainless, steel, moto, br, br, installation, challenge, ive, need, shop, watch, repair, kit, need, add, extension, band, watch, repair, kit, inexpensive, watch, think, worth, cost, take, jeweler, installation, acquire, need, tool, take, minute, time, kind, work, order, dark, metal, band, dont, think, take, minute, change, band]]","[[band add include extension allow fit estimate inch circumference wrist subtract inch dont use extension link clasp firm recess band isnt problem band let pinch skin yank arm hair look stainless steel moto br br installation challenge ive need shop watch repair kit need add extension band watch repair kit inexpensive watch think worth cost take jeweler installation acquire need tool take minute time kind work order dark metal band dont think take minute change band, 0.952, 5]]"
B00OBTJ0SE,[0.6249],[5],"[[work, great]]","[[work great, 0.6249, 5]]"
B00OCDAJCA,"[0.91, 0.9451, 0.8591, 0.6033, 0.6249, -0.4404, -0.7944, 0.945, 0.4678, 0.5994, 0.8658, 0.3182, -0.1025, 0.93, 0.0, -0.2263, 0.9952, 0.6478]","[5, 5, 5, 1, 5, 1, 1, 2, 4, 5, 5, 5, 1, 5, 1, 1, 5, 4]","[[bluetooth, doesnt, work, charge, day, take, couldnt, get, work, keep, turn, battery, annoy, bought, vacation], [fun, make, hold, charge], [button, work, press, button, time, sudden, stop, work, utter, trash], [selfie, stick, goto, add, birthday, gift, hostess, gift, everyone, love, get, party, host, super, use, package, simple, require, feel, stick, extends, nice, feel, hold, iphone, cant, think, anything, dont, couple, feature, tricksbr, br, love, break, part, handbag, protability, put, clutch, wed, weekend, medium, size, clutch, tiny, meansbr, br, second, selfie, stick, us, tooth, need, attach, stick, take, picture, figure, place, camera, someplace, mantle, counter, top, take, karge, group, shot, didnt, arm, picture, someone, hold, stick, press, button, camera, position, elevate, surfacebr, br, lot, fun, price, point, people, love, gift, something, begin, enjoy], [gadget, take, picture, husband, kid, miss, action, photographer, picture, vacation, fun, time, kid, join, fold, fit, purse, backpack, sturdy, great, quality, price], [defective], [extending, piece, lock, become, loose, fall, locking, tip, went, thank, amazon, return], [quality, poor, time, attempt, extend, metal, pole, broke, apart, copper, metal, piece, fell, manage, reconnect, pole, idea, put, copper, piece, sleeve, fit, handle, rotate, result, raise, sleeve, thats, think, button, isnt], [selfie, stick, think, order, work, time, take, minute, figure, consider, cellphone, case, order, wont, work, phone, fold, case, use, wife, phone, apple, leather, case, fit, need, remove, case, snug, slide, make, feel, securebr, br, bluetooth, pair, keep, box, travel, box, protection, dont, throw, plastic, orange, piece, pack, material, need], [order, replace, issue, love, selfie, stick], [stick, hold, lot, charge, connects, hold, phone, recommend], [work], [family, interest, try, selfie, stick, search, amazon, come, list, purchasebr, br, good, length, extension, convenient, take, build, bluetooth, shutter, button, stick, work, charge, hold, phone, br, cheaply, make, rubber, grip, slide, expose, wire, button, responsivebr, br, purchase, family, selfie, stick, work, regret, purchase, overpay, make, let, friend, borrow, suspect, havent, return, broke, fine, get, better, selfie, stickbr, br, project, get, get, selfie, stick, mediocre, quality, get, well, selfie, stick, price], [work, claim, star, design, takedown, setup], [love, selfie, stick], [selfie, stick, im, happy, easy, use, easy, carry, bag, phone, fit, perfectlygreat], [cool, product]]","[[bluetooth doesnt work charge day take couldnt get work keep turn battery annoy bought vacation, 0.91, 5], [fun make hold charge, 0.9451, 5], [button work press button time sudden stop work utter trash, 0.8591, 5], [selfie stick goto add birthday gift hostess gift everyone love get party host super use package simple require feel stick extends nice feel hold iphone cant think anything dont couple feature tricksbr br love break part handbag protability put clutch wed weekend medium size clutch tiny meansbr br second selfie stick us tooth need attach stick take picture figure place camera someplace mantle counter top take karge group shot didnt arm picture someone hold stick press button camera position elevate surfacebr br lot fun price point people love gift something begin enjoy, 0.6033, 1], [gadget take picture husband kid miss action photographer picture vacation fun time kid join fold fit purse backpack sturdy great quality price, 0.6249, 5], [defective, -0.4404, 1], [extending piece lock become loose fall locking tip went thank amazon return, -0.7944, 1], [quality poor time attempt extend metal pole broke apart copper metal piece fell manage reconnect pole idea put copper piece sleeve fit handle rotate result raise sleeve thats think button isnt, 0.945, 2], [selfie stick think order work time take minute figure consider cellphone case order wont work phone fold case use wife phone apple leather case fit need remove case snug slide make feel securebr br bluetooth pair keep box travel box protection dont throw plastic orange piece pack material need, 0.4678, 4], [order replace issue love selfie stick, 0.5994, 5], [stick hold lot charge connects hold phone recommend, 0.8658, 5], [work, 0.3182, 5], [family interest try selfie stick search amazon come list purchasebr br good length extension convenient take build bluetooth shutter button stick work charge hold phone br cheaply make rubber grip slide expose wire button responsivebr br purchase family selfie stick work regret purchase overpay make let friend borrow suspect havent return broke fine get better selfie stickbr br project get get selfie stick mediocre quality get well selfie stick price, -0.1025, 1], [work claim star design takedown setup, 0.93, 5], [love selfie stick, 0.0, 1], [selfie stick im happy easy use easy carry bag phone fit perfectlygreat, -0.2263, 1], [cool product, 0.9952, 5], [, 0.6478, 4]]"
B00OFT1PYC,[0.6249],[5],"[[look, great, want]]","[[look great want, 0.6249, 5]]"
B00OK247LC,"[0.6249, -0.5849, -0.6256, 0.7575, -0.25, -0.2755, 0.9586, 0.2278, 0.0, 0.539, 0.9612, -0.3612, 0.765, -0.25, 0.0, -0.128, 0.3612, -0.5612, 0.946, 0.5494]","[4, 1, 3, 5, 3, 1, 5, 3, 5, 3, 5, 3, 5, 1, 3, 1, 1, 1, 4, 4]","[[sound, earpiece, weight, fit, snug, problem, disconnect, phone, take, get, reconnect, disconnect, easilybr, br, great, value, buy, friend], [everyone, talk, phone, wasnt, hear, say, sound, room, product, didnt, meet, expectation], [havent, try, device, read, instruction, font, paper, shortage, china], [value, money, term, wear, comfy, short, conversation, battery, life, feature, ability, play, medium, phone, listen, music, day, work, noone, clue], [battery, cut, go, phone, hang, save, frustration, least, party], [work, fine, sound, pairing, work, fine, blue, flash, lot, prefer, switch, turn, headset, push, button, battery, life, standby, mode, isnt], [yes, good, get, use, button, operation, fine], [lack, lot, compare, bt, ear, piece, price, work], [iphone, talk, loud, person, hear, fan, product], [quit, work, month, use, dont, recommend, product], [ship, problem, people, say, hear, volume, way], [buy, wasnt, work, replace, buy], [light, weight, excellent, quality, make, sound, set], [figure, hide, button, realize, hit, volume, button, unit, turn, work, quality, htc, m, well, fitting, ear, muffle, noise, built, fine, work], [product, good, cost, ship, prompt, problem, buy, seller], [cost], [difficult, get, connect], [work, great, iphone, br, easy, sync, wear, havent, worn, hour, farbr, heard, perfectlybr, recommend, family, friend], [product, okaybr, amazoncom, service], [motorola, hk, user]]","[[sound earpiece weight fit snug problem disconnect phone take get reconnect disconnect easilybr br great value buy friend, 0.6249, 4], [everyone talk phone wasnt hear say sound room product didnt meet expectation, -0.5849, 1], [havent try device read instruction font paper shortage china, -0.6256, 3], [value money term wear comfy short conversation battery life feature ability play medium phone listen music day work noone clue, 0.7575, 5], [battery cut go phone hang save frustration least party, -0.25, 3], [work fine sound pairing work fine blue flash lot prefer switch turn headset push button battery life standby mode isnt, -0.2755, 1], [yes good get use button operation fine, 0.9586, 5], [lack lot compare bt ear piece price work, 0.2278, 3], [iphone talk loud person hear fan product, 0.0, 5], [quit work month use dont recommend product, 0.539, 3], [ship problem people say hear volume way, 0.9612, 5], [buy wasnt work replace buy, -0.3612, 3], [light weight excellent quality make sound set, 0.765, 5], [figure hide button realize hit volume button unit turn work quality htc m well fitting ear muffle noise built fine work, -0.25, 1], [product good cost ship prompt problem buy seller, 0.0, 3], [cost, -0.128, 1], [difficult get connect, 0.3612, 1], [work great iphone br easy sync wear havent worn hour farbr heard perfectlybr recommend family friend, -0.5612, 1], [product okaybr amazoncom service, 0.946, 4], [motorola hk user, 0.5494, 4]]"
B00OMBTM4S,[0.865],[1],"[[product, need, charge, use, got, year, daughter, camping, weekend, friend, flashlight, work, away, nice, bright, unclear, mention, print, item, need, charge, electricity, use, hour, leave, know, write, packaging, problem, know, item, week, purchase, charge, stick, work, package, charge, give, need, done, product, ready, make, need, done, frustrate, wonder, charge]]","[[product need charge use got year daughter camping weekend friend flashlight work away nice bright unclear mention print item need charge electricity use hour leave know write packaging problem know item week purchase charge stick work package charge give need done product ready make need done frustrate wonder charge, 0.865, 1]]"
B00ON6RX6Q,[-0.2755],[1],"[[case, didnt, fit, phone]]","[[case didnt fit phone, -0.2755, 1]]"
B00OZBONA8,[0.2347],[4],"[[product, fit, iphone]]","[[product fit iphone, 0.2347, 4]]"
B00P1A77JG,"[-0.2263, 0.0, -0.2732, 0.7269, 0.8625, 0.4927, -0.5683, 0.0, -0.4767, 0.4404, -0.2732]","[5, 2, 5, 4, 5, 5, 4, 2, 1, 5, 5]","[[suppose, charge, galaxy, note], [price, buy], [product, charge, someone, always, go, doesnt, lot, time, wait, waste, lose, lot, charger, cord, grow, leg, disappear, buy, product], [recieved, advertise, know, problem, satisfy, product], [adapter, fast, charge, adapter], [cord, break, week, use], [product, come, cable, wall, plug, charger, cable, come, work, try, use], [charger, galaxy, come, work, excellent, come, charge, come, port, fine, break, m, go, buy, one, ive, try, cable, didnt, charge, phone], [thing, theyre, ink, pen, ive, longer, month, usb, cord, tend, start, tear, appears, build, sturdy, week, longer, cord, allow, use, phone, charge, sit, room, play, charger, problem, wife, use, lg, optimus, pro, slow, charge, im, cord, phone, thought, usb, data, cord, charge, phone], [appears, genuine, product, everything, work, expect, thanks]]","[[suppose charge galaxy note, -0.2263, 5], [price buy, 0.0, 2], [product charge someone always go doesnt lot time wait waste lose lot charger cord grow leg disappear buy product, -0.2732, 5], [recieved advertise know problem satisfy product, 0.7269, 4], [adapter fast charge adapter, 0.8625, 5], [cord break week use, 0.4927, 5], [product come cable wall plug charger cable come work try use, -0.5683, 4], [charger galaxy come work excellent come charge come port fine break m go buy one ive try cable didnt charge phone, 0.0, 2], [thing theyre ink pen ive longer month usb cord tend start tear appears build sturdy week longer cord allow use phone charge sit room play charger problem wife use lg optimus pro slow charge im cord phone thought usb data cord charge phone, -0.4767, 1], [appears genuine product everything work expect thanks, 0.4404, 5], [, -0.2732, 5]]"
B00P20TFWM,"[0.796, 0.6652, 0.3384, 0.8568, 0.9081, 0.3716, 0.9063, 0.8998, 0.1027, 0.0, 0.6369, 0.8005, -0.899, 0.9691, 0.9559, 0.4215, 0.2732, 0.0, 0.4364, 0.0, -0.854, -0.9787, 0.7371, 0.3384, 0.6597, 0.9279, 0.899, 0.2609, 0.0, 0.6486, 0.7783, 0.6249, 0.0]","[4, 5, 5, 5, 5, 3, 4, 5, 3, 5, 5, 4, 3, 5, 4, 5, 5, 2, 5, 2, 4, 4, 5, 5, 5, 4, 5, 4, 5, 5, 5, 4, 5]","[[amaze, gadget, issue, use, day], [anything, aux, input, output, havent, try, become, bluetooth, wireless, audio, technica, noise, cancel, headphone, iphone, altec, lansing, inmotion, sound, quality, curse, date, ipod, input, become, quality, wireless, speaker, set, model, year, car, bluetooth, audio, get, idea, great, way, modernize, decent, item, think, datebr, br, im, surprise, device, arent, considering, premium, bluetooth, wireless, option, command, audio, device, today], [music, connect, tv, gap, video], [work, market, year, agobr, bill], [connect, fine, time, auto, shut, feature, power, use, requires, press, button, reconnect, time, use, feature, use, recharging, battery, power, power, reconnect, turn, time, press, button], [doesnt, work, say, product, description], [work, use, ride, motorcycle, ipod, shuffle], [buy, audio, watch, video, audio, delayedbr, audio], [problem, talk, seller, receive, guidance, use, relay, tv, sound, blue, tooth, headphone, gadget, work, enjoy, television, sound, problem, didnt, charge, charge, attempt, use], [device, wish, datacenter, thousand, server, ac, unit, blow, come, handy, want, turn, noise, cancellation, block, ambient, noise], [excelente], [excellent, product, beside, size, versatility, function, transmiter, receiver, work, perfect, recommend], [use, product, creative, speaker, system, add, mm, audio, port, rx, mode, say, excellent, addition, stream, music, laptop, apple, product, time, problem, satisfy], [describe], [work, describe, transmit, use, electronicsbr, shipping, good, smooth], [nice, product], [product, money, cobras, offering, call, airwave, quality, wasnt, didnt, mpow, well, way, less, half, cost, airwave, background, situationbr, br, bmw, idrive, navigationentertainment, system, didnt, add, bluetooth, option, purchase, car, force, find, alternative, dealer, want, install, bluetooth, module, wasnt, happen, cobra, airwave, use, try, hat, quality, give, thing, thats, purchase, dock, cable, please, note, iphone, samsung, galaxy, note, device, function, hiccupsbr, br, setupbr, br, setup, painlessbr, step, plug, device, auxiliary, port, head, unitbr, step, hold, button, second, start, blink, redbluebr, step, go, device, setting, pair, mpowbr, step, jam, hd, tunesbr, br, prosbr, convenient, storage, space, carbr, quality, stream, difference, airwave, mids, low, come, levelbr, soft, touch, material, feel, look, semimodern, carbr, nonannoying, mpow, bright, doesnt, distract, annoy, someone, need, mount, unit, dashboard, plusbr, br, consbr, cable, come, insulate, cheap, expect, buy, mm, aux, cable, micro, usb, charge, recommend, ankerbr, br, worst, con, devicerebootsdisconnects, receive, power, wont, matter, someone, charge, use, battery, say, intent, make, kind, pain, want, system, turn, car, pair, phone, get, dock, phone, play, music, device, reset, charge, time, turn, car, turn, accessory, power, car, charger, reboot, kick, bluetooth, force, press, button, mpow, order, connect], [work], [use, sound, system, amprock, speaker, range, isnt, great, issue, connect, ever, device, im, stream, use, rx, mode, dont, see, need, use, tx, mode, work, price, value], [set, work, use, transmit], [awesome, wish, id, find, sooner, use, turn, beat, wireless, headphone, im, buy], [device, transmits, receive, signal, lack, way, direction, use, wind, waste, time, get, thing, work, information, discover, trial, error, make, get, go, process], [work, suppose, disconnect, company, saw, review, sent, product, issue], [device, use, anything, bt, connect, phone, good, headphone, bluetooth, one, sound, one, review, one, open, possibility, connect, home, theater, transmition, option, connect, sansa, player, bt, speaker, systemi, gadgetsbr, thing, cable, need, shield, get, well, sound, notice, interference], [return, end, need], [work, great], [work, champ, teen, laptop, audio, port, get, goof, cant, plug, headphone, turn, repair, plug, headphone, device, send, laptop, audio, bluetooth, work], [work, skip, therebr, br, complaint, cant, seem, charge, use, usb, make, forget, charge, dead, kind, need], [work, transmit, audio, tv, item, earphone, jack, iphone, seller, try, step, communicate, time, accept, return, seller, concern, customer, satisfaction], [describedbr, br, feature, requestsbr, doesnt, turn, play, audio, awhile, forget, turn, drain, batterybr, hand, button, doesnt, work, plug, headphone, button, pick, call, change, volume, audiobr, someone, call, iphone, dont, get, rout, bluetooth, headphone, hand, audio, work], [transmission, work, pair, bluetooth, headphone, problem, stream, im, audiophile, music, sound, mebr, smaller, think, weighs, anything, great, throw, bag, forget, im, sure, battery, life, charge, box, minute]]","[[amaze gadget issue use day, 0.796, 4], [anything aux input output havent try become bluetooth wireless audio technica noise cancel headphone iphone altec lansing inmotion sound quality curse date ipod input become quality wireless speaker set model year car bluetooth audio get idea great way modernize decent item think datebr br im surprise device arent considering premium bluetooth wireless option command audio device today, 0.6652, 5], [music connect tv gap video, 0.3384, 5], [work market year agobr bill, 0.8568, 5], [connect fine time auto shut feature power use requires press button reconnect time use feature use recharging battery power power reconnect turn time press button, 0.9081, 5], [doesnt work say product description, 0.3716, 3], [work use ride motorcycle ipod shuffle, 0.9063, 4], [buy audio watch video audio delayedbr audio, 0.8998, 5], [problem talk seller receive guidance use relay tv sound blue tooth headphone gadget work enjoy television sound problem didnt charge charge attempt use, 0.1027, 3], [device wish datacenter thousand server ac unit blow come handy want turn noise cancellation block ambient noise, 0.0, 5], [excelente, 0.6369, 5], [excellent product beside size versatility function transmiter receiver work perfect recommend, 0.8005, 4], [use product creative speaker system add mm audio port rx mode say excellent addition stream music laptop apple product time problem satisfy, -0.899, 3], [describe, 0.9691, 5], [work describe transmit use electronicsbr shipping good smooth, 0.9559, 4], [nice product, 0.4215, 5], [product money cobras offering call airwave quality wasnt didnt mpow well way less half cost airwave background situationbr br bmw idrive navigationentertainment system didnt add bluetooth option purchase car force find alternative dealer want install bluetooth module wasnt happen cobra airwave use try hat quality give thing thats purchase dock cable please note iphone samsung galaxy note device function hiccupsbr br setupbr br setup painlessbr step plug device auxiliary port head unitbr step hold button second start blink redbluebr step go device setting pair mpowbr step jam hd tunesbr br prosbr convenient storage space carbr quality stream difference airwave mids low come levelbr soft touch material feel look semimodern carbr nonannoying mpow bright doesnt distract annoy someone need mount unit dashboard plusbr br consbr cable come insulate cheap expect buy mm aux cable micro usb charge recommend ankerbr br worst con devicerebootsdisconnects receive power wont matter someone charge use battery say intent make kind pain want system turn car pair phone get dock phone play music device reset charge time turn car turn accessory power car charger reboot kick bluetooth force press button mpow order connect, 0.2732, 5], [work, 0.0, 2], [use sound system amprock speaker range isnt great issue connect ever device im stream use rx mode dont see need use tx mode work price value, 0.4364, 5], [set work use transmit, 0.0, 2], [awesome wish id find sooner use turn beat wireless headphone im buy, -0.854, 4], [device transmits receive signal lack way direction use wind waste time get thing work information discover trial error make get go process, -0.9787, 4], [work suppose disconnect company saw review sent product issue, 0.7371, 5], [device use anything bt connect phone good headphone bluetooth one sound one review one open possibility connect home theater transmition option connect sansa player bt speaker systemi gadgetsbr thing cable need shield get well sound notice interference, 0.3384, 5], [return end need, 0.6597, 5], [work great, 0.9279, 4], [work champ teen laptop audio port get goof cant plug headphone turn repair plug headphone device send laptop audio bluetooth work, 0.899, 5], [work skip therebr br complaint cant seem charge use usb make forget charge dead kind need, 0.2609, 4], [work transmit audio tv item earphone jack iphone seller try step communicate time accept return seller concern customer satisfaction, 0.0, 5], [describedbr br feature requestsbr doesnt turn play audio awhile forget turn drain batterybr hand button doesnt work plug headphone button pick call change volume audiobr someone call iphone dont get rout bluetooth headphone hand audio work, 0.6486, 5], [transmission work pair bluetooth headphone problem stream im audiophile music sound mebr smaller think weighs anything great throw bag forget im sure battery life charge box minute, 0.7783, 5], [, 0.6249, 4], [, 0.0, 5]]"
B00P547FN6,[-0.4215],[1],"[[broke, week]]","[[broke week, -0.4215, 1]]"
B00PAN8N0Q,[0.3605],[1],"[[ship, case, notbr, doesnt, fit, phone, use, charge, port, silent, button, volume, button, design, lot, well, look, online, case, disappoint, contact, seller, wait, refund]]","[[ship case notbr doesnt fit phone use charge port silent button volume button design lot well look online case disappoint contact seller wait refund, 0.3605, 1]]"
B00PBLRCUO,[0.9153],[5],"[[phone, want, querty, keyboard, enjoy, touchscreen, phone, world]]","[[phone want querty keyboard enjoy touchscreen phone world, 0.9153, 5]]"
B00PCTIKME,[0.6249],[5],[[product]],"[[product, 0.6249, 5]]"
B00PLY8RYG,"[0.7178, 0.8858, 0.7003]","[3, 5, 5]","[[way, well, bore, look, apple, watch, love], [watch, recommend, anyone, look, connectivity, android, platform, watch, watch, doesnt, show, email, text, tradeoff, buy, watch], [technology, today, give, star, tech, need, mature]]","[[way well bore look apple watch love, 0.7178, 3], [watch recommend anyone look connectivity android platform watch watch doesnt show email text tradeoff buy watch, 0.8858, 5], [technology today give star tech need mature, 0.7003, 5]]"
B00PNJ0EMM,[0.3919],[3],"[[keep, phone, safe, secure, doesnt, start, come]]","[[keep phone safe secure doesnt start come, 0.3919, 3]]"
B00PNMMZYO,[0.4019],[4],"[[get, compliment]]","[[get compliment, 0.4019, 4]]"
B00PV27KMS,[0.4754],[5],"[[nice, satsfied]]","[[nice satsfied, 0.4754, 5]]"
B00PVJVMFW,[0.4404],[5],"[[wat, imagine]]","[[wat imagine, 0.4404, 5]]"
B00PZ3I6I0,[0.0],[1],"[[deliver, day, norm, metal, belt, clip, come, unglued, sometime, manufacturing, delivery, junk]]","[[deliver day norm metal belt clip come unglued sometime manufacturing delivery junk, 0.0, 1]]"
B00Q88Q16K,"[0.7351, 0.3818, 0.4404, 0.4588, 0.8765, 0.0, 0.6249, 0.5859, 0.8402, 0.8993, 0.8776, 0.5, 0.7891, 0.9687, 0.6369, 0.1531, 0.1779, 0.2732, -0.2023, 0.4664, 0.3612]","[4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 5, 5, 5, 5, 5]","[[work, motorola, come, phone], [amaze, fast, charge, ], [charger, own], [product, fast, charge, work, life, style], [keep, work, charge, samsung, charger, keep, home, charge, longer, delivery, packaging, great, thanks], [excellent, product, work, intend, thing, there, light, function, look, online, review], [work, suppose], [get, cause, head, college, thought, smart, buy, cause, school, sale, charge, nexus, oem, charger], [work, galaxy, note, say, charging, plug, take, half, hour, fill, dose, work, sony, z], [say, use, htc, m, charge, minute, done, charge, tell, take, tell, product, charge, m, faster, g], [nice, appearance, work, advertise, charge, stock, htc, charger, come, phone], [charger, awesome, work, qualcomm, charge, phone, complaint, doesnt, seem, make, microusb], [anker, product], [use, month, lg, g, say, fast, charger, charge, minute], [get, throw, quick, charge, m, go, minute], [get, today, charge, nexus, max, rate, wish, compact, prong, fold, count, power, im, plan, buy, nexus, x, come, fall, expect, support, quick, charge, protocol, charger, work, great, update, buy, nexus, x, turn, doesnt, support, quick, charge, protocol, matter, thing, charge, nexus, x, bos, attach, photo, show, charge, nexus, x, amp, phone, charge, suspect, max, rate, charge, level, take, amp, discharge], [thx, anker, awesome, charge, quick, quality], [charge, xiaomi, mi], [plug, nice, usb, cord, crap, bent, second, time, use, phone, plug, pick, mini, usb, plug, htc, m, bent, work, metal, flimsy, design, wouldnt, recommend, product, price, betterbr, br, edit, review, posting, star, review, anker, customer, service, contact, address, issue, replace, break, advise, product, come, month, warrantybr, impress, handle, problem, felt, need, amend, review, indicate, customer, service, team, awesome, impress, care, make, rightbr, br, wish, merchant, proactive, thank, anker, customer, service, wendy, breath, fresh, air], [hi, order, item, use, sony, xperia, z, mobile, phone, lot, need, charge, order, continue, use, charger, charge, hence, come, idea, look, quick, chargebr, stumble, charge, receive, time, time, coincidence, juice, leave, phone, test, timebr, tell, wouldnt, believe, charge, phone, half, hour, timebr, quick, charger, take, opportunity, recommend, friend, colleague], [send, work, good]]","[[work motorola come phone, 0.7351, 4], [amaze fast charge , 0.3818, 5], [charger own, 0.4404, 5], [product fast charge work life style, 0.4588, 5], [keep work charge samsung charger keep home charge longer delivery packaging great thanks, 0.8765, 5], [excellent product work intend thing there light function look online review, 0.0, 5], [work suppose, 0.6249, 5], [get cause head college thought smart buy cause school sale charge nexus oem charger, 0.5859, 5], [work galaxy note say charging plug take half hour fill dose work sony z, 0.8402, 5], [say use htc m charge minute done charge tell take tell product charge m faster g, 0.8993, 5], [nice appearance work advertise charge stock htc charger come phone, 0.8776, 5], [charger awesome work qualcomm charge phone complaint doesnt seem make microusb, 0.5, 5], [anker product, 0.7891, 4], [use month lg g say fast charger charge minute, 0.9687, 5], [get throw quick charge m go minute, 0.6369, 4], [get today charge nexus max rate wish compact prong fold count power im plan buy nexus x come fall expect support quick charge protocol charger work great update buy nexus x turn doesnt support quick charge protocol matter thing charge nexus x bos attach photo show charge nexus x amp phone charge suspect max rate charge level take amp discharge, 0.1531, 5], [thx anker awesome charge quick quality, 0.1779, 5], [charge xiaomi mi, 0.2732, 5], [plug nice usb cord crap bent second time use phone plug pick mini usb plug htc m bent work metal flimsy design wouldnt recommend product price betterbr br edit review posting star review anker customer service contact address issue replace break advise product come month warrantybr impress handle problem felt need amend review indicate customer service team awesome impress care make rightbr br wish merchant proactive thank anker customer service wendy breath fresh air, -0.2023, 5], [hi order item use sony xperia z mobile phone lot need charge order continue use charger charge hence come idea look quick chargebr stumble charge receive time time coincidence juice leave phone test timebr tell wouldnt believe charge phone half hour timebr quick charger take opportunity recommend friend colleague, 0.4664, 5], [send work good, 0.3612, 5]]"
B00QAKUUCC,[0.6249],[5],"[[work, look]]","[[work look, 0.6249, 5]]"
B00QDBNCTG,[0.9184],[5],"[[product, sent, ebay, product, unifix, work, equipment, excellent, instal, ipad, mini, work, screen, use, ipad, week, hickups, look, replacement, unifixs, ipad, replacement, get]]","[[product sent ebay product unifix work equipment excellent instal ipad mini work screen use ipad week hickups look replacement unifixs ipad replacement get, 0.9184, 5]]"
B00QETAL8C,[0.2912],[1],"[[buy, base, star, get, dont, know, got, rating, soft, black, plastic, base, aluminum, inlay, inlay, start, peel, day, instal, make, sure, tab, seat, mislead, advertisement, state, apple, apple, emblem, cover, paint, warn, day, phone, tell, make, dont, recommend, search, cover]]","[[buy base star get dont know got rating soft black plastic base aluminum inlay inlay start peel day instal make sure tab seat mislead advertisement state apple apple emblem cover paint warn day phone tell make dont recommend search cover, 0.2912, 1]]"
B00QF5QJR2,[-0.8406],[1],"[[worst, phone, ill, recommend, anyone]]","[[worst phone ill recommend anyone, -0.8406, 1]]"
B00QRUYPZI,[-0.5216],[1],"[[case, didnt, fit, yes, order, contact, seller, return, get]]","[[case didnt fit yes order contact seller return get, -0.5216, 1]]"
B00QTJ8AOY,[-0.296],[1],"[[everything, conversion]]","[[everything conversion, -0.296, 1]]"
B00QU5FSZ6,[-0.1899],[2],"[[case, break, receive, wasnt, seems, quality, worth, return, per, cute]]","[[case break receive wasnt seems quality worth return per cute, -0.1899, 2]]"
B00QV03WCG,[0.6249],[5],[[nice]],"[[nice, 0.6249, 5]]"
B00QV1QGNM,[0.9081],[5],"[[perfect, fit, stretchy, grip, put, price]]","[[perfect fit stretchy grip put price, 0.9081, 5]]"
B00R3DZLZ6,[-0.3975],[2],"[[didnt, case, wasnt, cause, color, otherwise, worth, buy]]","[[didnt case wasnt cause color otherwise worth buy, -0.3975, 2]]"
B00R3KBBE4,[0.0],[5],[[]],"[[, 0.0, 5]]"
B00R8HJ2CU,[-0.0717],[5],"[[look, get, tire, overpay, thing, dont, work, buy, mophie, sam, stop, work, month, take, select, case, work, charge, issue, cheaper, chose, appear, chip, apple, certify, issue, come, screen, protector, bonus]]","[[look get tire overpay thing dont work buy mophie sam stop work month take select case work charge issue cheaper chose appear chip apple certify issue come screen protector bonus, -0.0717, 5]]"
B00RFIA6RC,[0.3612],[5],[[thank]],"[[thank, 0.3612, 5]]"
B00RH4SMB6,"[0.4404, 0.0]","[4, 1]","[[phone], [buy, phone, tracfone, tracfone, tell, phone]]","[[phone, 0.4404, 4], [buy phone tracfone tracfone tell phone, 0.0, 1]]"
