9984575489,[0.3612],[1],"[[sctraches, side, use, year]]","[[sctraches side use year, 0.3612, 1]]"
B00N2JFJG6,"[0.5558, 0.3933]","[3, 5]","[[protects, screen, scratch, make, see], [quality, price, kinda, screw, sort, thing]]","[[protects screen scratch make see, 0.5558, 3], [quality price kinda screw sort thing, 0.3933, 5]]"
B00N2KYABK,"[0.8775, 0.6249, 0.8658, 0.5719]","[5, 5, 4, 5]","[[excellent, product], [awesome, wish, better, tool, smooth, bubble], [product, price, install, excellent, job], [quality, price]]","[[excellent product, 0.8775, 5], [awesome wish better tool smooth bubble, 0.6249, 5], [product price install excellent job, 0.8658, 4], [quality price, 0.5719, 5]]"
B00N2SZWD2,[0.8481],[5],"[[product, great, price]]","[[product great price, 0.8481, 5]]"
B00N41VOWK,"[0.4754, 0.0, 0.0, 0.5574, 0.0]","[5, 2, 5, 3, 3]","[[service], [adequate, smart, phone], [buy], [phone], [need, make, phone, screen, need, make]]","[[service, 0.4754, 5], [adequate smart phone, 0.0, 2], [buy, 0.0, 5], [phone, 0.5574, 3], [need make phone screen need make, 0.0, 3]]"
B00NBBE4CA,[0.6249],[5],"[[superb, quality]]","[[superb quality, 0.6249, 5]]"
B00NBUVHB2,"[0.5719, 0.6908]","[4, 5]","[[daughter, love, pick], [case, look, picture]]","[[daughter love pick, 0.5719, 4], [case look picture, 0.6908, 5]]"
B00NGJK6NI,"[0.3818, 0.7351, 0.875, 0.7579]","[5, 5, 5, 4]","[[work, charm, charge, ipad, capacity, charge, phone], [perfect, thank], [battery, use, far, seem, battery, ive, charge, delivers, power, need, battery, charge, bought, look, delivers, needbr, bit, thick, expect, got, itbr, buy, time, come, need, bigger, brother, unit, bigger, brother], [amaze, perfect, need, endless, battery, backup]]","[[work charm charge ipad capacity charge phone, 0.3818, 5], [perfect thank, 0.7351, 5], [battery use far seem battery ive charge delivers power need battery charge bought look delivers needbr bit thick expect got itbr buy time come need bigger brother unit bigger brother, 0.875, 5], [amaze perfect need endless battery backup, 0.7579, 4]]"
B00NJG34EQ,[-0.128],[3],"[[look, neat, press, flower, stick, thru, plastic]]","[[look neat press flower stick thru plastic, -0.128, 3]]"
B00NOS9RWW,[-0.3818],[1],"[[sty, asf, want, money, buy, cheap, plastic, came, dirty]]","[[sty asf want money buy cheap plastic came dirty, -0.3818, 1]]"
B00NSDF99I,"[0.6249, 0.5719, 0.936, 0.4404]","[4, 5, 2, 5]","[[fit, great], [lightweight, use], [case, fit, phone, didnt, know, galaxy, bigger, galaxy, case, bring, stuff, put, hand, easy, carry], [purchase, granddaughter, love]]","[[fit great, 0.6249, 4], [lightweight use, 0.5719, 5], [case fit phone didnt know galaxy bigger galaxy case bring stuff put hand easy carry, 0.936, 2], [purchase granddaughter love, 0.4404, 5]]"
B00NSEMGXY,[0.9337],[5],"[[awesome, look, amaze, work, perfect, recommend]]","[[awesome look amaze work perfect recommend, 0.9337, 5]]"
B00NV5ORZK,[0.6369],[5],"[[receive, day, love]]","[[receive day love, 0.6369, 5]]"
B00O2C5B6A,[0.3818],[5],"[[protect, ipod, scratch]]","[[protect ipod scratch, 0.3818, 5]]"
B00O4OUL9S,[0.0],[1],"[[ask, case, come, case, iphone, ]]","[[ask case come case iphone , 0.0, 1]]"
B00O9NNJBQ,"[0.9287, -0.6066, 0.8379]","[4, 2, 3]","[[im, look, im, impress, cheap, look, protect, phone], [bundle, offer, color, customize, phone, outfit, mood, give, phone, nice, modern, appearance, love, clear], [excite, come, color, want, use, deliver, scratch, pink, color, case, fine, blue, red, case, scratch, case, camera]]","[[im look im impress cheap look protect phone, 0.9287, 4], [bundle offer color customize phone outfit mood give phone nice modern appearance love clear, -0.6066, 2], [excite come color want use deliver scratch pink color case fine blue red case scratch case camera, 0.8379, 3]]"
B00OH4I2IC,"[0.4588, -0.7506, 0.7906, 0.4404]","[5, 2, 2, 4]","[[waaaaaay, well, project, fi, case, come, welcome, kit, easy, put, phone, take, beating, current, case, dy, ill, get], [umm, say, crappy, case, look, stand, broke, day], [product], [kickstand, snap, time, use, rest, case, great, button, feel, sponginess]]","[[waaaaaay well project fi case come welcome kit easy put phone take beating current case dy ill get, 0.4588, 5], [umm say crappy case look stand broke day, -0.7506, 2], [product, 0.7906, 2], [kickstand snap time use rest case great button feel sponginess, 0.4404, 4]]"
B00OM9ED1W,[0.6587],[1],"[[usb, charge, port, bottom, wasnt, get, factory, charge, cable, amazon, essential, held, hand, charge, let, pop, cut, bottom, front, trim, port, cutoff, cable, fit, finebr, br, gold, trim, floating, paper, money, tends, get, stuck, pocket]]","[[usb charge port bottom wasnt get factory charge cable amazon essential held hand charge let pop cut bottom front trim port cutoff cable fit finebr br gold trim floating paper money tends get stuck pocket, 0.6587, 1]]"
B00OMGXS2K,[0.6428],[5],"[[buy, mom, drop, nexuswould, def, make, difference, bulky, protect]]","[[buy mom drop nexuswould def make difference bulky protect, 0.6428, 5]]"
B00ONQXS6K,"[0.4781, 0.9346]","[4, 4]","[[case, love, cap, fierce, gaze, case, think, nature, material, loose, otherwise, great, protect, phone, fall, drop, bounce, hit], [design, daughter, buy, fit, iphone, c, look, issue, secure, portion, phone, doesnt, take, effort, pop, phone, case, end, phone, seem, make, protecting, phone, careless, drop, depend, land, phone, come, case, say, take, place, otterbox, anything, caliber, know, look, provide, protection, recommend, thisbr, br, extras, come, price, beat]]","[[case love cap fierce gaze case think nature material loose otherwise great protect phone fall drop bounce hit, 0.4781, 4], [design daughter buy fit iphone c look issue secure portion phone doesnt take effort pop phone case end phone seem make protecting phone careless drop depend land phone come case say take place otterbox anything caliber know look provide protection recommend thisbr br extras come price beat, 0.9346, 4]]"
B00ORQOJ5U,[0.8074],[3],"[[case, wasnt, expect, bulky]]","[[case wasnt expect bulky, 0.8074, 3]]"
B00OTG3PMG,[0.8625],[5],"[[wish, wrap, phone, better, love]]","[[wish wrap phone better love, 0.8625, 5]]"
B00P3NWDUO,[-0.2755],[2],"[[doesnt, fit, phone]]","[[doesnt fit phone, -0.2755, 2]]"
B00P668GHC,[-0.0258],[5],"[[awesome, speaker, connects, device, test, dustproof, claim, trip, mexico, rid, bicycle, speaker, basket, front, hit, bump, speaker, flew, basket, bounce, dirt, road, run, tire, get, room, rinse, fire, money]]","[[awesome speaker connects device test dustproof claim trip mexico rid bicycle speaker basket front hit bump speaker flew basket bounce dirt road run tire get room rinse fire money, -0.0258, 5]]"
B00PDO52XI,[-0.3723],[2],"[[drop, phone, day, get, broke]]","[[drop phone day get broke, -0.3723, 2]]"
B00PEQWPVC,[0.6652],[2],"[[ft, meter, cable, speed, work, rate, shorter, cable, ft, end, provide, snapon, glue, end, come, apart, back, place, cable, application, last, duration]]","[[ft meter cable speed work rate shorter cable ft end provide snapon glue end come apart back place cable application last duration, 0.6652, 2]]"
B00PGCN9BE,"[0.9348, 0.8763]","[4, 2]","[[madebr, buy, got, case, go, flap, thing, broke, time, openingbr, bulky, know, make, carry, card, stuff, seen, case, lot, hold, stuffbr, put, card, inbr, dont, waste, money, reason, give, star, ship, return, fast], [color, love, dont, carry, wallet, purse, carry, cardsbut, diditll, make, phone, thicker, need, nice, case, buy, dec]]","[[madebr buy got case go flap thing broke time openingbr bulky know make carry card stuff seen case lot hold stuffbr put card inbr dont waste money reason give star ship return fast, 0.9348, 4], [color love dont carry wallet purse carry cardsbut diditll make phone thicker need nice case buy dec, 0.8763, 2]]"
B00PRY7J2G,"[0.6369, 0.5719]","[5, 5]","[[product, perfect, take, time, ship]]","[[product perfect take time ship, 0.6369, 5], [, 0.5719, 5]]"
B00PVQJ1YY,[0.8746],[5],"[[come, sooner, expect, describedportrayed, satisfy, purchase, quality, superb, material, make, make, recommend, buy, item, seller]]","[[come sooner expect describedportrayed satisfy purchase quality superb material make make recommend buy item seller, 0.8746, 5]]"
B00PXWY13W,"[0.2232, 0.829]","[2, 4]","[[love, case, corner, broke, drop, side, casing, phone, thanks, phone, protect], [case, screen, protect, button]]","[[love case corner broke drop side casing phone thanks phone protect, 0.2232, 2], [case screen protect button, 0.829, 4]]"
B00Q0IZAT2,[-0.0258],[1],"[[waste, money, daughter, think, buy, case, wish, figure, return]]","[[waste money daughter think buy case wish figure return, -0.0258, 1]]"
B00Q7QU9HK,[-0.296],[3],"[[there, speaker, case, need, open, answer, phone, hear]]","[[there speaker case need open answer phone hear, -0.296, 3]]"
B00Q8CVAIK,[-0.3593],[3],"[[magnet, phone, case, mess, phone, stop, use]]","[[magnet phone case mess phone stop use, -0.3593, 3]]"
B00Q9Z8XYU,"[0.9463, 0.3612]","[5, 3]","[[sturdy, thereby, cost, bit, product], [receive, mail, today, put, phone, prefix, fit, happy, everything, fit, took, pitcher, come, look, huawei, ascend, mate, phone]]","[[sturdy thereby cost bit product, 0.9463, 5], [receive mail today put phone prefix fit happy everything fit took pitcher come look huawei ascend mate phone, 0.3612, 3]]"
B00QI9JBJI,"[0.0, 0.7717]","[5, 5]","[[thank, order], [item, advertise, ship]]","[[thank order, 0.0, 5], [item advertise ship, 0.7717, 5]]"
B00QIFAI76,[0.5994],[5],[[case]],"[[case, 0.5994, 5]]"
B00QNW2DQ8,"[0.765, 0.0516]","[5, 5]","[[work, great, problem], [work]]","[[work great problem, 0.765, 5], [work, 0.0516, 5]]"
B00QOVOTOM,[-0.2708],[2],"[[weight, difficult, make, arm, velcro, clothe, stay, tight, fall, need, return]]","[[weight difficult make arm velcro clothe stay tight fall need return, -0.2708, 2]]"
B00QQ8JGYG,[-0.2617],[5],"[[youre, look, slim, case, note, fit, note, cutout, fit, dirt, find, way, phone, im, sure, drop, drop, phone, treat, mine, child, plastic, make, job, protecting, itbr, br, thing, add, feature, clear, plastic, option, frostedfog, see, annoying, verizon, logo, possibility, notice, scratch]]","[[youre look slim case note fit note cutout fit dirt find way phone im sure drop drop phone treat mine child plastic make job protecting itbr br thing add feature clear plastic option frostedfog see annoying verizon logo possibility notice scratch, -0.2617, 5]]"
B00QQD9EL6,[0.925],[5],"[[favouritebr, br, nd, case, order, hold, card, iottie, square, hold, iottie, vent, car, clipbr, br, st, case, took, allot, abuse, beach, take, sand, continue, use, sure, time, get, onebr, br, note, drop, phone, time, think, time, done, time, edging, keep, goodbr, br, money, spent, product]]","[[favouritebr br nd case order hold card iottie square hold iottie vent car clipbr br st case took allot abuse beach take sand continue use sure time get onebr br note drop phone time think time done time edging keep goodbr br money spent product, 0.925, 5]]"
B00QR0NKPE,[0.765],[5],"[[case, recommend]]","[[case recommend, 0.765, 5]]"
B00QV2RPE0,"[0.0, 0.6249]","[5, 5]","[[fit, need, tee], [product]]","[[fit need tee, 0.0, 5], [product, 0.6249, 5]]"
B00R7IRUF6,[-0.536],[1],"[[mold, make, power, volume, control, difficult, adjust, quality, expect, price]]","[[mold make power volume control difficult adjust quality expect price, -0.536, 1]]"
B00RCEYOCC,[0.0],[1],[[work]],"[[work, 0.0, 1]]"
B00RD7VCW8,"[-0.296, 0.8883]","[1, 5]","[[receive, apple, charger, work, amaze, charge, phone, bang, buckbr, recommend, sellerbr, happy, product], [order, miss, stylus]]","[[receive apple charger work amaze charge phone bang buckbr recommend sellerbr happy product, -0.296, 1], [order miss stylus, 0.8883, 5]]"
B00RGB4CB4,[0.836],[5],[[work]],"[[work, 0.836, 5]]"
B00RGMFRW6,[0.8733],[5],"[[case, perfect, people, ask, get]]","[[case perfect people ask get, 0.8733, 5]]"
B00RMCIT5M,[-0.8553],[1],"[[couldnt, believe, cheap, true, yes, warn, take, week, china, arrive, week, news, battery, worthless, doesnt, work, battery, light, phone, red, battery, yellow, weak, green, charge, charge, phone, battery, light, show, exclamation, mark, battery, hold, charge, begin, charge, take, chancei, get, burn]]","[[couldnt believe cheap true yes warn take week china arrive week news battery worthless doesnt work battery light phone red battery yellow weak green charge charge phone battery light show exclamation mark battery hold charge begin charge take chancei get burn, -0.8553, 1]]"
B00RNAQN4M,[0.886],[4],"[[case, phone, edge, case, sharp, scratch, hand, time, color, come, case, make, cheap, material, end, purchase, better, quality, thanks]]","[[case phone edge case sharp scratch hand time color come case make cheap material end purchase better quality thanks, 0.886, 4]]"
B00ROA4ZRI,"[0.0, 0.7713, -0.4864]","[2, 5, 1]","[[iphone, charger, work, couple, week, android, part, charger, work], [get, quicker, expect, love, fact, work, buy, give, gift, ill, buy, future, ], [product, doesnt, work, work, want, keep, way, charge, buy, satisfy, make]]","[[iphone charger work couple week android part charger work, 0.0, 2], [get quicker expect love fact work buy give gift ill buy future , 0.7713, 5], [product doesnt work work want keep way charge buy satisfy make, -0.4864, 1]]"
B00S4CB9EC,[0.8934],[4],"[[price, fit, earholes, hop, bluedio, r, headphone, begin, brand, price, compare, others, wish, use, well, material]]","[[price fit earholes hop bluedio r headphone begin brand price compare others wish use well material, 0.8934, 4]]"
B00S7ZXYXA,[0.4939],[2],"[[cheap, look]]","[[cheap look, 0.4939, 2]]"
B00S8FXZYC,"[-0.8402, 0.6249, -0.6153]","[1, 5, 2]","[[work, great, buy, pair], [use, less, day, shorting, micvolume, control, piece, unbalance, run, piece, sway, flop, place, design, purchase], [crap, earphone, die, week, use, wire, control, swing, side, make, use, run]]","[[work great buy pair, -0.8402, 1], [use less day shorting micvolume control piece unbalance run piece sway flop place design purchase, 0.6249, 5], [crap earphone die week use wire control swing side make use run, -0.6153, 2]]"
B00SAJ6Y0I,[0.6597],[3],"[[product, cheap, look, wallet, inside, want]]","[[product cheap look wallet inside want, 0.6597, 3]]"
B00SCS26KE,"[0.7178, 0.9778]","[5, 5]","[[nice, unit, well], [stereo, sound, amaze, honda, accord, lx, ive, speaker, car, w, sony, xplod, stereo, give, nice, loud, sound, didnt, sound, clear, turn, volume, max, decide, upgrade, speaker, go, polk, audio, front, rockford, fosgate, rear, sony, xplod, didnt, wattage, eq, make, sound, thats, look, find, stereo, wattage, better, eq, perfect, stereo, make, setting, audio, quality, ]]","[[nice unit well, 0.7178, 5], [stereo sound amaze honda accord lx ive speaker car w sony xplod stereo give nice loud sound didnt sound clear turn volume max decide upgrade speaker go polk audio front rockford fosgate rear sony xplod didnt wattage eq make sound thats look find stereo wattage better eq perfect stereo make setting audio quality , 0.9778, 5]]"
B00SEVIZQI,[0.7499],[4],"[[case, fit, thing, dont, case, cover, port, plug, charger, case, port, cover, push, charger, im, sure, damage, port, time]]","[[case fit thing dont case cover port plug charger case port cover push charger im sure damage port time, 0.7499, 4]]"
B00SGM4W3K,[0.9622],[5],"[[forget, buy, case, store, buy, verizon, amaze, quality, case, price, work, love, take, phone, magnetize, case, part, use, credit, card, holder, carry, anymore, look, strap, make, put, wrist, nothing, handsbr, br, carry, number, credit, card, license, cash, im, happy, case, buy, heartbeat]]","[[forget buy case store buy verizon amaze quality case price work love take phone magnetize case part use credit card holder carry anymore look strap make put wrist nothing handsbr br carry number credit card license cash im happy case buy heartbeat, 0.9622, 5]]"
B00SMUQJ2S,[0.0],[5],[[advertise]],"[[advertise, 0.0, 5]]"
B00SMUR8PK,[0.7269],[5],"[[nice, case, wife, enjoys, simplicity, color]]","[[nice case wife enjoys simplicity color, 0.7269, 5]]"
B00SO0T4R8,[-0.4215],[2],"[[case, shallow, expect, broke, couple, week]]","[[case shallow expect broke couple week, -0.4215, 2]]"
B00SZRJTIO,[0.2838],[3],"[[color, fade, thats, rubber]]","[[color fade thats rubber, 0.2838, 3]]"
B00T47NGEC,[0.8979],[5],"[[charger, work, bought, buy, christmas, work, fine, bulky, desk, awesome, manage, charging, station, product]]","[[charger work bought buy christmas work fine bulky desk awesome manage charging station product, 0.8979, 5]]"
B00T564EIY,[0.0],[5],"[[thing, plug, inseems, dutie, power, air, compressormiter, sawfish, pondfrig]]","[[thing plug inseems dutie power air compressormiter sawfish pondfrig, 0.0, 5]]"
B00T618IEE,[0.765],[5],"[[product, come, time, fit, look]]","[[product come time fit look, 0.765, 5]]"
B00T970NJI,[0.1779],[4],"[[charger, theres, charge, case]]","[[charger theres charge case, 0.1779, 4]]"
B00TUMML4M,[0.5423],[5],"[[get, stepkids, cell, phone, need, charger, home, price, charger, store, work, oem, one, value]]","[[get stepkids cell phone need charger home price charger store work oem one value, 0.5423, 5]]"
B00TZ711KW,"[0.5256, 0.3716, 0.714, 0.6249]","[5, 5, 5, 5]","[[get, stuff, tablet, decide, order, phone, work, purchase, tablet, year, screen, look], [screen, protector, well, one, ive, use, end, youre, go, bubble, pocket, screen, feel, look, device, buy, matte, thought, mess, visibility, email, armorsuit, set, exchange, clear, problem, pay, shipping, address], [buy, brand, apply, bubble, tablet, br, recommend], [use, armorsuit, phone, wife, phone, product, great, priceeasy, install, video, need, help, simple, wont, need]]","[[get stuff tablet decide order phone work purchase tablet year screen look, 0.5256, 5], [screen protector well one ive use end youre go bubble pocket screen feel look device buy matte thought mess visibility email armorsuit set exchange clear problem pay shipping address, 0.3716, 5], [buy brand apply bubble tablet br recommend, 0.714, 5], [use armorsuit phone wife phone product great priceeasy install video need help simple wont need, 0.6249, 5]]"
B00U25U6TI,[0.6369],[5],[[case]],"[[case, 0.6369, 5]]"
B00U6THFT4,[0.9301],[5],"[[case, awesome, look, feel, hand]]","[[case awesome look feel hand, 0.9301, 5]]"
B00U8RJV14,"[0.1901, 0.0]","[3, 4]","[[watch, video, snap, install], [buy, matte, finish, item, prefer, get, matte, antiglarr]]","[[watch video snap install, 0.1901, 3], [buy matte finish item prefer get matte antiglarr, 0.0, 4]]"
B00UD0UUK2,[0.0],[5],"[[meet, expectation]]","[[meet expectation, 0.0, 5]]"
B00UHBUESK,[0.2732],[1],"[[get, pay, super, cheap, broke, day]]","[[get pay super cheap broke day, 0.2732, 1]]"
B00UNL1MUI,"[0.0258, -0.5499]","[2, 2]","[[want, product, recognize, location, key, give, delay, response, lose], [caution, buy, use, rd, party, return, reason, top, beacon, claim, iphone, app, locate, beacon, reason, ui, clunky, unintuitive, great, idea, time]]","[[want product recognize location key give delay response lose, 0.0258, 2], [caution buy use rd party return reason top beacon claim iphone app locate beacon reason ui clunky unintuitive great idea time, -0.5499, 2]]"
B00UV0C36S,[-0.658],[1],"[[useless, protect, privacy, screen, make, use]]","[[useless protect privacy screen make use, -0.658, 1]]"
B00V21H0CW,[0.4754],[5],[[unit]],"[[unit, 0.4754, 5]]"
B00V3M4HNU,[0.765],[5],"[[case, great, look, picture, everything]]","[[case great look picture everything, 0.765, 5]]"
B00V48XSZQ,"[-0.6007, 0.6486, 0.0, 0.0]","[1, 4, 3, 5]","[[crack], [item, describe], [way, apply, wish, reach, corner], [buy, protector, iphone, screen, break, protector, use, recommend, product]]","[[crack, -0.6007, 1], [item describe, 0.6486, 4], [way apply wish reach corner, 0.0, 3], [buy protector iphone screen break protector use recommend product, 0.0, 5]]"
B00VKPS4X4,[0.4588],[5],[[case]],"[[case, 0.4588, 5]]"
B00VM4CAVK,"[0.6249, 0.7855, -0.1531]","[5, 5, 1]","[[im, use, case, note, edge, dont, plan, replace, time, hold, card, slot, couple, bill, receipt, inside, add, size, phone, fit, jean, pocket, anymore, stop, try, magnet, button, slim, magnet, seem, test, limit, recommend, case], [case, crackingand, fall, apart], [awesome]]","[[im use case note edge dont plan replace time hold card slot couple bill receipt inside add size phone fit jean pocket anymore stop try magnet button slim magnet seem test limit recommend case, 0.6249, 5], [case crackingand fall apart, 0.7855, 5], [awesome, -0.1531, 1]]"
B00VNQDSGS,[0.5098],[3],"[[thing, pen, got, pink, picture, br, br, cover, quality]]","[[thing pen got pink picture br br cover quality, 0.5098, 3]]"
B00VS1K2IK,[0.0387],[1],"[[sell, apple, mfi, certify, box, indication, isbr, tell, sure, recognize, ipad, air, charge]]","[[sell apple mfi certify box indication isbr tell sure recognize ipad air charge, 0.0387, 1]]"
B00VSYEI6E,[0.6697],[5],[[love]],"[[love, 0.6697, 5]]"
B00VX8DAO6,[-0.1531],[3],"[[look, photo, part, phone, slide, make, piece, break, stay, place, overall, okay]]","[[look photo part phone slide make piece break stay place overall okay, -0.1531, 3]]"
B00VYK2JPY,[-0.4767],[1],"[[make, glare, worse]]","[[make glare worse, -0.4767, 1]]"
B00VYSCSYS,[0.9096],[5],"[[feel, case, better, silicone, sleeve, use]]","[[feel case better silicone sleeve use, 0.9096, 5]]"
B00W586HV6,[0.296],[5],"[[buy, daughter, us, charge, cellphone, kinde, fire, hd, multiple, usb, charger, work, shes, issue, buy, color, pack, felt, price, work, design]]","[[buy daughter us charge cellphone kinde fire hd multiple usb charger work shes issue buy color pack felt price work design, 0.296, 5]]"
B00W5ZM9SO,"[0.7178, 0.8334, -0.2134]","[5, 5, 1]","[[alow, break, time, great, fidelity, super, microphone, clear], [earphone, bass, there, excellent, sound, isolation, thing, receive, plug, picture, bent], [side, bud, work, packaging, content, box, cord, tie, twist, tie, end, cut, heck, suppose, get, untie, minute, struggle, discover, non, function, head, phone]]","[[alow break time great fidelity super microphone clear, 0.7178, 5], [earphone bass there excellent sound isolation thing receive plug picture bent, 0.8334, 5], [side bud work packaging content box cord tie twist tie end cut heck suppose get untie minute struggle discover non function head phone, -0.2134, 1]]"
B00W71Z4II,[0.6908],[5],"[[otter, case, nice, slim, h]]","[[otter case nice slim h, 0.6908, 5]]"
B00WDGL0HG,[0.8373],[2],"[[fit, case, fine, cant, use, flash, photo, reason, im, give, star, part, picture, show, gold, color, smell, soak, dish, soap, water, couple, day, get, give, spent, make, wish, come, gold, white, photo, color]]","[[fit case fine cant use flash photo reason im give star part picture show gold color smell soak dish soap water couple day get give spent make wish come gold white photo color, 0.8373, 2]]"
B00WHCPCNO,[0.4215],[5],"[[nice, case]]","[[nice case, 0.4215, 5]]"
B00WIYUQW8,[0.9169],[5],"[[perfect, protector, install, temper, glass, allow, reinstall, want, perfect, fit]]","[[perfect protector install temper glass allow reinstall want perfect fit, 0.9169, 5]]"
B00WJYDQ9W,"[-0.6381, 0.5106, -0.1531, -0.5574, -0.4767, -0.6597, -0.5763, 0.431, 0.0, 0.9779, -0.773, 0.8014, -0.6377, -0.2263, 0.7184, -0.6369, 0.8126, 0.0521, -0.4215, -0.5808, -0.5423, 0.4404, 0.9153, 0.0, -0.6486, -0.4748, 0.6249, 0.7645]","[1, 1, 2, 2, 1, 1, 2, 3, 2, 5, 1, 1, 1, 1, 5, 1, 4, 2, 1, 3, 1, 5, 5, 1, 1, 2, 5, 5]","[[work, okay, day, ear, piece, go, item, stop, work, return, problem], [complaint, call, recipient, doesnt, work], [sound, quality, headphone, perfect, make, call, people], [bud, stop, work, couple, day, case, came, plug, expose, wire, use, bud, came, phone, last, year, lose], [zero, star, te, earbuds, work, box, waste, og, time, money], [broke, month, sound, quality, wasnt, good, either], [bud, die, day, buy, product], [sound, good, microphone, horrid, everybody, call, say, sound, muffle, buy, phone, use], [headphone, last, week, shorting, give, zero, rating], [use, workout, neck, strap, good, idea, sound, adjustment, work, great], [product, stop, work, day, recieved], [headphone, blow, day, son, use, buy], [earbuds, great, sound, control, volume, piece, downside, seems, instance, walk, talking, phone, piece, brush, chest, create, noise, make, difficult, conversation, nightmare, automate, system, youre, go, phone, try], [poor, quality, dont, stay, fit, ear], [bud, work, didnt, work, dissapointed], [son, take, care, earphone, white, thing, attache, insert, phone, break, left, earhone, work, anymore, happy, purchase], [bud, stop, work, day], [decent, bass], [think, mine, break, frequency, didnt, come, sent, mine], [earphone, low, volume, hurt, ear], [well, earbuds], [work, great], [value, pay, use, old, ipod, listen, musicpodcasts, volume, control, use, sliding, bar, button, apple, oem, earbuds, pause, button, work, describe, surprise, volume, control, pause, button, work, galaxy, phone, buy], [spare, headphone], [terriblebr, break, monthsbr, buy, headphone, price, last, longer, thesebr, weeks, volume, super, lowbr, barley, hear, super, disappointedbr, convince, review, fakebr, waste, money], [quality, pair, buy, sound, earphone], [search, earphone, use, didnt, want, look, weird, wear, beat, time, decide, take, risk, buy, end, feel, risk, worth, take, surprise, sound, quality, earphone, get, think, look, bit, cheap, version, apple, earpods, say, earphone, quality, sound, use, time, skype, build, listening, music, way, work, take, walk, arent, beat, course, person, bit, bass, sound, earphone, job, please, choose, earbuds, im, reviewer, complain, break, mine, fine, think, earbudsheadphones, handle, care, watch, cord, get, maximum, life, buy, earbuds, thing, reviewer, mention, earphone, youre, talk, phone, use, voice, call, service, hit, something, clothe, make, bit, difficult, person, hear, sound, quality, great, touching], [get, earphone, week, break, volume, controller, backing, come, apart, regardless, try, wont, fit, start, g, membrane, earphone, crackle, move, make, listening, experience, expect, star, amazon, product, case]]","[[work okay day ear piece go item stop work return problem, -0.6381, 1], [complaint call recipient doesnt work, 0.5106, 1], [sound quality headphone perfect make call people, -0.1531, 2], [bud stop work couple day case came plug expose wire use bud came phone last year lose, -0.5574, 2], [zero star te earbuds work box waste og time money, -0.4767, 1], [broke month sound quality wasnt good either, -0.6597, 1], [bud die day buy product, -0.5763, 2], [sound good microphone horrid everybody call say sound muffle buy phone use, 0.431, 3], [headphone last week shorting give zero rating, 0.0, 2], [use workout neck strap good idea sound adjustment work great, 0.9779, 5], [product stop work day recieved, -0.773, 1], [headphone blow day son use buy, 0.8014, 1], [earbuds great sound control volume piece downside seems instance walk talking phone piece brush chest create noise make difficult conversation nightmare automate system youre go phone try, -0.6377, 1], [poor quality dont stay fit ear, -0.2263, 1], [bud work didnt work dissapointed, 0.7184, 5], [son take care earphone white thing attache insert phone break left earhone work anymore happy purchase, -0.6369, 1], [bud stop work day, 0.8126, 4], [decent bass, 0.0521, 2], [think mine break frequency didnt come sent mine, -0.4215, 1], [earphone low volume hurt ear, -0.5808, 3], [well earbuds, -0.5423, 1], [work great, 0.4404, 5], [value pay use old ipod listen musicpodcasts volume control use sliding bar button apple oem earbuds pause button work describe surprise volume control pause button work galaxy phone buy, 0.9153, 5], [spare headphone, 0.0, 1], [terriblebr break monthsbr buy headphone price last longer thesebr weeks volume super lowbr barley hear super disappointedbr convince review fakebr waste money, -0.6486, 1], [quality pair buy sound earphone, -0.4748, 2], [search earphone use didnt want look weird wear beat time decide take risk buy end feel risk worth take surprise sound quality earphone get think look bit cheap version apple earpods say earphone quality sound use time skype build listening music way work take walk arent beat course person bit bass sound earphone job please choose earbuds im reviewer complain break mine fine think earbudsheadphones handle care watch cord get maximum life buy earbuds thing reviewer mention earphone youre talk phone use voice call service hit something clothe make bit difficult person hear sound quality great touching, 0.6249, 5], [get earphone week break volume controller backing come apart regardless try wont fit start g membrane earphone crackle move make listening experience expect star amazon product case, 0.7645, 5]]"
B00WSLDQ9G,[0.0],[1],"[[didnt, work]]","[[didnt work, 0.0, 1]]"
B00WUO1Q3E,[0.3612],[1],"[[drop, phone, phone, get, dent, itdoesnt, fit]]","[[drop phone phone get dent itdoesnt fit, 0.3612, 1]]"
B00WZXWR2O,[0.6249],[5],[[product]],"[[product, 0.6249, 5]]"
B00X4O8HPE,[0.8714],[5],"[[cool, cool, case, fix]]","[[cool cool case fix, 0.8714, 5]]"
B00XI381N4,[0.882],[5],"[[excellent, rating, accurate, state, performance]]","[[excellent rating accurate state performance, 0.882, 5]]"
B00XJ1SIGK,"[0.1366, 0.9686, 0.4215]","[1, 5, 5]","[[resize, tool, joke, end, bend, pin, jeweler, want, fix, band, pay, get, band, market, band], [buy, apple, watch, band, oittm, husband, want, change, style, standard, apple, watch, band, modern, soon, get, love, stop, thanking, bang, make, nice, stainless, steel, feel, weight, clasp, lock, unlock, husband, love, recommend, anybody, look, watch, band], [save, get, apple, band]]","[[resize tool joke end bend pin jeweler want fix band pay get band market band, 0.1366, 1], [buy apple watch band oittm husband want change style standard apple watch band modern soon get love stop thanking bang make nice stainless steel feel weight clasp lock unlock husband love recommend anybody look watch band, 0.9686, 5], [save get apple band, 0.4215, 5]]"
