3056514185,[0.0],[5],"[[el, futuro, baby, boy]]","[[el futuro baby boy, 0.0, 5]]"
B0055AGUMW,[0.296],[4],"[[ok, job]]","[[ok job, 0.296, 4]]"
B005GNTE4O,[0.6249],[5],[[awesome]],"[[awesome, 0.6249, 5]]"
B005IFWABE,[0.0],[5],"[[bundle, metra, axxess, aswc, universal, steer, wheel, control, interfance, product, description, chevrolet, cruze, steer, wheel, control, need, metra, axxess, aswc, universal, steer, wheel, control, interfance]]","[[bundle metra axxess aswc universal steer wheel control interfance product description chevrolet cruze steer wheel control need metra axxess aswc universal steer wheel control interfance, 0.0, 5]]"
B0068AESPE,[0.3291],[1],"[[order, install, front, fairing, kawasaki, nomad, want, see, get, bit, base, direct, flow, indicate, forum, post, trim, bit, fit, ok, otherwise, nothing, level, change, music, nothing, mold, foam]]","[[order install front fairing kawasaki nomad want see get bit base direct flow indicate forum post trim bit fit ok otherwise nothing level change music nothing mold foam, 0.3291, 1]]"
B006AUZYMS,[0.996],[5],"[[receive, phone, day, need, refurbish, phone, excellent, condition, scratch, sign, use, come, box, accessory, slip, own, att, sim, card, break, phone, replacing, slot, voila, business, didnt, need, contact, att, unlock, register, anything, online, etc, work, period, set, service, unite, state, east, thanks, excellent, service, perfect, product, please, advise, want, check, im, phone, work, att, plan, tmobile, tell, skyrocket, version, galaxy, att, confident, work, great, att, network, cell, carrier, call, ask, skyrocket, activate, network, im, answer, hope, help, anyone, interest]]","[[receive phone day need refurbish phone excellent condition scratch sign use come box accessory slip own att sim card break phone replacing slot voila business didnt need contact att unlock register anything online etc work period set service unite state east thanks excellent service perfect product please advise want check im phone work att plan tmobile tell skyrocket version galaxy att confident work great att network cell carrier call ask skyrocket activate network im answer hope help anyone interest, 0.996, 5]]"
B006IAO3LI,[0.7178],[5],"[[love, power, bank, charge, phone, help, keep, customer, business]]","[[love power bank charge phone help keep customer business, 0.7178, 5]]"
B006ZOW1U2,[0.8316],[5],"[[fit, vii]]","[[fit vii, 0.8316, 5]]"
B0082YVBWW,[0.5584],[5],"[[sick, fumble, try, plug, iphone, night, thing, great, lay, pad, charge, phone, battery, power, pack, come, handy, even, buy]]","[[sick fumble try plug iphone night thing great lay pad charge phone battery power pack come handy even buy, 0.5584, 5]]"
B008435JMO,[0.6249],[5],"[[work, great, use, month]]","[[work great use month, 0.6249, 5]]"
B0087BYF3M,[0.0],[4],"[[fit, suppose]]","[[fit suppose, 0.0, 4]]"
B008A30PY0,[-0.5111],[4],"[[cant, beat, price, love, death, work, drop, keep, phone, safe, flower, rub, make, sad, like, flower, last, month, rub, held, phone, say, goodbye]]","[[cant beat price love death work drop keep phone safe flower rub make sad like flower last month rub held phone say goodbye, -0.5111, 4]]"
B008NFN33U,[0.664],[3],"[[kind, cheap, side, rest, cute]]","[[kind cheap side rest cute, 0.664, 3]]"
B008O5BI54,"[0.7964, 0.7159, 0.8121, 0.7269, 0.0, 0.8934, 0.0, 0.8399, 0.0, 0.0]","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[[work], [receive, want, need], [otter, box, awesome, great, fit], [peices, insurance, iphone, biker, phone, lifeline, worn, box, recommend, product, manufacturer, sure, ur, order, otter, box, knock], [fit], [fit, glove, deliveryas, advertise, happy], [receive, want], [save, lot, money, purchase, store, shipping, cant, beat], [purchase, friend, love], [look]]","[[work, 0.7964, 5], [receive want need, 0.7159, 5], [otter box awesome great fit, 0.8121, 5], [peices insurance iphone biker phone lifeline worn box recommend product manufacturer sure ur order otter box knock, 0.7269, 5], [fit, 0.0, 5], [fit glove deliveryas advertise happy, 0.8934, 5], [receive want, 0.0, 5], [save lot money purchase store shipping cant beat, 0.8399, 5], [purchase friend love, 0.0, 5], [look, 0.0, 5]]"
B008Q24UNM,[-0.4019],[1],"[[brand, week, problem, send]]","[[brand week problem send, -0.4019, 1]]"
B008VMKMFW,[0.4404],[1],"[[month, bottom, fell, dont, work, isnt, make, connection, junk]]","[[month bottom fell dont work isnt make connection junk, 0.4404, 1]]"
B0092AXM36,[0.1265],[2],"[[color, wasnt, piece, woulnt, stay]]","[[color wasnt piece woulnt stay, 0.1265, 2]]"
B009NRHTL4,"[0.34, -0.3412]","[2, 3]","[[dont, stay, want, make]]","[[dont stay want make, 0.34, 2], [, -0.3412, 3]]"
B009QVDWD6,[0.3182],[4],"[[battery, evaluation, incorrect, cell, phone, wet, inaccurate, operation]]","[[battery evaluation incorrect cell phone wet inaccurate operation, 0.3182, 4]]"
B009XDTN80,[-0.0062],[3],"[[say, iphone, sure, thing, good, bc, im, android, buy, android, version, return, bc, support, apps, use, runkeeper, strava, go, tikr]]","[[say iphone sure thing good bc im android buy android version return bc support apps use runkeeper strava go tikr, -0.0062, 3]]"
B00A3NI8ZI,[-0.4215],[2],"[[broke, try, take]]","[[broke try take, -0.4215, 2]]"
B00AAZ8OS0,"[0.5563, 0.6249]","[5, 5]","[[stuff], [simple, design, appropriate, price, pair, dashboard, mount, company, sturdy]]","[[stuff, 0.5563, 5], [simple design appropriate price pair dashboard mount company sturdy, 0.6249, 5]]"
B00ADGY1GU,"[0.4019, 0.0]","[5, 3]","[[screen, flash, see], [yes]]","[[screen flash see, 0.4019, 5], [yes, 0.0, 3]]"
B00AMQZV9W,[-0.8481],[1],"[[joke, melt, product, return, break, belt, clip, break, case, crack, im, piss]]","[[joke melt product return break belt clip break case crack im piss, -0.8481, 1]]"
B00ATGJ1QO,[0.8211],[5],"[[nice, love]]","[[nice love, 0.8211, 5]]"
B00BGKQHQ4,"[0.966, -0.7835, 0.5006]","[2, 2, 4]","[[cd, player, middle, dash, put, mount, distance, driver, line, sight, dog, bone, extension, arm, provide, range, adjustment, find, garmin, mm, ball, extension, amplify, leverage, gps, mount, flex, morebr, br, comment, reviewer, mine, label, make, usa, soft, strip, portion, assist, stability, add, piece, selffusing, rubber, tape, upper, portion, mount, car, cd, player, slot, use, garmin, nuvi, sign, flex, location, sunlight], [doesnt, fit, slot, great, shake, lot, fav], [mount, isnt, thingsbr, br, fell, day, couple, hour, instal, iton, smooth, florida, road, highway, drive, make, tighter, instal, time, hold, well, seem, secure, remove, today, loosen, screw, pull, slid, br, know, obscure, cd, slot, didnt, mind, dont, use, cd, player, hop, wouldnt, obscure, rest, radio, gps, place, cant, see, radio, display, get, button, time, adjust, volume, knobbr, br, wedge, mold, selling, ten, buck, twentyfivebr, br, sum, neat, idea, doesnt, work, isnt, worth, price, go, better, luck, cupholder, mount, ten, buck, btw]]","[[cd player middle dash put mount distance driver line sight dog bone extension arm provide range adjustment find garmin mm ball extension amplify leverage gps mount flex morebr br comment reviewer mine label make usa soft strip portion assist stability add piece selffusing rubber tape upper portion mount car cd player slot use garmin nuvi sign flex location sunlight, 0.966, 2], [doesnt fit slot great shake lot fav, -0.7835, 2], [mount isnt thingsbr br fell day couple hour instal iton smooth florida road highway drive make tighter instal time hold well seem secure remove today loosen screw pull slid br know obscure cd slot didnt mind dont use cd player hop wouldnt obscure rest radio gps place cant see radio display get button time adjust volume knobbr br wedge mold selling ten buck twentyfivebr br sum neat idea doesnt work isnt worth price go better luck cupholder mount ten buck btw, 0.5006, 4]]"
B00C595QW6,[0.6249],[5],[[awesome]],"[[awesome, 0.6249, 5]]"
B00C9TM8WI,[0.0],[1],"[[design, peel, month]]","[[design peel month, 0.0, 1]]"
B00CBO0HGK,[0.91],[5],"[[box, make, smaller, inside, advertise, wich, work, alpine, swsd, sub, use, add, board, inside, make, inside, meet, alpine, recommend, spec, connection, nice, dont, know, ask, nicer, box, price, look, nice, box, cost, twice]]","[[box make smaller inside advertise wich work alpine swsd sub use add board inside make inside meet alpine recommend spec connection nice dont know ask nicer box price look nice box cost twice, 0.91, 5]]"
B00CD0M0PS,[0.6249],[5],"[[price, ship]]","[[price ship, 0.6249, 5]]"
B00CK6KT6C,[0.3182],[5],"[[cool, product]]","[[cool product, 0.3182, 5]]"
B00CMLD5YI,[-0.5491],[1],"[[disappoint, upset, listen, use, headphone, noise, talk, somebody, person, hear, couldnt, return, throw, box]]","[[disappoint upset listen use headphone noise talk somebody person hear couldnt return throw box, -0.5491, 1]]"
B00DFPQ6IW,"[0.8268, 0.4404]","[5, 5]","[[buy, son, love, happy], [quality]]","[[buy son love happy, 0.8268, 5], [quality, 0.4404, 5]]"
B00DULPHDG,[0.6369],[5],"[[ship, fit, phone]]","[[ship fit phone, 0.6369, 5]]"
B00EAA5J84,"[0.6369, 0.891, -0.1027]","[5, 5, 3]","[[take], [use, case, great, protection, great, value, money], [expect]]","[[take, 0.6369, 5], [use case great protection great value money, 0.891, 5], [expect, -0.1027, 3]]"
B00EK80GWK,[-0.2755],[1],[[fit]],"[[fit, -0.2755, 1]]"
B00EPBY2LI,"[-0.1027, 0.8172, 0.7717, 0.0]","[5, 4, 5, 1]","[[lose], [nice, replacement, cap, fit, way, cap, glad, find, cap, nice, replacement], [fit, band]]","[[lose, -0.1027, 5], [nice replacement cap fit way cap glad find cap nice replacement, 0.8172, 4], [fit band, 0.7717, 5], [, 0.0, 1]]"
B00EUQBIUQ,[0.8357],[4],"[[gift, recipient, please, he, outdoor, kinda, guy, wood, grain, nice, option, wood]]","[[gift recipient please he outdoor kinda guy wood grain nice option wood, 0.8357, 4]]"
B00EV8Y8M8,[0.7579],[5],"[[look, amaze, nexus, get, afford]]","[[look amaze nexus get afford, 0.7579, 5]]"
B00EZHK8CY,"[0.9474, -0.7351, 0.0]","[5, 4, 4]","[[product, expect, ship, product], [price, fit, look, pink, isnt, picture, excellent, product, delivery, faster, expect], [hesitation, give, star, think, color, darker, person, photo, look, red, pink, person, pink, complaint, product, service]]","[[product expect ship product, 0.9474, 5], [price fit look pink isnt picture excellent product delivery faster expect, -0.7351, 4], [hesitation give star think color darker person photo look red pink person pink complaint product service, 0.0, 4]]"
B00F00B9A0,"[0.7176, 0.9412]","[5, 5]","[[smartest, purchase, make, amaze, needing, charge, iphone, use, device, dealt, jackery, customer, service, charger, charge, power, version, recommend, company], [jackery, junkie, batteries, bone, electronics, newest, collection, fail, law, enforcement, officer, spends, lot, time, foot, plug, phone, office, car, say, need, something, charge, iphone, otterbox, resurgence, power, house, kill, phone, resurgence, day, pack, bring, life, thingbr, br, go, recommend, device, pocket, power, need, add, bonus, put, device]]","[[smartest purchase make amaze needing charge iphone use device dealt jackery customer service charger charge power version recommend company, 0.7176, 5], [jackery junkie batteries bone electronics newest collection fail law enforcement officer spends lot time foot plug phone office car say need something charge iphone otterbox resurgence power house kill phone resurgence day pack bring life thingbr br go recommend device pocket power need add bonus put device, 0.9412, 5]]"
B00F3H4X6C,[0.6249],[5],"[[cool, nice]]","[[cool nice, 0.6249, 5]]"
B00F4B2NDC,[-0.6381],[1],"[[case, nothing, picture, youll, receive, shiny, case, return]]","[[case nothing picture youll receive shiny case return, -0.6381, 1]]"
B00F4IXUXC,[0.6652],[5],"[[black, part, broke, man, fall, break, phone, love, got, phone, last, moment, buy, phone, day, switch, samsung, case, screen, stand, come]]","[[black part broke man fall break phone love got phone last moment buy phone day switch samsung case screen stand come, 0.6652, 5]]"
B00FFZD2MS,"[0.1779, -0.296, -0.5413, 0.2382]","[1, 1, 3, 1]","[[item, otterbox, suppose, week, use, put, phone, jacket, pocket, purse, screen, fell, receiver, membrane, longer, protect, get, hole, case, leak, course, happen, day, return, window, close, disappoint], [case, good, drop, bring, water, hole, bottom, charger, go], [buy, case, hear, otter, box, phone], [cant, use, make, sound, muffle, talk]]","[[item otterbox suppose week use put phone jacket pocket purse screen fell receiver membrane longer protect get hole case leak course happen day return window close disappoint, 0.1779, 1], [case good drop bring water hole bottom charger go, -0.296, 1], [buy case hear otter box phone, -0.5413, 3], [cant use make sound muffle talk, 0.2382, 1]]"
B00G9I239S,[0.9758],[5],"[[unu, battery, case, iphone, phone, phone, well, retainer, piece, break, replace, wish, make, stronger, material, hope, better, luck, say, greatest, battery, case, see, charge, platform, awesome]]","[[unu battery case iphone phone phone well retainer piece break replace wish make stronger material hope better luck say greatest battery case see charge platform awesome, 0.9758, 5]]"
B00GBRAN1M,[0.2732],[5],"[[awesome, size, connector, defect, take, time, day, expect]]","[[awesome size connector defect take time day expect, 0.2732, 5]]"
B00GCBPUNI,[-0.5849],[1],"[[work, day, call, vender, replace, work, week, wont, work, poor, quality, take, case, wont, charge, phone, case]]","[[work day call vender replace work week wont work poor quality take case wont charge phone case, -0.5849, 1]]"
B00GRS4IZW,"[-0.4588, 0.6369, 0.8412, 0.7469, 0.3612]","[1, 4, 4, 5, 5]","[[nice, inexpensive, stand, tablet, take, deliver, shipping, stand, star], [nice, design, fold, compose, rubber, coat, chrome, rod, piece, position, viewing, angle, create, size, tablet, phone, lightweight, compact, use, device, make, alignment, adjustment, bend, frame, finger, rock, piece, planar, pivot, point, recommend, device, work, year, tablet, shape, thickness, hold, book, plate, dr], [stand, stink, doesnt, stay, keep, fall, time, attempt, set, get, pay], [hold, phone, ipad, work, wonderful, reorder, want, believe, work]]","[[nice inexpensive stand tablet take deliver shipping stand star, -0.4588, 1], [nice design fold compose rubber coat chrome rod piece position viewing angle create size tablet phone lightweight compact use device make alignment adjustment bend frame finger rock piece planar pivot point recommend device work year tablet shape thickness hold book plate dr, 0.6369, 4], [stand stink doesnt stay keep fall time attempt set get pay, 0.8412, 4], [hold phone ipad work wonderful reorder want believe work, 0.7469, 5], [, 0.3612, 5]]"
B00GTIWC7Q,[-0.1419],[1],"[[case, fit, stone, start, fall, case]]","[[case fit stone start fall case, -0.1419, 1]]"
B00GYPCV48,[-0.8225],[1],"[[hopeless, product, way, repair, fix, problem, onoff, switch, get, break, land, problem, drive, car, highway]]","[[hopeless product way repair fix problem onoff switch get break land problem drive car highway, -0.8225, 1]]"
B00H0L5JGC,[0.4284],[5],"[[work, fine, dont, make, mistake, make, youll, notice, there, protective, film, front, glass, thats, didnt, notice, reassemble, phone, film, inside, side, glass, phone, remove, plastic, film, phone, phew]]","[[work fine dont make mistake make youll notice there protective film front glass thats didnt notice reassemble phone film inside side glass phone remove plastic film phone phew, 0.4284, 5]]"
B00HF7VB7C,[0.6486],[4],"[[cool, cute, case]]","[[cool cute case, 0.6486, 4]]"
B00HL0AG9C,[-0.4215],[1],"[[case, break, time, put, phone, held, hot, glue]]","[[case break time put phone held hot glue, -0.4215, 1]]"
B00HZD3VGU,[0.6249],[5],"[[receive, set, sound]]","[[receive set sound, 0.6249, 5]]"
B00I9ASJL0,"[0.6908, 0.4404]","[5, 4]","[[nice, stereo, good, price], [remote, half, size, thats, otherwise, good, deal]]","[[nice stereo good price, 0.6908, 5], [remote half size thats otherwise good deal, 0.4404, 4]]"
B00I9KKAIU,[0.0],[5],"[[case, ive, purchase, fall, apart, ive, year]]","[[case ive purchase fall apart ive year, 0.0, 5]]"
B00IDHEIAK,[0.7473],[4],"[[pick, unit, replace, older, pac, unit, longer, pioneer, nex, radio, simple, installation, issue, auto, programming, didnt, seem, work, program, everything, work, fine, solid, unit, recommend, pick, steering, wheel, control, compatibility]]","[[pick unit replace older pac unit longer pioneer nex radio simple installation issue auto programming didnt seem work program everything work fine solid unit recommend pick steering wheel control compatibility, 0.7473, 4]]"
B00IJ4A1R6,[0.6597],[5],"[[installation, battery, continue, work, garmin]]","[[installation battery continue work garmin, 0.6597, 5]]"
B00IY9K72K,"[0.7184, 0.6249, 0.6705, -0.796, 0.7003]","[4, 5, 5, 1, 4]","[[product, work, advertise, piece, feedback, european, connection, bit, flimsy, european, plug, inlay, circle, connection, prong, converter, square, try, fit, square, peg, round, hole, cause, hinge, european, connector, flex, move, lose, current, connect, something, heavy, macbook, charger, ac, dc, converterbr, br, say, im, happy, purchase, typing, charge, laptop, battery], [use, device, night, europe, charge, phone, th, day, outlet, prong, snap, render, useless, course, time, get, return, unhappy, buy, product], [understand, voltage, converter, convert, socket, type, country], [slide, country, plug, awkward, time, time, tool, bring, love, usb, port, plug, apple, product, usb, port, competition, problem, ive, identify, adaptor, issue, product, order, make, use]]","[[product work advertise piece feedback european connection bit flimsy european plug inlay circle connection prong converter square try fit square peg round hole cause hinge european connector flex move lose current connect something heavy macbook charger ac dc converterbr br say im happy purchase typing charge laptop battery, 0.7184, 4], [use device night europe charge phone th day outlet prong snap render useless course time get return unhappy buy product, 0.6249, 5], [understand voltage converter convert socket type country, 0.6705, 5], [slide country plug awkward time time tool bring love usb port plug apple product usb port competition problem ive identify adaptor issue product order make use, -0.796, 1], [, 0.7003, 4]]"
B00J9TC1T6,"[0.8689, 0.743]","[5, 5]","[[iphone, bulky, son, phone], [case, dont, listen, slippery, review, rubber, edge, whole, way, nice, grippy, smooth, clean, lightweight]]","[[iphone bulky son phone, 0.8689, 5], [case dont listen slippery review rubber edge whole way nice grippy smooth clean lightweight, 0.743, 5]]"
B00JC9M4K4,[0.0479],[3],"[[ship, love, case, frost, pink, side, case, broke, day, came, bent, sideways]]","[[ship love case frost pink side case broke day came bent sideways, 0.0479, 3]]"
B00JGTDKY4,"[0.0772, 0.4404]","[1, 5]","[[thanks], [say, lifetime, warranty, say, b, didnt, year, start, peel, went, see, replacement, want, send, send, eff, cheaper, buy]]","[[thanks, 0.0772, 1], [say lifetime warranty say b didnt year start peel went see replacement want send send eff cheaper buy, 0.4404, 5]]"
B00JK70KUY,[0.8442],[4],"[[sturdy, cell, phone, size, phablets, use, baby, crib, smartphone, baby, monitor, app, clip, sometimes, use, star]]","[[sturdy cell phone size phablets use baby crib smartphone baby monitor app clip sometimes use star, 0.8442, 4]]"
B00JP6YDXK,"[0.296, 0.6369]","[5, 5]","[[phone], [ok]]","[[phone, 0.296, 5], [ok, 0.6369, 5]]"
B00JQH4N1K,[-0.4159],[1],"[[keep, turn, second, keep, turn, idk]]","[[keep turn second keep turn idk, -0.4159, 1]]"
B00JSSNLMY,[0.8591],[4],"[[want, work, walk, need, hand]]","[[want work walk need hand, 0.8591, 4]]"
B00JV6NW2M,[0.0],[4],"[[need, arrive, time]]","[[need arrive time, 0.0, 4]]"
B00JYKGAC4,"[0.6908, 0.7712, 0.9674]","[5, 4, 5]","[[case, slim, great, grip, rugged, pattern, see, bumper, corner, drop, phone, case, snug, fit, buy], [case, help, drop, phone, whats, well, fit, case, keep, protection, concern, case, make, volume, button, push], [nice, look, case, seems, essential, protection, mishap, test, effectiveness, hope]]","[[case slim great grip rugged pattern see bumper corner drop phone case snug fit buy, 0.6908, 5], [case help drop phone whats well fit case keep protection concern case make volume button push, 0.7712, 4], [nice look case seems essential protection mishap test effectiveness hope, 0.9674, 5]]"
B00K4NVS86,"[0.8847, 0.9381, 0.8966, 0.8475, 0.9691, 0.8566, 0.5155, 0.9847, 0.7938]","[5, 5, 5, 5, 5, 5, 5, 5, 4]","[[pleasant, surprise, easy, use, perfect, size, hold, delivery, amazing, recommend, anyone, look, quality, thank, youbr, carolanne], [stylus, use, bit, post, revise, review, use, seem, quality, light, weight, ipad, read], [unique, metal, mesh, tip, scratch, screen, find, ipad, well, tip, use, hour, far, ], [receive, yesterday, prefer, tip, rubber, tip, end, glide, seem, fact, change, tip, entire, stylus, plus, price, compare, pay, store, good, quality, stylus], [tip, thing, dont, get, stuck, smudge, glide, screen, use, class, bonus, extra, pen, tip, lanyard, attache, pen, headphone, jack], [stylus, slide, screen, binding, feel, feel, rubber, tip], [stylus, convenient, size, hand, feel, alsobr, br, minor, complaint, tip, include, spare, tip, retractablebr, br, stylus, use, point, use, use, think, great, set, order, set, swede, vendor], [tip, stylus, move, class, ipad, dont, worry, scratch, dont, press, rubber, tip, one, longer, course, get, replacement, tip, wear], [stylus, wife, use, tablet, stylus, rubber, tip, one, fall, apart, month, look, brand, wouldnt, call, heavy, heavier, cheapy, stylus, pen, straw, extra, tip, come, wife, let, get, loose, fall, dont, see, wear, wear, concern, metal, mesh, scratch, dont, string, come, come, wife, wouldnt, lose, others, string, work, greatbr, swede, product, quality, extra, stuff, wouldnt, buy, price, buy, swede, there, risk, value]]","[[pleasant surprise easy use perfect size hold delivery amazing recommend anyone look quality thank youbr carolanne, 0.8847, 5], [stylus use bit post revise review use seem quality light weight ipad read, 0.9381, 5], [unique metal mesh tip scratch screen find ipad well tip use hour far , 0.8966, 5], [receive yesterday prefer tip rubber tip end glide seem fact change tip entire stylus plus price compare pay store good quality stylus, 0.8475, 5], [tip thing dont get stuck smudge glide screen use class bonus extra pen tip lanyard attache pen headphone jack, 0.9691, 5], [stylus slide screen binding feel feel rubber tip, 0.8566, 5], [stylus convenient size hand feel alsobr br minor complaint tip include spare tip retractablebr br stylus use point use use think great set order set swede vendor, 0.5155, 5], [tip stylus move class ipad dont worry scratch dont press rubber tip one longer course get replacement tip wear, 0.9847, 5], [stylus wife use tablet stylus rubber tip one fall apart month look brand wouldnt call heavy heavier cheapy stylus pen straw extra tip come wife let get loose fall dont see wear wear concern metal mesh scratch dont string come come wife wouldnt lose others string work greatbr swede product quality extra stuff wouldnt buy price buy swede there risk value, 0.7938, 4]]"
B00K7NAERY,[0.5531],[5],"[[glad, get, case, empire, im, compliment, ill, get, soon]]","[[glad get case empire im compliment ill get soon, 0.5531, 5]]"
B00KEXUWQA,"[0.9538, 0.4404, 0.8832, 0.5106, 0.7269, 0.6369, 0.8674, -0.2934, 0.8655, 0.8442, 0.9509, 0.3612, 0.97, 0.311, 0.9224]","[5, 5, 5, 4, 4, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5]","[[make, job, im, use, moto, g, think, device, inch, moto, g, fit, armband], [expect, description, stay, place], [work, go, buy, armband, phone, recommend, stay, arm, slide], [using, armband, week, time, week, make, wish, purchase, product, sooner, oh, yeah, customer, service, awesome, receive, email, ask, receive, armband, follow, email, register, armband, lifetime, warranty, yes, lifetime, warranty, update, phone, purchase, spartanfive, provide, iphone, recommend, sport, armband, thank], [use, time, purchase, keep, phone, dry, dont, notice, arm, run, thanks], [nice, product, design, chafe, strap, overlap, worry, unfounded, o, happy, key, slot, slot, run, earpiece, wire, reason, remove, star, corner, slot, iphone, insert, rip, put, phone, minor, inconvenience, dont, think, detract, term, happen], [others, review, item, excellent, quality, try, arm, band, give, benchmark, way, well, nicer, feel, quality, workmanship, nice, feature, lb, give, puny, arm, cut, slot, didnt, arm, feel, value, cant, beat], [unit, describe, unsure, function, ipod, sleeve, receive, sleeve, rest, assure, bit, touch, screen, purchase, medium, size, unit, armband, fit, snug, move, run, working, weight, say, wish, purchase, arm, cord, issue, velcro, cord, holder, use, hold, waybr, solid, product, recommend, friend, look, something, similarbr, product, hold, ipod, iphone, place, dont, think, way, fall], [wife, difficult, time, finding, armband, fit, arm, medium, size, option, work, far, run, wife, please, armband, run, fit], [design, fit, phone, order, medium, base, arm, measurement, work, bare, arm, think, order, size, fall, weather, clothing], [iphone, fit, case, recommend, buy, upgrade, phone], [armband, ivebr, use, ipodiphones, fit, recommend], [look, huge, serf, purpose, phone, slide, open, stretch, get, phone, week, im, stretching, make, become, baggy], [armband, purchase, keep, sweat, phone], [armband, work, use, price, arrive, time, make]]","[[make job im use moto g think device inch moto g fit armband, 0.9538, 5], [expect description stay place, 0.4404, 5], [work go buy armband phone recommend stay arm slide, 0.8832, 5], [using armband week time week make wish purchase product sooner oh yeah customer service awesome receive email ask receive armband follow email register armband lifetime warranty yes lifetime warranty update phone purchase spartanfive provide iphone recommend sport armband thank, 0.5106, 4], [use time purchase keep phone dry dont notice arm run thanks, 0.7269, 4], [nice product design chafe strap overlap worry unfounded o happy key slot slot run earpiece wire reason remove star corner slot iphone insert rip put phone minor inconvenience dont think detract term happen, 0.6369, 5], [others review item excellent quality try arm band give benchmark way well nicer feel quality workmanship nice feature lb give puny arm cut slot didnt arm feel value cant beat, 0.8674, 5], [unit describe unsure function ipod sleeve receive sleeve rest assure bit touch screen purchase medium size unit armband fit snug move run working weight say wish purchase arm cord issue velcro cord holder use hold waybr solid product recommend friend look something similarbr product hold ipod iphone place dont think way fall, -0.2934, 4], [wife difficult time finding armband fit arm medium size option work far run wife please armband run fit, 0.8655, 5], [design fit phone order medium base arm measurement work bare arm think order size fall weather clothing, 0.8442, 5], [iphone fit case recommend buy upgrade phone, 0.9509, 5], [armband ivebr use ipodiphones fit recommend, 0.3612, 4], [look huge serf purpose phone slide open stretch get phone week im stretching make become baggy, 0.97, 5], [armband purchase keep sweat phone, 0.311, 5], [armband work use price arrive time make, 0.9224, 5]]"
