1948701847,[0.0],[1],[[work]],"[[work, 0.0, 1]]"
B00SXBSBR2,"[0.4215, 0.4404]","[3, 4]","[[fun, texture, color, use, month, crack, corner, damage, get, lot, comment, look], [case, nice, look]]","[[fun texture color use month crack corner damage get lot comment look, 0.4215, 3], [case nice look, 0.4404, 4]]"
B00SZ8VBKC,[0.3612],[5],[[thank]],"[[thank, 0.3612, 5]]"
B00TAQAO6A,[0.9136],[5],"[[tell, love, case, awesome, way, havent, drop, phone, im, sure, case, protect, fine]]","[[tell love case awesome way havent drop phone im sure case protect fine, 0.9136, 5]]"
B00TCL89V0,[0.8442],[5],"[[work, great, dust, particle, sure, screen, applying]]","[[work great dust particle sure screen applying, 0.8442, 5]]"
B00THYO9NE,[0.7003],[5],"[[want, fit, port, button, access, keep, touch]]","[[want fit port button access keep touch, 0.7003, 5]]"
B00TJHFKF0,[0.7351],[5],"[[cover, cover, ever, see, receive, comment, people, want, cover, iphone, doubt, fill, bill]]","[[cover cover ever see receive comment people want cover iphone doubt fill bill, 0.7351, 5]]"
B00TUM98M0,[0.7964],[5],"[[phone, usegreat, servicewill, buy, nokia, phone]]","[[phone usegreat servicewill buy nokia phone, 0.7964, 5]]"
B00TYTDO88,[0.7684],[5],"[[havent, drop, phone, attest, power, believe, otterbox, look]]","[[havent drop phone attest power believe otterbox look, 0.7684, 5]]"
B00U0ZZEXI,[0.1027],[4],"[[look, pictureand, come, estimate, time, frame, case, fit, samsung, snug, find, hole, charger, correct, position, cut, bit, longer, charge, phone, case]]","[[look pictureand come estimate time frame case fit samsung snug find hole charger correct position cut bit longer charge phone case, 0.1027, 4]]"
B00U2VLMQS,[0.6908],[5],"[[work, like, screen, protector]]","[[work like screen protector, 0.6908, 5]]"
B00U7OCQX8,[0.296],[3],"[[ok, product]]","[[ok product, 0.296, 3]]"
B00U9ZAN1C,[0.6369],[5],"[[come, time, fit, phone]]","[[come time fit phone, 0.6369, 5]]"
B00UISK856,[0.0],[3],"[[case, work]]","[[case work, 0.0, 3]]"
B00UJIHXJ4,[0.8176],[4],"[[come, strap, use, otherwise, love, case]]","[[come strap use otherwise love case, 0.8176, 4]]"
B00USZ2E4C,"[-0.5859, 0.0]","[5, 1]","[[didnt, work], [work, advertisedeven, back, iphone, problem]]","[[didnt work, -0.5859, 5], [work advertisedeven back iphone problem, 0.0, 1]]"
B00UT2AN7O,[0.5894],[5],"[[quality, magnet, clasp, work, made, cheap, cost, love, order, color]]","[[quality magnet clasp work made cheap cost love order color, 0.5894, 5]]"
B00UVXNTSG,[0.0],[5],"[[handy, trip]]","[[handy trip, 0.0, 5]]"
B00UWCN51M,[0.8709],[5],"[[look, galaxy, edge, fit, phone, edge, nice, pouch, look, fancy, thing, bought, plastic, protector, edge, wont, fit, go, recommend, need, pouch]]","[[look galaxy edge fit phone edge nice pouch look fancy thing bought plastic protector edge wont fit go recommend need pouch, 0.8709, 5]]"
B00V2H45KG,[0.4754],[5],"[[nice, case]]","[[nice case, 0.4754, 5]]"
B00V633A34,[0.9475],[4],"[[let, tell, watch, pro, amaze, fashion, statement, impress, everyone, see, con, get, ask, day, apple, watch, point, give, say, yes, month, ive, realise, thing, use, sit, wrist, look, non, function, easier, take, phone, whatever, need, watch, value, money]]","[[let tell watch pro amaze fashion statement impress everyone see con get ask day apple watch point give say yes month ive realise thing use sit wrist look non function easier take phone whatever need watch value money, 0.9475, 4]]"
B00V9R2722,"[0.6249, 0.9371]","[5, 5]","[[case, clean, come, photo], [item]]","[[case clean come photo, 0.6249, 5], [item, 0.9371, 5]]"
B00VN79LJ0,[0.9191],[5],"[[case, well, others, time, price, stand, engineer, look, iphone, ]]","[[case well others time price stand engineer look iphone , 0.9191, 5]]"
B00VUYS2BY,[0.6249],[5],"[[awesome, quality, workmanship, reserve, use, wear]]","[[awesome quality workmanship reserve use wear, 0.6249, 5]]"
B00W2W4LJU,"[0.631, 0.0068]","[5, 1]","[[product, sure, come, handy, forget, charge, phonebr, add, weight, phone, think, worth], [hope, device, iphone, battery, tends, lot, less, time, use, charge, travel, plan, stretch, limit, pack, nice, look, increase, size, iphone, carry, pocket, purchase, screen, protector, cover, anything, limit, damage, scratch, etc, screen, battery, pack, come, frame, fit, phone, keep, attach, battery, pack, review, indicate, installation, flimsy, fit, red, phone, battery, pack, manhandling, want, use, clear, reason, get, click, place, press, employ, teeth, pointbr, main, reason, star, review, get, work, phone, fit, device, charge, battery, use, supply, theory, move, charge, battery, pack, blue, light, indicate, charge, issue, come, want, test, battery, charge, capability, button, battery, need, press, second, initiate, charge, work, try, length, push, button, battery, pack, initiate, charge, disconnect, phone, removing, batter, pack, etc, reconnected, try, time, phone, start, charge, come, stop, charging, issue, button, matter, try, get, phone, stop, charge, point, get, disconnect, battery, pack, try, result, manage, get, start, get, stopbr, sure, faulty, hop, something, intend, way, work, acceptablebr, chance, contact, supplier, return, device, amazon, intend, daysbr, br, want, work, ala, carry, charge]]","[[product sure come handy forget charge phonebr add weight phone think worth, 0.631, 5], [hope device iphone battery tends lot less time use charge travel plan stretch limit pack nice look increase size iphone carry pocket purchase screen protector cover anything limit damage scratch etc screen battery pack come frame fit phone keep attach battery pack review indicate installation flimsy fit red phone battery pack manhandling want use clear reason get click place press employ teeth pointbr main reason star review get work phone fit device charge battery use supply theory move charge battery pack blue light indicate charge issue come want test battery charge capability button battery need press second initiate charge work try length push button battery pack initiate charge disconnect phone removing batter pack etc reconnected try time phone start charge come stop charging issue button matter try get phone stop charge point get disconnect battery pack try result manage get start get stopbr sure faulty hop something intend way work acceptablebr chance contact supplier return device amazon intend daysbr br want work ala carry charge, 0.0068, 1]]"
B00W3GOTWY,"[-0.1406, 0.6249, 0.4767, 0.5267, 0.0, 0.7936, -0.1531]","[2, 5, 1, 3, 1, 4, 1]","[[product], [get, pay, charge, turn, therefore, return], [ok, wish, longer, battery, life, need, charge], [okay, want, edit, review, business, doesnt, deserve, star, reviewbr, ill, start, say, return, wasnt, fault, time, think, wasbr, br, pro, sound, quality, greatbr, syncs, smart, phone, problembr, easy, configurebr, br, con, earsbr, doesnt, work, pc], [broke, keep, phone, whatever, device, headphone, annoy, recommend, armband, thing], [bluetooth, keep, disconnect], [sound, good, tends, break, stutter, lot, smooth, listening]]","[[product, -0.1406, 2], [get pay charge turn therefore return, 0.6249, 5], [ok wish longer battery life need charge, 0.4767, 1], [okay want edit review business doesnt deserve star reviewbr ill start say return wasnt fault time think wasbr br pro sound quality greatbr syncs smart phone problembr easy configurebr br con earsbr doesnt work pc, 0.5267, 3], [broke keep phone whatever device headphone annoy recommend armband thing, 0.0, 1], [bluetooth keep disconnect, 0.7936, 4], [sound good tends break stutter lot smooth listening, -0.1531, 1]]"
B00W51KRN2,"[0.9234, 0.8957, 0.7089, 0.4588, 0.6369]","[3, 5, 5, 4, 5]","[[nice, serve, purpose, safety, phone, aggregate, wood, didnt, shatter], [look, fit, pretty], [protects, phone], [case]]","[[nice serve purpose safety phone aggregate wood didnt shatter, 0.9234, 3], [look fit pretty, 0.8957, 5], [protects phone, 0.7089, 5], [case, 0.4588, 4], [, 0.6369, 5]]"
B00W6I0NII,"[0.8519, -0.3664, -0.218]","[5, 1, 1]","[[awesome, case, love, give, refine, look, phone, meet, expectation], [waste, money, want, case, protect, phone, drop, time, case, open, time, wasnt, lucky, display, crash], [isnt, case, piece, scrap, metal, bumper, look, put, cut, aux, cord, fit, take, play, music, car, take]]","[[awesome case love give refine look phone meet expectation, 0.8519, 5], [waste money want case protect phone drop time case open time wasnt lucky display crash, -0.3664, 1], [isnt case piece scrap metal bumper look put cut aux cord fit take play music car take, -0.218, 1]]"
B00WH0RURC,[0.6409],[4],"[[case, work, button, side, use, provide, grip, rubbery, side, phone, drop, get, comment, kid, look]]","[[case work button side use provide grip rubbery side phone drop get comment kid look, 0.6409, 4]]"
B00WHEKLVA,"[0.3612, 0.6836, -0.422, 0.7506, 0.6249, 0.0, 0.9839, 0.4927, -0.4019]","[5, 2, 1, 5, 4, 3, 5, 4, 2]","[[need, way, attach, belt, run, mount, dash, drive], [case, leak, fingerprint, sensor, doesnt, work, plastic, cover, doesnt, fit, tight, face, phone, make, pop, noise, push, push], [simple, case, waterproof, case, see, try, job, wildtek], [fit, glove], [case, love, tree, fall, phone, pocket, fell, asphalt, tree, broke, leg, use, case, save, phone, dent, take, water, park, work, perfect, great, company, great, case, id, buy, im, glad, find], [buy, case, take, florida, work, took, video, ocean], [sofar, good], [difficult, put, piece, seem, damage, send, shipping, quick], [wildtek, repel, iphone, case, package, cloth, wrist, band, clear, instruction, test, waterproofness, case, get, chance, test, case, observe, box, notice, side, slight, bow, see, attach, photo, thereby, make, seal, half, snap, iphone, addition, tactile, feel, plastic, bit, smooth, overall, didnt, exude, quality, hop, effort, fell, bit, short, quality, control]]","[[need way attach belt run mount dash drive, 0.3612, 5], [case leak fingerprint sensor doesnt work plastic cover doesnt fit tight face phone make pop noise push push, 0.6836, 2], [simple case waterproof case see try job wildtek, -0.422, 1], [fit glove, 0.7506, 5], [case love tree fall phone pocket fell asphalt tree broke leg use case save phone dent take water park work perfect great company great case id buy im glad find, 0.6249, 4], [buy case take florida work took video ocean, 0.0, 3], [sofar good, 0.9839, 5], [difficult put piece seem damage send shipping quick, 0.4927, 4], [wildtek repel iphone case package cloth wrist band clear instruction test waterproofness case get chance test case observe box notice side slight bow see attach photo thereby make seal half snap iphone addition tactile feel plastic bit smooth overall didnt exude quality hop effort fell bit short quality control, -0.4019, 2]]"
B00WQJ2UDS,[0.6358],[3],"[[receive, case, go, color, close, light, pink, close, neon, pink, add, bulk, weight, phone, dont, kickstand, wallet, feature, nice, bonus, look, look, line, color, dont]]","[[receive case go color close light pink close neon pink add bulk weight phone dont kickstand wallet feature nice bonus look look line color dont, 0.6358, 3]]"
B00WQOFB5C,[0.0],[1],"[[cord, light, charge, product, iphone, iphone, ipad, air]]","[[cord light charge product iphone iphone ipad air, 0.0, 1]]"
B00WTIFK4W,[0.4404],[5],"[[husband, us, garmin, time, business, transfer, car]]","[[husband us garmin time business transfer car, 0.4404, 5]]"
B00WTOOL2S,[0.5719],[5],[[excellent]],"[[excellent, 0.5719, 5]]"
B00WUTP7LG,[0.7783],[5],"[[red, color, dark, pink, love, anyway]]","[[red color dark pink love anyway, 0.7783, 5]]"
B00WUYO1HC,[0.3182],[4],"[[sound, quality, purchase, use, deckboat, issue, solar, piece, seem, hitmiss, miss, way, charge, use, usb]]","[[sound quality purchase use deckboat issue solar piece seem hitmiss miss way charge use usb, 0.3182, 4]]"
B00X0D77DC,[0.4076],[4],"[[opinionbr, br, love, case, naked, phone, wireless, charge, backplate, bumper, room, phone, work, note, casebr, br, real, complaint, velcro, bit, annoy, secure]]","[[opinionbr br love case naked phone wireless charge backplate bumper room phone work note casebr br real complaint velcro bit annoy secure, 0.4076, 4]]"
B00X53TLSG,[0.8258],[5],"[[slim, design, chic, look]]","[[slim design chic look, 0.8258, 5]]"
B00XC9SBOS,"[0.891, 0.7506, 0.6482, 0.4939, 0.7933, 0.2724, -0.5574, 0.296, 0.4863, -0.4005, 0.9771, 0.8854, 0.6249, 0.7619, -0.5499, 0.7717, -0.6115, 0.6249, 0.296, 0.9365, -0.4767, -0.5645, 0.5499, 0.5256]","[5, 5, 2, 5, 4, 3, 3, 3, 5, 1, 1, 5, 5, 5, 3, 5, 1, 5, 5, 5, 1, 3, 4, 5]","[[work, block, air, vent, waste, money], [update, envicar, reach, follow, star, review, genuine, concern, unhappy, amaze, customer, support, product, keep, customer, critic, alike, returning, product, receive, refund, envicar, follow, want, know, detail, dissatisfy, mention, review, design, build, quality, sound, work, vehicle, envicar, offer, mount, ship, order, give, gift, someone, vent, configuration, do, envicar, earn, respect, star, review, keep, keep, onbr, br, tucson, iphone, case, reference, front, reach, driver, vent, use, use, left, steering, wheel, phone, sits, obscure, wheel, room, phone, landscape, mode, use, vent, wheel, round, mount, connects, force, tilt, face, phone, towards, wheel, passenger, phone, block, portion, ignition, button, room, landscape, mode, construction, overall, design, mount, solid, package, work, vehicle, mount, front, sacrifice, vent, cold, weather, month, avoid, excess, heat, apply, device, option], [work, attach, turn, hold, cell, phone, vent, see, move, location, phone, fit, summer, ac, phone, vent, stay, cool, dont, know, go, react, heat, device], [purchase, wife, iphone, user, vw, jetta, fail, attempt, dashboard, mount, didnt, stick, decide, model, great, consider, mount, didnt, want, put, tape, phone, happy, mount], [poor, quality], [job, doesnt, stay, vent, retrieval, sin, phone], [ok], [product], [trick, kind, order, car, vent, iphone, holder, rubber, prong, fell, month], [purchase, envicar, phone, holder, leave, car, oops, time, buy, use, second, order, arrives, use, phone, holder, time, stay, cool, fall, thank, great, product], [mount, try, suction, cup, mount, hat, mark, leave, window, mention, fall, windowbr, mount, great, easy, attach, stay, place, use, iphone, use, phone, navigate, see, screen, close, charge, phone, car, wire, hang, windshield, consider, vent, mount, want], [cell, phone, mount, work, try, suction, cup, mount, windshield, dash, lose, grip, awhile, benefit, mount, vent, ac, keep, phone, cool, im, use, gps, buy, cell, phone, mount, need], [ok, vehicle, buy, chevy, vent, recess, need, stalk, car, mount, longer], [fit, iphone, staying, air, vent, drive, subaru, outback], [hop, work, smallerlighter, phone, grab, vent, wellbr, impress, fit, nexus, case, light, case, duty, piece, style, case, work, jetta, there, place, place, vent, useless, use, cd, mount, piece, went, buy, suction, cup, style, use, remove, place, phone, requires, readjustment, mount, win, hand, ease, use, durability, placement, option, etc, drop, phone, wrx, good, idea, impress, way, difficult, option, wont, drive, everyday, use], [accessory], [rent, different, car, week, need, something, move, iphone, holder, car, carbr, im, th, car, thing, give, use, holder, flush, vent, tilt, phone, direction, phone, face, vent, face, choicebr, outtoward, curvature, cant, put, holder, onbr, phone, vent, block, airflow, come, vent], [come, handy, drive, bump, road], [envision, seem, work, testing, upcoming, vacation, hold, galaxy, note, phone], [nifty, phone, holder, perfect, google, map, app], [unit, make, sturdy, angle, air, vent, one, hyundai, tucson, use, recommend, air, vent, orientation], [device, holder, awesome, hold, phone, shake, thanks, lot, guy, product, ], [annoy, doesnt, stay, attach, fell, highway], [work, ok, fit, secure, job, lot, depend, car, vent, placement]]","[[work block air vent waste money, 0.891, 5], [update envicar reach follow star review genuine concern unhappy amaze customer support product keep customer critic alike returning product receive refund envicar follow want know detail dissatisfy mention review design build quality sound work vehicle envicar offer mount ship order give gift someone vent configuration do envicar earn respect star review keep keep onbr br tucson iphone case reference front reach driver vent use use left steering wheel phone sits obscure wheel room phone landscape mode use vent wheel round mount connects force tilt face phone towards wheel passenger phone block portion ignition button room landscape mode construction overall design mount solid package work vehicle mount front sacrifice vent cold weather month avoid excess heat apply device option, 0.7506, 5], [work attach turn hold cell phone vent see move location phone fit summer ac phone vent stay cool dont know go react heat device, 0.6482, 2], [purchase wife iphone user vw jetta fail attempt dashboard mount didnt stick decide model great consider mount didnt want put tape phone happy mount, 0.4939, 5], [poor quality, 0.7933, 4], [job doesnt stay vent retrieval sin phone, 0.2724, 3], [ok, -0.5574, 3], [product, 0.296, 3], [trick kind order car vent iphone holder rubber prong fell month, 0.4863, 5], [purchase envicar phone holder leave car oops time buy use second order arrives use phone holder time stay cool fall thank great product, -0.4005, 1], [mount try suction cup mount hat mark leave window mention fall windowbr mount great easy attach stay place use iphone use phone navigate see screen close charge phone car wire hang windshield consider vent mount want, 0.9771, 1], [cell phone mount work try suction cup mount windshield dash lose grip awhile benefit mount vent ac keep phone cool im use gps buy cell phone mount need, 0.8854, 5], [ok vehicle buy chevy vent recess need stalk car mount longer, 0.6249, 5], [fit iphone staying air vent drive subaru outback, 0.7619, 5], [hop work smallerlighter phone grab vent wellbr impress fit nexus case light case duty piece style case work jetta there place place vent useless use cd mount piece went buy suction cup style use remove place phone requires readjustment mount win hand ease use durability placement option etc drop phone wrx good idea impress way difficult option wont drive everyday use, -0.5499, 3], [accessory, 0.7717, 5], [rent different car week need something move iphone holder car carbr im th car thing give use holder flush vent tilt phone direction phone face vent face choicebr outtoward curvature cant put holder onbr phone vent block airflow come vent, -0.6115, 1], [come handy drive bump road, 0.6249, 5], [envision seem work testing upcoming vacation hold galaxy note phone, 0.296, 5], [nifty phone holder perfect google map app, 0.9365, 5], [unit make sturdy angle air vent one hyundai tucson use recommend air vent orientation, -0.4767, 1], [device holder awesome hold phone shake thanks lot guy product , -0.5645, 3], [annoy doesnt stay attach fell highway, 0.5499, 4], [work ok fit secure job lot depend car vent placement, 0.5256, 5]]"
B00XEGT3DM,[0.7003],[5],"[[expect, go, watch, easy, look]]","[[expect go watch easy look, 0.7003, 5]]"
B00XJ6OGSE,[0.0],[5],[[goood]],"[[goood, 0.0, 5]]"
B00XMZRTHC,[-0.4717],[1],"[[chevron, fit, phone, short, sure, style, work]]","[[chevron fit phone short sure style work, -0.4717, 1]]"
B00XUX4TUG,[0.0],[4],"[[work, welk]]","[[work welk, 0.0, 4]]"
B00XVZYIAE,[0.9246],[5],"[[case, love, fit, snug, come, purchase]]","[[case love fit snug come purchase, 0.9246, 5]]"
B00XWP5GL8,[0.6249],[5],"[[awesome, case]]","[[awesome case, 0.6249, 5]]"
B00Y14WACM,[0.2238],[4],"[[picture, think, easier, acccess, phone]]","[[picture think easier acccess phone, 0.2238, 4]]"
B00YJDC9NK,"[0.7902, 0.5719, 0.058, 0.6249, -0.2278, 0.9694, -0.6073, 0.8271, 0.9131]","[5, 5, 5, 1, 5, 5, 2, 5, 5]","[[buy, price, buy, price, connect, lg, g, turn, lose, bt, connection, fit, great, ear, stay, bike, im, sure, stay, run, call, reception, great, hold, charge, day, quality, solid, use, yardwork, issue, sound, level, clarity], [nothing, headphone, connect, iphone, device, tell, time, run, treadmill, hand, catch, wire, headphone, wire, problem, past, trond, edge], [sound, range], [problem, pair, iphone, ear, plug, worksbr, im, disappoint], [work, week, left, speaker, right], [ship, set, charge, pair, fit, quality, sound], [excellent], [way, well, expect, base, price, point, unique, inear, clip, dont, fall, run, sound, headphone, par, sport, unitsbr, br, voice, audio, prompt, use, setting, pair, guess, turn, battery, use], [get, earbuds, others, try, didnt, work, seem, variety, tip, get, fit, dont, wearing, earbuds, control, access, im, audiophile, sound, quality, seem, excellent, music, call, cord, isnt, worn, front, price]]","[[buy price buy price connect lg g turn lose bt connection fit great ear stay bike im sure stay run call reception great hold charge day quality solid use yardwork issue sound level clarity, 0.7902, 5], [nothing headphone connect iphone device tell time run treadmill hand catch wire headphone wire problem past trond edge, 0.5719, 5], [sound range, 0.058, 5], [problem pair iphone ear plug worksbr im disappoint, 0.6249, 1], [work week left speaker right, -0.2278, 5], [ship set charge pair fit quality sound, 0.9694, 5], [excellent, -0.6073, 2], [way well expect base price point unique inear clip dont fall run sound headphone par sport unitsbr br voice audio prompt use setting pair guess turn battery use, 0.8271, 5], [get earbuds others try didnt work seem variety tip get fit dont wearing earbuds control access im audiophile sound quality seem excellent music call cord isnt worn front price, 0.9131, 5]]"
B00YJLNOOU,[0.4215],[4],"[[break, kick, stand, case, stay, close, fit, phone, nice]]","[[break kick stand case stay close fit phone nice, 0.4215, 4]]"
B00YO7XIMW,"[0.8934, 0.6249, 0.7184, 0.4404, 0.9783]","[5, 5, 5, 5, 5]","[[headphone, work, cant, imagine], [purchase, husband, runner, earphone, please, stay, put, run, get, phone, call, answer, caller, hear, say, sound, please, purchase, recommend, anyone, look, headset, earphone, customer, service], [quick, turnaround, buy, gift, husband, love, buy, price, quality], [kaysion, contact, problem, earbuds, send, set, earbuds, charge, make, issue, everyone, reading, review, rest, assure, make, product]]","[[headphone work cant imagine, 0.8934, 5], [purchase husband runner earphone please stay put run get phone call answer caller hear say sound please purchase recommend anyone look headset earphone customer service, 0.6249, 5], [quick turnaround buy gift husband love buy price quality, 0.7184, 5], [kaysion contact problem earbuds send set earbuds charge make issue everyone reading review rest assure make product, 0.4404, 5], [, 0.9783, 5]]"
B00YOAZE80,[0.9201],[5],"[[bluetooth, loving, want, good, bluetooth, music, movie, need, buybr, bass, got]]","[[bluetooth loving want good bluetooth music movie need buybr bass got, 0.9201, 5]]"
B00YQ8K06G,[0.6041],[4],"[[job, exellent, lighting, nite, prepare, settle, place, bother]]","[[job exellent lighting nite prepare settle place bother, 0.6041, 4]]"
B00YS8H6R0,[0.9684],[3],"[[pro, comfortable, armband, worn, pair, holder, slot, nice, thing, worry, falling, button, nokia, lumia, icon, armband, con, amount, cardio, audio, port, let, sweat, neoprene, material, soak, entire, armband, durability, poor, ran, time, velcro, strip, start, curl, velcro, strip, top, flap, come, let, sweat, make, armband, useless, use, cardio, quest, continue, enable, armband, phone, update, company, reach, send, replacement, interaction, part, thats, maybe, velcro, hold, better, armband, raise, star, review, good, customer, service, main, problem, remain, armband, headphone, port, bottom, market, sweat, get, hole, work, way, entire, phone, pocket, sweat, phone, experience, problem]]","[[pro comfortable armband worn pair holder slot nice thing worry falling button nokia lumia icon armband con amount cardio audio port let sweat neoprene material soak entire armband durability poor ran time velcro strip start curl velcro strip top flap come let sweat make armband useless use cardio quest continue enable armband phone update company reach send replacement interaction part thats maybe velcro hold better armband raise star review good customer service main problem remain armband headphone port bottom market sweat get hole work way entire phone pocket sweat phone experience problem, 0.9684, 3]]"
B00YSZIPSM,[0.3321],[1],"[[cell, scratch, camera, lens, replacement, sent, replacement, come, take, charge, returnedbr, unit, sent, replacement, alls]]","[[cell scratch camera lens replacement sent replacement come take charge returnedbr unit sent replacement alls, 0.3321, 1]]"
B00YTNCWX2,"[-0.4754, 0.2732]","[3, 4]","[[screen, protector, list, shatterproof, arrive, shatter, replacement, day, go, work, minutesbr, take, star, want, anti, oil, fingerprint, coating, screen, protector, show, fingerprint, bare, glass, surface, disappoint], [product, describe, surface, screen, protector, fit, issue, tab, pull, mask, product, pull, leave, mask, screen, protector, smooth, need, fin]]","[[screen protector list shatterproof arrive shatter replacement day go work minutesbr take star want anti oil fingerprint coating screen protector show fingerprint bare glass surface disappoint, -0.4754, 3], [product describe surface screen protector fit issue tab pull mask product pull leave mask screen protector smooth need fin, 0.2732, 4]]"
B00Z6FP2G6,[0.5719],[5],[[excellent]],"[[excellent, 0.5719, 5]]"
B00ZH53KHS,[-0.0018],[1],"[[thing, charge, dy, charge, hour, paint, chip]]","[[thing charge dy charge hour paint chip, -0.0018, 1]]"
B00ZK4SO5O,[0.6801],[5],"[[nice, case, picture]]","[[nice case picture, 0.6801, 5]]"
B00ZU2AYRM,[0.8256],[5],"[[wow, power, house, doesnt, take, charge, glad, decide, purchase]]","[[wow power house doesnt take charge glad decide purchase, 0.8256, 5]]"
B00ZYME6VS,[0.4927],[5],[[phone]],"[[phone, 0.4927, 5]]"
B00ZZFT6EQ,[0.6124],[5],"[[work, thank]]","[[work thank, 0.6124, 5]]"
B0101V0LUQ,"[0.0, 0.0, 0.4927, 0.8957]","[5, 4, 5, 5]","[[dock, price, fit, recommend, product], [product], [make, charge, watch, breeze], [expect]]","[[dock price fit recommend product, 0.0, 5], [product, 0.0, 4], [make charge watch breeze, 0.4927, 5], [expect, 0.8957, 5]]"
B010M6LLY0,"[0.9008, 0.9684, 0.9967, 0.9192, 0.9766]","[3, 5, 5, 2, 5]","[[wrist, look, function, band, apple, milanese, loop, fit, ive, try, store, try, exorbitant, price, band, design, replacement, apple, product, length, fit, id, wear, band, correct, length], [kartice, apple, watch, band, great, addition, collection, band, arm, expect, resembles, milanese, loop, band, apple, sell, price, heft, drawback, milanese, loop, band, band, solves, issue, piece, attach, band, watch, appear, stainless, steel, perfect, width, depth, stainless, steel, watch, face, look, sport, watch, belongs, friend, clasp, superior, apple, appear, way, go, come, fight, make, get, trademark, kartice, band, thingwhen, buy, band, list, pull, trigger, anyway, tad, bit, irritate, friend, purchase, day, prime, set, week, came, china, true, shipping, time, take, day, china, dont, dismay, estimate, arrival, time, course, stock, found, seller, reason, mine, prime, band, stock, amazon, warehouse, return, warehouse, prime, status, time, friend, order, way, worth, price, wait, want, explain, time, prime, difference, folk, arent, aware, outofstock, shipping, issue], [hesitant, see, appalling, clone, band, destroy, wear, take, chance, katrice, awesome, quality, great, texture, close, real, apple, product, tad, lighter, real, perk, tiny, wristbr, br, shine, great, look, thing, money], [love, look, apple, store, magnet, fit, wrist, see, fit, wrist, handy, strap, flaw, fit, perfect, materialnot, cheap, quality], [update, customer, service, job, send, band, work, fine, fit, watch, width, band, longer, star, service, mean, lot, product, buy, gift, son, product, clasp, doesnt, fit, watch, case, o, price, apple, thats, ok, clasp, doesnt, lock, place, watch, case, lose, watch, youre, attentive, know, yes, apple, done, anything, customer, experience, limit, product, functionality, update, review, let, everybody, know, customer, service, handle, return, refund, review, upgrade]]","[[wrist look function band apple milanese loop fit ive try store try exorbitant price band design replacement apple product length fit id wear band correct length, 0.9008, 3], [kartice apple watch band great addition collection band arm expect resembles milanese loop band apple sell price heft drawback milanese loop band band solves issue piece attach band watch appear stainless steel perfect width depth stainless steel watch face look sport watch belongs friend clasp superior apple appear way go come fight make get trademark kartice band thingwhen buy band list pull trigger anyway tad bit irritate friend purchase day prime set week came china true shipping time take day china dont dismay estimate arrival time course stock found seller reason mine prime band stock amazon warehouse return warehouse prime status time friend order way worth price wait want explain time prime difference folk arent aware outofstock shipping issue, 0.9684, 5], [hesitant see appalling clone band destroy wear take chance katrice awesome quality great texture close real apple product tad lighter real perk tiny wristbr br shine great look thing money, 0.9967, 5], [love look apple store magnet fit wrist see fit wrist handy strap flaw fit perfect materialnot cheap quality, 0.9192, 2], [update customer service job send band work fine fit watch width band longer star service mean lot product buy gift son product clasp doesnt fit watch case o price apple thats ok clasp doesnt lock place watch case lose watch youre attentive know yes apple done anything customer experience limit product functionality update review let everybody know customer service handle return refund review upgrade, 0.9766, 5]]"
B010PCSMES,"[0.4063, 0.7926]","[5, 4]","[[love, case, hold, fore, complaint], [case, nice, car, charger, doesnt, fit, regular, charger, fit, ita, love, case]]","[[love case hold fore complaint, 0.4063, 5], [case nice car charger doesnt fit regular charger fit ita love case, 0.7926, 4]]"
B010PVZVB6,[0.3716],[3],"[[front, glass, great, glittery, pink, part, cooperate, sticking]]","[[front glass great glittery pink part cooperate sticking, 0.3716, 3]]"
B0116HY4YS,[0.7096],[5],"[[case, perfect, thats, need, hold, phone, keysplus, give, cushion, support, phone]]","[[case perfect thats need hold phone keysplus give cushion support phone, 0.7096, 5]]"
B011B0H9II,[0.8442],[4],"[[hefty, well, register, warranty, sent, please, dont, throw, money, retailer, shop, folk]]","[[hefty well register warranty sent please dont throw money retailer shop folk, 0.8442, 4]]"
B01232LZZQ,"[0.2732, 0.7783, 0.4801]","[5, 5, 3]","[[sound, clarity], [work], [difficult, time, finding, plug, fit, saw, become, exit, find, something, fit, feel, sound, quality, fit, purpose, workout, im, ok]]","[[sound clarity, 0.2732, 5], [work, 0.7783, 5], [difficult time finding plug fit saw become exit find something fit feel sound quality fit purpose workout im ok, 0.4801, 3]]"
B012FXTELK,[0.0],[4],[[work]],"[[work, 0.0, 4]]"
