9712951502,[0.3724],[1],"[[phone, say, fake, knock]]","[[phone say fake knock, 0.3724, 1]]"
B007EW9ISM,[0.8555],[5],"[[rubber, grip, great, hold, wuth, finger, vs, hand, hold, tip, soft, quiet, touch, screenbr, br, weight, tip, yet, round, largebr, practice, write, note, take, word, get, itbr, tip, handle, type, rubber, think, purposebr, purchase, stylus, favoritebr, price, hipping]]","[[rubber grip great hold wuth finger vs hand hold tip soft quiet touch screenbr br weight tip yet round largebr practice write note take word get itbr tip handle type rubber think purposebr purchase stylus favoritebr price hipping, 0.8555, 5]]"
B007INQ0JW,[-0.5719],[3],"[[price, expect, disappoint, case, start, fall, apart, couple, month]]","[[price expect disappoint case start fall apart couple month, -0.5719, 3]]"
B007VGEYNA,[0.2732],[5],"[[tool, kit, perform, doublesided]]","[[tool kit perform doublesided, 0.2732, 5]]"
B007ZW2FGI,[0.9438],[5],"[[speck, case, dont, disappoint, case, last, year, want, look, protection, iphone, thank, goodness, time, count, include, stair]]","[[speck case dont disappoint case last year want look protection iphone thank goodness time count include stair, 0.9438, 5]]"
B0089VO7HE,"[0.0, 0.9394, 0.0, 0.6249]","[5, 5, 5, 5]","[[mount, work, galaxy, note, galaxy, windshield, week, weather, fallen, mount, hold, phone, product, ship, arrive, excellent, shape], [remember, matthew], [aaa, order], [work, great, ford, truck, cupholders, use, year, truck]]","[[mount work galaxy note galaxy windshield week weather fallen mount hold phone product ship arrive excellent shape, 0.0, 5], [remember matthew, 0.9394, 5], [aaa order, 0.0, 5], [work great ford truck cupholders use year truck, 0.6249, 5]]"
B008FRUR9E,"[0.9639, -0.4497]","[4, 2]","[[work, time, lost, disrupt, move], [work, great, ipad, mini, give, star, dang, thing, doesnt, stay, put, mini, problem, piece, stick, foam, tape, rubber, band, solve, problem, use, buy, pricebr, design, engineer, read, put, dummy, tab, fit, contact, slot, top, plug, perfect, move]]","[[work time lost disrupt move, 0.9639, 4], [work great ipad mini give star dang thing doesnt stay put mini problem piece stick foam tape rubber band solve problem use buy pricebr design engineer read put dummy tab fit contact slot top plug perfect move, -0.4497, 2]]"
B0091C8HC6,[0.91],[5],"[[enjoy, awesome, iphone, love]]","[[enjoy awesome iphone love, 0.91, 5]]"
B009AYND5G,[0.6369],[5],[[price]],"[[price, 0.6369, 5]]"
B009LRNT1A,[0.6249],[5],[[phone]],"[[phone, 0.6249, 5]]"
B009SYZ8OC,"[0.4215, 0.0, 0.0, -0.2755, 0.922, 0.714, 0.6249, 0.7549, 0.6753, 0.0, -0.1027, 0.9353, -0.7018, 0.7184, -0.128, 0.4767, 0.0, 0.6597, -0.5267, 0.0, 0.4404, 0.4902, 0.6124, 0.4927]","[5, 5, 2, 4, 5, 5, 4, 5, 4, 5, 1, 5, 3, 5, 5, 5, 1, 3, 2, 1, 5, 4, 5, 4]","[[work], [need, lightning, cable, value, work, gone, brand, apple, cable, fail, whereas, amazonbasics, cord, keep, last], [quality, apple, charger, work, month], [cord, didnt, youd, think, id, learn, buy, cheap, stuff], [apple, work, nice], [well, cheap, stuff, doesnt, message, doesnt, work, device], [quality, cord, hold, apple, monoprice, cord, ive, month, car, house, work, separation, connection, cord, do, amazon], [shell, come, lightning, connect, end, wire, fraying, replace], [wire, become, expose, end, year, purchase, poor, quality], [oem], [lightning, andor, come, stay, vehicle, plenty, damage, go, apple, start, use, default, usb], [work, problem, year, use], [work, fine, lifeproof, case, annoy], [cord, cheap], [get, alternative, need, accessory, equipment, manufacturer, rake, price, profitbr, br, use, amazon, cable, chargeconnect, ipad, mini, iphone, charger, computer, work, area, look, lot, sleeker, blackbr, br, check, amazon, produce, cable, spend, amount, money, apple, manufacturer, make, ton, profit, accessory], [quality, iphone, charger, use], [tip, oversized, fit, phone, case], [didnt, work, sent], [work, fine, work, month, end, connect, phone, fray, dont, know, reason, havent, replace, keep, forget, go, charge, phone, car, lmao], [work, end, fit, phone, work, case, bigger, cable, come, iphone, side, end, sturdier, cable, come, apple, hold, preteen, daughter, us, ipad, yank, etc], [purchase, condition, iphone, phone, work, otterbox, defender, case, dont, use, cable, day, get, lot, usage, people, office, borrow, need, iphone, cable, purchase]]","[[work, 0.4215, 5], [need lightning cable value work gone brand apple cable fail whereas amazonbasics cord keep last, 0.0, 5], [quality apple charger work month, 0.0, 2], [cord didnt youd think id learn buy cheap stuff, -0.2755, 4], [apple work nice, 0.922, 5], [well cheap stuff doesnt message doesnt work device, 0.714, 5], [quality cord hold apple monoprice cord ive month car house work separation connection cord do amazon, 0.6249, 4], [shell come lightning connect end wire fraying replace, 0.7549, 5], [wire become expose end year purchase poor quality, 0.6753, 4], [oem, 0.0, 5], [lightning andor come stay vehicle plenty damage go apple start use default usb, -0.1027, 1], [work problem year use, 0.9353, 5], [work fine lifeproof case annoy, -0.7018, 3], [cord cheap, 0.7184, 5], [get alternative need accessory equipment manufacturer rake price profitbr br use amazon cable chargeconnect ipad mini iphone charger computer work area look lot sleeker blackbr br check amazon produce cable spend amount money apple manufacturer make ton profit accessory, -0.128, 5], [quality iphone charger use, 0.4767, 5], [tip oversized fit phone case, 0.0, 1], [didnt work sent, 0.6597, 3], [work fine work month end connect phone fray dont know reason havent replace keep forget go charge phone car lmao, -0.5267, 2], [work end fit phone work case bigger cable come iphone side end sturdier cable come apple hold preteen daughter us ipad yank etc, 0.0, 1], [purchase condition iphone phone work otterbox defender case dont use cable day get lot usage people office borrow need iphone cable purchase, 0.4404, 5], [, 0.4902, 4], [, 0.6124, 5], [, 0.4927, 4]]"
B009WQOS1U,"[0.6249, 0.902, 0.0498]","[5, 5, 1]","[[thing, use, presentation, work, perfect, screen], [time, use, trip, stop, work], [adapter]]","[[thing use presentation work perfect screen, 0.6249, 5], [time use trip stop work, 0.902, 5], [adapter, 0.0498, 1]]"
B00AGENFXO,[0.9524],[4],"[[earbuds, ive, use, try, use, others, feel, using, month, quality, great, volume, perfect, ear, say, inconvenience, havent, mine, year, stop, work, price, cheap, quality, great, purchase, one, month, recommend, earbuds]]","[[earbuds ive use try use others feel using month quality great volume perfect ear say inconvenience havent mine year stop work price cheap quality great purchase one month recommend earbuds, 0.9524, 4]]"
B00ASXS18M,[0.8508],[5],"[[quality, color]]","[[quality color, 0.8508, 5]]"
B00BFIHGO4,"[0.765, 0.9042, 0.6369]","[5, 5, 5]","[[work], [work, make, watch, tv, whatever, go], [product, price]]","[[work, 0.765, 5], [work make watch tv whatever go, 0.9042, 5], [product price, 0.6369, 5]]"
B00BI2F1F8,[0.6369],[5],[[love]],"[[love, 0.6369, 5]]"
B00BK2BF7Y,[-0.3343],[2],"[[cheap, quality, fall, apart, feel, cheap, wouldnt, recommend, product, anyone]]","[[cheap quality fall apart feel cheap wouldnt recommend product anyone, -0.3343, 2]]"
B00BQ2Y304,[0.807],[5],[[nice]],"[[nice, 0.807, 5]]"
B00C91R6L4,[0.6652],[3],"[[okay, case, backing, start, week, quality]]","[[okay case backing start week quality, 0.6652, 3]]"
B00C96COTI,"[0.7579, 0.8885]","[5, 3]","[[value], [case, protect, phone, thick, put, pocket]]","[[value, 0.7579, 5], [case protect phone thick put pocket, 0.8885, 3]]"
B00CLI57J8,[0.4404],[4],"[[phone, worth, price]]","[[phone worth price, 0.4404, 4]]"
B00D9D9V0K,[0.0189],[1],"[[didnt, phone, cause, break]]","[[didnt phone cause break, 0.0189, 1]]"
B00DCWEJ4Q,[0.5719],[5],"[[come, day, expect, look, picture, boyfriend, love, phone, case]]","[[come day expect look picture boyfriend love phone case, 0.5719, 5]]"
B00DDVTWA2,[0.2928],[2],"[[nikon, coolpix, p, doesnt, hook, camera, haha, dont, know, work]]","[[nikon coolpix p doesnt hook camera haha dont know work, 0.2928, 2]]"
B00DH0BESC,[0.8221],[5],"[[time, ear, bud, last, month, diligent, use, caseholder, itbr, way, last, function, purchase, excellent, product]]","[[time ear bud last month diligent use caseholder itbr way last function purchase excellent product, 0.8221, 5]]"
B00DO0UZH6,"[0.2023, 0.4404, 0.2732, -0.3818]","[4, 4, 5, 1]","[[arrive, time, work], [work, fine], [hold, well, charge, day], [happy, thw, battery, worst, battery, charge]]","[[arrive time work, 0.2023, 4], [work fine, 0.4404, 4], [hold well charge day, 0.2732, 5], [happy thw battery worst battery charge, -0.3818, 1]]"
B00DP0QVTQ,[-0.4215],[2],"[[month, plug, phone, end, broke, wouldnt, charge, something, hold, place]]","[[month plug phone end broke wouldnt charge something hold place, -0.4215, 2]]"
B00E3DY740,[0.6597],[5],"[[excellent, product, week, issue, thanks, service]]","[[excellent product week issue thanks service, 0.6597, 5]]"
B00E3OVR6A,[-0.2408],[2],"[[buy, gift, didnt, fit, friend, phone, look, print, didnt, rubber, case]]","[[buy gift didnt fit friend phone look print didnt rubber case, -0.2408, 2]]"
B00EAA19X8,[0.6369],[4],"[[def, well, cheap, find, online, put, card, pocket, wont, close, ]]","[[def well cheap find online put card pocket wont close , 0.6369, 4]]"
B00F3N5A0Y,[0.0],[1],"[[absolute, garbage, card, holder, flap, fell, week, sent]]","[[absolute garbage card holder flap fell week sent, 0.0, 1]]"
B00F4J5NPO,"[0.8687, 0.9011]","[5, 5]","[[cant, go, protect, investment, itbr, installation, read, provide, instruction, go, see], [screen, cover, wellpackaged, item, box, need, job, instruction, install, work]]","[[cant go protect investment itbr installation read provide instruction go see, 0.8687, 5], [screen cover wellpackaged item box need job instruction install work, 0.9011, 5]]"
B00F51C6S8,"[0.7506, 0.7184]","[1, 3]","[[mention, piece, equipment, advertisement, went, river, trip, enjoy, tune, speaker, submerge, water, minute, shorting, work, note, follow, instruction, make, speaker, tail, piece, attach, tail, attach, speaker, quality, alright, otherwise, get, star], [work, great, bluetooth, connection, use, boom, golf, cart, year, quality, deteriorate, maybe, case, heat, warm, weather]]","[[mention piece equipment advertisement went river trip enjoy tune speaker submerge water minute shorting work note follow instruction make speaker tail piece attach tail attach speaker quality alright otherwise get star, 0.7506, 1], [work great bluetooth connection use boom golf cart year quality deteriorate maybe case heat warm weather, 0.7184, 3]]"
B00F5YIZQC,[0.1655],[4],"[[protects, cover, screen]]","[[protects cover screen, 0.1655, 4]]"
B00F8NDFN8,[0.296],[5],[[ok]],"[[ok, 0.296, 5]]"
B00FEAGE5G,[-0.5232],[4],"[[disappoint, got, case, rubbery, volume, button, become, press, accident]]","[[disappoint got case rubbery volume button become press accident, -0.5232, 4]]"
B00GH14Z7A,[0.6369],[5],"[[fit, samsung]]","[[fit samsung, 0.6369, 5]]"
B00GX5XRK6,[0.7717],[5],"[[cover, city, couldnt, find, everybody, wanna, get, mine]]","[[cover city couldnt find everybody wanna get mine, 0.7717, 5]]"
B00GXW0LFI,"[0.3291, 0.8271, 0.7665]","[5, 5, 4]","[[sound, quality, volume, excellent, surpass, expectation, range, approx, sq, ft, reason, im, withhold, th, star, intrusive, light, illuminate, room, wouldnt, believe, opinion, think, designer, go, cool, look, annoyance, recommend, speaker], [sound, versatile, sound, teeth, bring, nuance, song, hear], [perfect, computer, desktop, game, set, loud, room]]","[[sound quality volume excellent surpass expectation range approx sq ft reason im withhold th star intrusive light illuminate room wouldnt believe opinion think designer go cool look annoyance recommend speaker, 0.3291, 5], [sound versatile sound teeth bring nuance song hear, 0.8271, 5], [perfect computer desktop game set loud room, 0.7665, 4]]"
B00H3AK1UE,[0.5183],[5],"[[sorry, picture, get, case, time, nothing, believe, people, say, cut, ear, thing, help, cut, add, amount, water, suction, cup, help, stay, longer, p]]","[[sorry picture get case time nothing believe people say cut ear thing help cut add amount water suction cup help stay longer p, 0.5183, 5]]"
B00HH7MD54,"[0.228, 0.7845, -0.3466, -0.4973, 0.6597, 0.7351, 0.8519]","[4, 5, 1, 2, 3, 5, 5]","[[charge, phone, couldnt, issue, im, pin, charger, connect, charge, phone, great], [work, great, use, phone, charge, push, button], [im, sure, cable, defective, make, use, case, metal, piece, end, cable, come, work, plug, phone, case], [aesthetic, case, bumper, part, come, color, dark, tint, transparent, bumper, great, depend, preference, return, case, think, type, extend, battery, case, act, enlarge, phone, battery, isnt, phone, battery, run, press, case, power, button, charge, phone, work, phone, luck, use, charge, phone, iphones, battery, somehow, charge, case, try, charge, phone, end, case, turn, charge, phone, phone, battery, gone, thats, need, case, extend, battery, life, charge, work, phone], [work, year], [love, last, month, broke, give, charge, awesome], [case, sturdy, efficient]]","[[charge phone couldnt issue im pin charger connect charge phone great, 0.228, 4], [work great use phone charge push button, 0.7845, 5], [im sure cable defective make use case metal piece end cable come work plug phone case, -0.3466, 1], [aesthetic case bumper part come color dark tint transparent bumper great depend preference return case think type extend battery case act enlarge phone battery isnt phone battery run press case power button charge phone work phone luck use charge phone iphones battery somehow charge case try charge phone end case turn charge phone phone battery gone thats need case extend battery life charge work phone, -0.4973, 2], [work year, 0.6597, 3], [love last month broke give charge awesome, 0.7351, 5], [case sturdy efficient, 0.8519, 5]]"
B00HXC4GE4,[0.6369],[5],[[case]],"[[case, 0.6369, 5]]"
B00I91OK6M,[0.1245],[5],"[[pair, issue, give, hour, audiobooks, pause, sound, beat, pill, bit, less, space, expansive, sound, bose, soundlink, price, difference, make, model, include, case, sol, logo, light, understand, include, deck, ultra]]","[[pair issue give hour audiobooks pause sound beat pill bit less space expansive sound bose soundlink price difference make model include case sol logo light understand include deck ultra, 0.1245, 5]]"
B00IABCKQI,[0.9545],[5],"[[fit, look, protects, phone, buy]]","[[fit look protects phone buy, 0.9545, 5]]"
B00IGUUKR4,"[0.7504, 0.0]","[5, 5]","[[case, fit, phone, holster, tight, getting, phone, belt, phone, slip, clip, holster, add, security, im, chase, dog], [expect, case, price]]","[[case fit phone holster tight getting phone belt phone slip clip holster add security im chase dog, 0.7504, 5], [expect case price, 0.0, 5]]"
B00IKHMJXQ,[0.0],[2],"[[there, plenty, room, display, date, time, thing, push, button, get, date, give, coworkers, give, give]]","[[there plenty room display date time thing push button get date give coworkers give give, 0.0, 2]]"
B00IZAVXQC,[0.3182],[5],"[[kit, price, need, couple, repair, son, phone, everything, need, ill, use, stuff, thing, beside, phone, kit]]","[[kit price need couple repair son phone everything need ill use stuff thing beside phone kit, 0.3182, 5]]"
B00J0CT2GM,"[0.2382, 0.5927, 0.7351]","[3, 2, 5]","[[everyday, use, last, month, buy, ], [sound, muffle, music], [perfect, sound, lg]]","[[everyday use last month buy , 0.2382, 3], [sound muffle music, 0.5927, 2], [perfect sound lg, 0.7351, 5]]"
B00JAQWO9K,[0.765],[5],"[[sister, love, itbr, thanks]]","[[sister love itbr thanks, 0.765, 5]]"
B00JEC9SIU,[0.9325],[5],"[[quality, super, cute, love, take, phone, case]]","[[quality super cute love take phone case, 0.9325, 5]]"
B00JNYE4Q0,[0.0],[3],"[[okdifficult, use, belt]]","[[okdifficult use belt, 0.0, 3]]"
B00K4XC8EO,[0.7997],[4],"[[charger, great, lot, device, swap, cable, charge, everything, get, error, code, charge, gripe, power, cord, make, desk, floor, power, strip, mean, sit, edge, desk, power, source, plug, wall, issue]]","[[charger great lot device swap cable charge everything get error code charge gripe power cord make desk floor power strip mean sit edge desk power source plug wall issue, 0.7997, 4]]"
B00K8CS9OO,"[0.7311, 0.6369, 0.4767, -0.6124, 0.7964, -0.4256, 0.6115]","[4, 5, 3, 2, 5, 1, 3]","[[phone, everything, hop, screen, size, use, feature], [phone, year, work, problem, time, camera, loses, focus, video, great, phone, price], [space, lg, l, miss, call, bc, im, lose, bar, son, plenty, battery, drain, overnight, die, use, alarm, longer, option, screen, get, wont, unlock, wont, display, app, shortcut, picture, blurry, shutter, speed, slooow, group, texting, apps, work, fine, lgs, work, phone, budget, android, worstbr, br, star, bc, screen, size, storage, space, different, color, notification, light, button], [aw, wait, halloween, chance, lg, volt, problem, gremlins, hide, inside, hit, key, result, number, exacerbate, phone, month, owner, tear, phone, purchase, marry, virgin, mobile, team, approach, week, respond, boot, come, conclusion, find, someone, know, score, fact, dont, know, game, playing, vent, revolting], [look, volt, understanding, fair, amount, memory, saw, sale, get, excite, phone, die, read, description, memory, read, guess, thats, sale, deliver, condition, well, shopper], [work, suppose, phone, great, price, virgin, mobile, howeverhas, service, use]]","[[phone everything hop screen size use feature, 0.7311, 4], [phone year work problem time camera loses focus video great phone price, 0.6369, 5], [space lg l miss call bc im lose bar son plenty battery drain overnight die use alarm longer option screen get wont unlock wont display app shortcut picture blurry shutter speed slooow group texting apps work fine lgs work phone budget android worstbr br star bc screen size storage space different color notification light button, 0.4767, 3], [aw wait halloween chance lg volt problem gremlins hide inside hit key result number exacerbate phone month owner tear phone purchase marry virgin mobile team approach week respond boot come conclusion find someone know score fact dont know game playing vent revolting, -0.6124, 2], [look volt understanding fair amount memory saw sale get excite phone die read description memory read guess thats sale deliver condition well shopper, 0.7964, 5], [work suppose phone great price virgin mobile howeverhas service use, -0.4256, 1], [, 0.6115, 3]]"
B00KAM2O2A,[0.4927],[5],"[[case, star]]","[[case star, 0.4927, 5]]"
B00KC6BIJ4,[0.5719],[5],[[excellent]],"[[excellent, 0.5719, 5]]"
B00KFAMA62,[0.0],[3],[[bien]],"[[bien, 0.0, 3]]"
B00KOX6A2K,"[0.8658, 0.9398, 0.5719, 0.8316]","[5, 3, 5, 5]","[[selfhealing, yeah, sort, cheep, customcut, paint, protection, film, find, well, analog, tint, shop, scrap, look, shop, install, formulaone, vista, film, eastman, chemical, product, aug, anyways, film, orangepeel, texture, super, soft, day, use, show, damage, prefer, glass, protector, well, want, style, chance, thoughbr, br, ill, go, use, glass, get, bust, look, month], [perfect], [product, excellent, price], [super, good, well, peel, stick, remember, let, hour, phone]]","[[selfhealing yeah sort cheep customcut paint protection film find well analog tint shop scrap look shop install formulaone vista film eastman chemical product aug anyways film orangepeel texture super soft day use show damage prefer glass protector well want style chance thoughbr br ill go use glass get bust look month, 0.8658, 5], [perfect, 0.9398, 3], [product excellent price, 0.5719, 5], [super good well peel stick remember let hour phone, 0.8316, 5]]"
B00KV7IAU4,[0.6249],[5],"[[ship, product, descriped]]","[[ship product descriped, 0.6249, 5]]"
B00KV7RJBK,[0.0],[4],[[manage]],"[[manage, 0.0, 4]]"
B00LIA695Q,[0.4754],[4],"[[nice, case, price]]","[[nice case price, 0.4754, 4]]"
B00LL73RPQ,"[0.0, -0.0731, 0.8124]","[3, 1, 1]","[[side, band, broke, week, phone, enjoy, case, worth, money, wish, get, refund, everything, toss, packaging, buy, amazon, luckbr, br, br, httpsspigendeskcomcustomerportalarticlesourreturnspolicy], [impression, case, sleek, modern, look, case, hour, take, phone, pocket, gold, bumper, crack, case, mean, protect, phone, whatsoever], [snap]]","[[side band broke week phone enjoy case worth money wish get refund everything toss packaging buy amazon luckbr br br httpsspigendeskcomcustomerportalarticlesourreturnspolicy, 0.0, 3], [impression case sleek modern look case hour take phone pocket gold bumper crack case mean protect phone whatsoever, -0.0731, 1], [snap, 0.8124, 1]]"
B00LP4GOC8,"[-0.383, -0.2263]","[1, 1]","[[stop, work, iphone], [work, fine, lightning, use, mode, couple, week, need, charge, android, phone, pop, lightning, end, use, micro, usb, end, work, fine, put, cap, charge, never, work, use, micro, usb, cable, broke, lightning, product]]","[[stop work iphone, -0.383, 1], [work fine lightning use mode couple week need charge android phone pop lightning end use micro usb end work fine put cap charge never work use micro usb cable broke lightning product, -0.2263, 1]]"
B00LW4T4OG,"[0.6573, 0.6249, 0.5346]","[5, 5, 4]","[[work, great, wall, car], [work, expect, apple, non, apple, product], [product, forgot, look, length, hate, shorter, want, deal, dont, remember, see, description, blue, light, come, wall, adaptor, bright, plug, night, hate, light, night, otherwise, good, product, glad, buy]]","[[work great wall car, 0.6573, 5], [work expect apple non apple product, 0.6249, 5], [product forgot look length hate shorter want deal dont remember see description blue light come wall adaptor bright plug night hate light night otherwise good product glad buy, 0.5346, 4]]"
B00M086WP2,[0.1655],[4],"[[look, function, case, clip, rotateseasy, clip, waistband, ability, use, kickstand, glass, protect, use, third, iblason, case, buy, october, monthsoct, august, case, side, cover, broke, time, side, phone, holder, broke, hope, last, month]]","[[look function case clip rotateseasy clip waistband ability use kickstand glass protect use third iblason case buy october monthsoct august case side cover broke time side phone holder broke hope last month, 0.1655, 4]]"
B00M40AIX8,[-0.2732],[3],"[[charge, bite]]","[[charge bite, -0.2732, 3]]"
B00M78E4O6,"[0.7886, 0.5719, 0.8968]","[4, 5, 4]","[[daughter, love, phone], [quad, core, phonehas, faultsfreezes, time, time, reset, pageit, pocket, dial, pocket, surf, dont, lock, ithappy, value, good, phone, gone, thru, countless, crappy, call, smart, phone], [price, good, phone, fast, camera, camera, mind, quality, camera, excellent, phone]]","[[daughter love phone, 0.7886, 4], [quad core phonehas faultsfreezes time time reset pageit pocket dial pocket surf dont lock ithappy value good phone gone thru countless crappy call smart phone, 0.5719, 5], [price good phone fast camera camera mind quality camera excellent phone, 0.8968, 4]]"
B00M9D5MJ0,[-0.5719],[4],"[[look, good, serf, purpose, manage, drop, phone, reason, star, remove, take, phone, case, use, arm, strap, run, irritate]]","[[look good serf purpose manage drop phone reason star remove take phone case use arm strap run irritate, -0.5719, 4]]"
B00MEFIPNS,[0.6369],[5],[[fit]],"[[fit, 0.6369, 5]]"
B00MFVU27I,[0.0],[1],"[[gfor, phone]]","[[gfor phone, 0.0, 1]]"
B00MO3HV7Q,[0.6249],[5],[[work]],"[[work, 0.6249, 5]]"
B00MTGFGGQ,"[0.6249, 0.6249, 0.09, -0.4754, -0.2023, 0.1464, 0.9423]","[5, 5, 4, 1, 1, 3, 5]","[[fit, online, instruction], [im, unhappy, produt, try, shy, bubles, get, video, waist, money], [honest, didnt, read, application, instruction, come, screen, protector, cut, screen, self, great, lay, adheres, way, edge, bit, pick, dustband, pocket, lint], [cheap, try, doesnt, moto, x, nd, generation, good, youtube, video, show, put, protection, screen], [piece, crap, buy, dont, stick, top, phone, week, peel, dont, say, didnt, something, step, twice, application, happen, protector, get], [find, install, watch, howto, videobr, bubble, sheeting, done, correctlybr, id, buy, come, pack, wont], [product, seller]]","[[fit online instruction, 0.6249, 5], [im unhappy produt try shy bubles get video waist money, 0.6249, 5], [honest didnt read application instruction come screen protector cut screen self great lay adheres way edge bit pick dustband pocket lint, 0.09, 4], [cheap try doesnt moto x nd generation good youtube video show put protection screen, -0.4754, 1], [piece crap buy dont stick top phone week peel dont say didnt something step twice application happen protector get, -0.2023, 1], [find install watch howto videobr bubble sheeting done correctlybr id buy come pack wont, 0.1464, 3], [product seller, 0.9423, 5]]"
B00N2LQG4S,[0.2263],[5],"[[get, compliment, unique, time, damage, twice, drop, stud, pop, glue, lol]]","[[get compliment unique time damage twice drop stud pop glue lol, 0.2263, 5]]"
B00N3IK8VM,[0.7579],[5],"[[rugged, protects, phone, fit]]","[[rugged protects phone fit, 0.7579, 5]]"
